gameid	options	gametype	optionsd	unicondition
686	2	ptk	10	1
687	4	ptk	10	2
688	6	ptk	10	3
689	2	pak	10	4
690	4	pak	10	5
691	6	pak	10	6
692	2	k	10	7
693	4	k	10	8
694	6	k	10	9
714	2	ptk	12	1
715	4	ptk	12	2
716	6	ptk	12	3
717	2	pak	12	4
718	4	pak	12	5
719	6	pak	12	6
720	2	k	12	7
721	4	k	12	8
722	6	k	12	9
