"n.bad"	"sd"	"n.peeks"	"total.points.mean"	"total.points.median"	"final.impression.mad.mean"	"final.peek.impression.mad"	"final.peek.prefer.best.mean"
"72"	2	5	40	270.443432331899	270.860946228006	0.97485684556708	1.20399409785944	1
"73"	2	5	45	248.474178283486	248.317419926757	0.935288283165119	1.13740812244886	1
"74"	2	5	50	225.078308825058	225.103492274744	0.911086628870444	1.08045861318691	1
"75"	2	5	55	202.470132856759	202.669528070653	0.884461166717705	1.03964305843126	1
"76"	2	5	60	179.975946394328	180.174503322645	0.870584781949171	0.991281380313657	1
"77"	2	5	65	157.445680818346	157.359939848297	0.854127189040283	0.958069180865019	1
"78"	2	5	70	134.120338204283	133.509330921905	0.837094932984146	0.923631158854578	1
"79"	2	5	75	113.136244200484	113.338744364295	0.830638635499754	0.900200212251773	1
"80"	2	5	80	90.4216417511095	90.6115137704922	0.821238133860868	0.874715636056001	1
"81"	2	5	85	67.4377104461323	67.384204997957	0.811671489601982	0.85208455196647	1
"82"	2	5	90	44.9587448818652	45.0011315444048	0.815094783007106	0.837958405927691	1
"83"	2	5	95	22.5117091067137	22.7415073144047	0.804105308433988	0.81671406377507	1
"84"	2	5	100	0	0	0.811471701151161	0.807517888818244	1
"85"	2	15	0	246.504490003612	319.12319125313	5.04025536092262	NA	NA
"86"	2	15	5	249.143191324403	317.933030613707	4.77779489586198	11.9971753462132	0.5362
"87"	2	15	10	285.1367745175	331.107193625703	3.98763893435369	7.97668947394147	0.6254
"88"	2	15	15	300.829597174591	334.698313842685	3.59831279128441	6.08696997676655	0.7178
"89"	2	15	20	310.032808477152	332.810430109137	3.34993854343887	5.16300616283002	0.7808
"90"	2	15	25	302.176863736948	320.400949216022	3.14136666439948	4.4927932898763	0.8298
"91"	2	15	30	275.102515426369	291.549692932795	3.02836966877045	4.16144231291137	0.8468
"92"	2	15	35	265.001989422297	277.181395080823	2.89145804196329	3.79001056429411	0.8822
"93"	2	15	40	249.204316564222	260.152772309281	2.83037739914264	3.59344978438206	0.8988
"94"	2	15	45	231.35820070113	237.936121169536	2.77655926778861	3.42734703896662	0.91
"95"	2	15	50	212.05942663568	218.71540312357	2.66108541020122	3.20218267763439	0.9266
"96"	2	15	55	191.284109695407	198.090190448547	2.59545725273875	3.0607813050785	0.935
"97"	2	15	60	172.353748798433	176.20710457267	2.56063196103702	2.95775482228383	0.9484
"98"	2	15	65	149.697972496231	153.600055221502	2.55121138185826	2.88702043076287	0.9532
"99"	2	15	70	130.061323558306	131.569550669766	2.51246118903706	2.78539441774263	0.962
"100"	2	15	75	107.975565727459	109.312262418719	2.47999834731351	2.70490783350965	0.9712
"101"	2	15	80	87.3878969673393	86.8313220497306	2.44077720428683	2.61264592238221	0.97
"102"	2	15	85	65.9280950493408	65.441224503028	2.44231929282969	2.55842664759693	0.977
"103"	2	15	90	43.1963118052652	43.0995172735026	2.39926156705327	2.48377964579445	0.9816
"104"	2	15	95	21.9960091341994	21.1598048932588	2.40848143525927	2.44524228264189	0.9816
"105"	2	15	100	0	0	2.42401290920601	2.41771341690478	0.9806
"106"	2	60	0	51.3994547177357	64.8438140811693	20.8297099299414	NA	NA
"107"	2	60	5	79.6026287260708	56.8213122594814	19.1209058701976	48.2976308637385	0.3968
"108"	2	60	10	97.0895124211579	71.1254537534376	15.8906628391581	31.5964447565455	0.4048
"109"	2	60	15	93.6232547056945	74.1995470916198	14.1872203626364	24.4079116402853	0.4298
"110"	2	60	20	123.050789190677	101.174054278699	13.0746462575172	20.5594497339459	0.4392
"111"	2	60	25	119.514608674799	100.971883165796	12.3291626850181	18.2942790795033	0.4472
"112"	2	60	30	129.699699703195	132.468763237247	11.7096298017201	16.3827909690847	0.4786
"113"	2	60	35	133.862655512318	135.909906759629	11.1294537716761	15.3804350007458	0.4814
"114"	2	60	40	134.524843787146	122.916610124171	10.7699372102009	14.2803347509901	0.498
"115"	2	60	45	132.43351892007	126.213872349605	10.497417188522	13.5196484318784	0.5096
"116"	2	60	50	118.016146718822	110.127235271194	10.3886325192648	13.0808594317295	0.5228
"117"	2	60	55	111.72478356932	106.846168299694	10.1317063189999	12.4437239010096	0.5306
"118"	2	60	60	87.3837266667058	87.7349701092655	9.96710393327851	11.9345947166236	0.5336
"119"	2	60	65	84.6606530946019	88.711499243724	9.84954148016007	11.4782742462683	0.5414
"120"	2	60	70	68.9592379338478	64.7575811108063	9.70021627562541	11.112850047127	0.5334
"121"	2	60	75	53.3042097434925	51.8395270864331	9.63974504743544	10.8617642800127	0.544
"122"	2	60	80	51.1056833977043	47.3419366522444	9.60574335307574	10.5333852471376	0.5676
"123"	2	60	85	44.2450365648471	42.2062300731567	9.5301000761466	10.1921857275061	0.5704
"124"	2	60	90	28.2360702588784	28.9174101271804	9.556357391175	10.0434761463792	0.5798
"125"	2	60	95	13.1901898437493	13.9445479000883	9.65976014289457	9.88366893110359	0.5822
"126"	2	60	100	0	0	9.5661229309863	9.53338351520637	0.5752
"127"	3	5	0	410.979799860024	420.865735516403	2.5396111323163	NA	NA
"128"	3	5	5	408.977322840265	419.054045708914	2.33411432038839	3.97533010602722	0.8236
"129"	3	5	10	396.341436408827	402.408729577377	1.95285513884467	3.43143275183696	0.8838
"130"	3	5	15	381.556320984091	381.952342458896	1.67685837461749	2.47373590722793	0.9686
"131"	3	5	20	359.518305906476	358.635764284107	1.50025763129184	2.03560960655325	0.993
"132"	3	5	25	337.539821688113	337.894339552156	1.36873988220141	1.77380333775856	0.9978
"133"	3	5	30	315.932313679784	315.694461791255	1.27864475805955	1.61455714974062	0.9998
"134"	3	5	35	292.317815227545	293.252886988833	1.2232892584831	1.49192917175275	0.9988
"135"	3	5	40	269.588942322912	269.924539148965	1.14176405386851	1.37588501928589	0.9994
"136"	3	5	45	246.684912020465	246.987017556512	1.10004171554954	1.29896427029794	1
"137"	3	5	50	225.204220808713	225.223265053575	1.06622655005384	1.24264648276562	1
"138"	3	5	55	202.886461578554	203.627171295909	1.02663383811145	1.1812951867297	1
"139"	3	5	60	179.947831012102	180.549523058188	1.00587903888918	1.13448227717889	1
"140"	3	5	65	157.001646160381	157.317644716654	0.979643277953681	1.08941305992823	1
"141"	3	5	70	135.464623057774	135.008733754732	0.957818412886926	1.05765778608525	1
"142"	3	5	75	112.670157229337	112.599100680156	0.942207401564504	1.02117030698215	1
"143"	3	5	80	89.8893523137562	89.8863315307468	0.928168652218514	0.99349490696543	1
"144"	3	5	85	67.3977795323479	67.6876822495931	0.922263958873911	0.966705125875197	1
"145"	3	5	90	44.8692505426287	44.8874471090307	0.910627856080626	0.943242833906218	1
"146"	3	5	95	22.3591199933078	22.4555815109757	0.903193852822753	0.916727327696925	1
"147"	3	5	100	0	0	0.898994138327252	0.894496378682408	1
"148"	3	15	0	178.472082418892	266.050841925843	6.25399682174334	NA	NA
"149"	3	15	5	186.807728074975	277.182023139849	6.01844590698544	11.9785949598821	0.453
"150"	3	15	10	214.932276342983	284.458617486644	4.99323598051976	10.094263751439	0.4768
"151"	3	15	15	245.24617849346	297.588845040782	4.32864319448911	7.36100806599511	0.5706
"152"	3	15	20	253.725544437421	297.067952604623	3.94639064696427	6.04770917430941	0.6482
"153"	3	15	25	258.641691100461	295.411242602404	3.69932726107586	5.34866521267101	0.692
"154"	3	15	30	246.635765395828	274.81016313127	3.5300450477135	4.85023183990319	0.738
"155"	3	15	35	243.887198420799	265.378046910359	3.38446198404982	4.4299717242587	0.782
"156"	3	15	40	225.914999685865	241.972383637726	3.26299952214888	4.1142036495039	0.8086
"157"	3	15	45	213.22528450011	227.820540500554	3.17242509406067	3.89245614699688	0.8462
"158"	3	15	50	195.192894807421	205.68128996881	3.06943450603429	3.68893919548295	0.8486
"159"	3	15	55	180.476815560827	189.650435497278	3.00381182398355	3.52166169942512	0.876
"160"	3	15	60	161.189179744292	167.733785823064	2.92653904317885	3.37542174359265	0.887
"161"	3	15	65	139.625785550424	146.728329610284	2.90886420845442	3.29976522711741	0.8852
"162"	3	15	70	121.372432180781	125.624439299793	2.84529997414569	3.15455585259118	0.9054
"163"	3	15	75	101.058310717117	106.52252842676	2.8231138349392	3.07861183663241	0.9162
"164"	3	15	80	82.4445447659233	85.1853601641255	2.75615226983259	2.94847042456327	0.9286
"165"	3	15	85	62.2918441970711	63.6639233561211	2.73751974713024	2.890640865421	0.9346
"166"	3	15	90	41.5429335464471	42.4981298707273	2.73093449613158	2.83702303620989	0.9406
"167"	3	15	95	20.6529620805498	20.5711752822642	2.75195142694824	2.79384713182008	0.9456
"168"	3	15	100	0	0	2.73549092299037	2.72630837351154	0.9504
"169"	3	60	0	-8.50055542672963	-27.5227219026903	24.7106339085291	NA	NA
"170"	3	60	5	2.96934632496367	-9.3610633295274	24.1819750457658	48.0115393550075	0.2984
"171"	3	60	10	17.6244452688826	6.84088462852209	20.0539428840422	40.9549918446486	0.3094
"172"	3	60	15	42.0273411128413	14.4005895002266	16.7324770581278	29.1768333230243	0.3246
"173"	3	60	20	64.9924737996728	45.1088760995137	15.0842740493013	24.0554082829129	0.3528
"174"	3	60	25	79.7444263069982	52.3821040554029	14.0412470937731	21.430902692439	0.3588
"175"	3	60	30	96.7645140408902	86.2051627157907	13.0990273039015	19.3594369355731	0.3616
"176"	3	60	35	82.1739790122271	73.8370367111655	12.5418117484858	17.8242922974982	0.37
"177"	3	60	40	71.2017553166598	56.3967885173457	12.0638991820317	16.5614541601643	0.3908
"178"	3	60	45	84.5656931908907	72.6553233242746	11.8226698171967	15.6626495436682	0.3938
"179"	3	60	50	88.0525303039126	70.0132706573189	11.4267625558247	14.8769670365085	0.3994
"180"	3	60	55	69.9548768272563	69.8568591546139	11.259763800356	14.3099234553462	0.4006
"181"	3	60	60	62.6451031086881	55.9295229812687	11.0164345266584	13.6440208301078	0.4208
"182"	3	60	65	54.3006526232918	46.3396970754131	10.7798981505061	13.0458407750763	0.4376
"183"	3	60	70	42.001706020506	39.5111722170069	10.7176262604034	12.6859030228558	0.4418
"184"	3	60	75	42.0073806390078	35.7022629766464	10.5603528278002	12.1806756405816	0.4376
"185"	3	60	80	24.8612483855841	19.9768348562071	10.5523512299584	11.9336897432183	0.4446
"186"	3	60	85	23.9109978905714	22.1230330119832	10.6159711472167	11.6157521866549	0.4576
"187"	3	60	90	15.8834519915073	15.1111139887888	10.6580657961515	11.3519727033621	0.4626
"188"	3	60	95	6.59173555006997	4.91674874015435	10.6946087559107	11.0129136616083	0.4584
"189"	3	60	100	0	0	10.8184559119566	10.7905792413498	0.4754
