"n.bad"	"sd"	"n.peeks"	"total.points.mean"	"final.impression.mad.mean"	"final.peek.impression.mad"	"final.peek.prefer.best.mean"	"first.keep.points.mean"	"n"
"1"	1	5	0	441.438105391144	1.18174631763007	NA	NA	-0.00968682679031695	5000
"2"	1	5	5	425.607440284555	1.06277884748696	2.53394637376732	0.987	4.46105730974955	5000
"3"	1	5	10	405.987300592625	0.961365638492344	1.80976420683879	0.999	4.63100408587764	5000
"4"	1	5	15	382.420992191261	0.924163004410367	1.51266934281678	0.9996	4.56936151106422	5000
"5"	1	5	20	358.390288756108	0.856113007614505	1.30626664871212	1	4.52629622902117	5000
"6"	1	5	25	338.075189009279	0.83995439817954	1.2073940174674	1	4.56691314462144	5000
"7"	1	5	30	314.28066547519	0.791725952397302	1.0958883946713	1	4.37530361513066	5000
"8"	1	5	35	291.644473780256	0.779523621240347	1.02544388115995	1	4.50063713509189	5000
"9"	1	5	40	269.736596201657	0.772813908591161	0.988627882908981	1	4.59411501488897	5000
"10"	1	5	45	247.805844516128	0.746725013151086	0.925640602940321	1	4.64069032196068	5000
"11"	1	5	50	225.189649649862	0.732214316295376	0.893810446323138	1	4.50747815869137	5000
"12"	1	5	55	202.760791374417	0.722865833442619	0.849752682370856	1	4.54930416709055	5000
"13"	1	5	60	179.433531406754	0.708159479614096	0.828703076047465	1	4.4877709222525	5000
"14"	1	5	65	157.854419821308	0.705613910364593	0.797772894261865	1	4.65489857702819	5000
"15"	1	5	70	135.565292781027	0.705028720074403	0.777206895361053	1	4.44160317673014	5000
"16"	1	5	75	112.56856270196	0.690675734967724	0.754745202041809	1	4.43517128466718	5000
"17"	1	5	80	90.1907399823303	0.699695734733734	0.749699252216462	1	4.54687275879939	5000
"18"	1	5	85	67.521293258746	0.68921514297194	0.722444152504194	1	4.57164031856562	5000
"19"	1	5	90	45.1254403664512	0.686239189118689	0.709775945394982	1	4.52654130883269	5000
"20"	1	5	95	22.5565118084791	0.675781866764927	0.69066715117938	1	4.60782014042223	5000
"21"	1	5	100	0	0.682022642224706	0.682022642224706	1	NA	5000
"22"	1	10	0	401.99253934919	2.15576817346506	NA	NA	0.0509426485038134	5000
"23"	1	10	5	407.845037953736	2.03722706236312	5.12467516836253	0.8558	3.03916377985154	5000
"24"	1	10	10	397.543904180273	1.90086473463216	3.6779363749247	0.9362	3.97659736462737	5000
"25"	1	10	15	377.237597614968	1.79647284617208	3.03957316617914	0.9632	4.16725771341406	5000
"26"	1	10	20	360.830233657435	1.73245524865058	2.64317608964184	0.984	4.27761477838839	5000
"27"	1	10	25	337.415802364556	1.63760936263369	2.35298364121363	0.9918	4.32171938878513	5000
"28"	1	10	30	315.86700214345	1.58996142503812	2.19321085201546	0.9934	4.59640967656059	5000
"29"	1	10	35	293.292020660384	1.53964408061194	2.06697501411225	0.9966	4.68731087801447	5000
"30"	1	10	40	270.152250963278	1.51858085965897	1.93965174056718	0.9986	4.6652220676686	5000
"31"	1	10	45	244.379329620465	1.48380780600473	1.85604099097097	0.9994	4.05780665026371	5000
"32"	1	10	50	224.704362126064	1.47064482429102	1.78247874188149	1	4.19790711796333	5000
"33"	1	10	55	199.393378444105	1.45898723698178	1.72561458530327	0.9994	4.32946376939889	5000
"34"	1	10	60	178.776733830984	1.42048936147598	1.62958262808049	0.9998	4.78141422441886	5000
"35"	1	10	65	156.871044579227	1.41309575018495	1.59098965448855	0.9996	4.44086593998526	5000
"36"	1	10	70	135.501277218383	1.39730263059198	1.56112656703826	1	4.62169874570239	5000
"37"	1	10	75	113.041397724179	1.4046721228742	1.52481226726681	1	4.52084235960923	5000
"38"	1	10	80	90.4083259652482	1.3908634940969	1.49108023210823	1	4.21974173517972	5000
"39"	1	10	85	66.661012339502	1.36997652317886	1.43833500306618	0.9998	4.37640821408672	5000
"40"	1	10	90	44.6442439593415	1.381181180011	1.42771471681806	1	4.40183494104956	5000
"41"	1	10	95	22.3283861338921	1.39213820590514	1.41877909692677	0.9998	4.54679494185661	5000
"42"	1	10	100	0	1.37983825432654	1.37983825432654	1	NA	5000
"43"	1	20	0	315.398395498464	4.2803524912781	NA	NA	-0.507397699975781	5000
"44"	1	20	5	328.458698208632	4.03505634022046	10.3138546928394	0.7012	1.93409540350097	5000
"45"	1	20	10	334.038636275515	3.66318914522491	7.38935196542784	0.776	2.61601563534326	5000
"46"	1	20	15	335.952346198899	3.44261926501279	6.00157334060194	0.8328	2.83208921618229	5000
"47"	1	20	20	318.519240403876	3.31386294683344	5.27630663415491	0.8522	3.73785112055712	5000
"48"	1	20	25	309.389522484177	3.23901019056184	4.75872913276342	0.882	3.59299220794408	5000
"49"	1	20	30	288.754515480063	3.163203165049	4.43435500504336	0.8974	3.88869257947166	5000
"50"	1	20	35	271.870634868713	3.05199852113915	4.1060232839721	0.916	3.84142440513667	5000
"51"	1	20	40	251.008388312403	2.96991889997294	3.8693522202966	0.923	3.94260027415186	5000
"52"	1	20	45	234.902982183631	2.99647044633482	3.75485685121874	0.9358	3.57570899741809	5000
"53"	1	20	50	214.212399706044	2.92301037839531	3.54270338006224	0.9446	4.74284394102059	5000
"54"	1	20	55	192.230001152726	2.87454892642782	3.39004718234113	0.9526	3.71643066450018	5000
"55"	1	20	60	174.183001938766	2.88268119706904	3.3321735125245	0.9572	4.33811803529421	5000
"56"	1	20	65	151.67686222774	2.83799129220727	3.24568430775707	0.9532	3.75439239490024	5000
"57"	1	20	70	130.951077855245	2.82708869926855	3.17181521977453	0.9626	4.25655031108584	5000
"58"	1	20	75	109.660642227394	2.79004902924713	3.03916309363165	0.969	4.04910973937923	5000
"59"	1	20	80	89.5513862032526	2.78237164380594	2.98212998412787	0.9732	4.32645482452605	5000
"60"	1	20	85	65.5881579174609	2.75742567296038	2.90574603402658	0.9744	4.44675015047847	5000
"61"	1	20	90	43.5789547657711	2.7825542502225	2.88684567904742	0.9736	4.55355609342216	5000
"62"	1	20	95	21.8855225869732	2.74646697840003	2.79632108767612	0.9798	4.34972891223933	5000
"63"	1	20	100	0	2.78739529425727	2.78739529425727	0.9754	NA	5000
"64"	1	30	0	248.116279034573	6.50987976996212	NA	NA	0.187391656404196	5000
"65"	1	30	5	277.372620228759	6.07111853012645	15.3666807229172	0.6466	1.31871530577575	5000
"66"	1	30	10	288.579179705606	5.61570707735267	11.0029987538765	0.6904	1.89507194338031	5000
"67"	1	30	15	286.127586034526	5.25800431672447	8.91343023876475	0.7444	2.39047724704959	5000
"68"	1	30	20	279.99161018481	4.9823299794542	7.91097624525676	0.7528	2.50513898059953	5000
"69"	1	30	25	264.132573115205	4.85402145940189	7.22276968965779	0.784	2.83835635133113	5000
"70"	1	30	30	252.12236764487	4.69402129379946	6.57263492110829	0.8084	2.79167714556436	5000
"71"	1	30	35	235.185958792429	4.5958890915908	6.11630734906869	0.825	3.54193758207226	5000
"72"	1	30	40	225.625315775874	4.55120927517818	5.8670073322068	0.8322	4.28859322158606	5000
"73"	1	30	45	209.354729417584	4.42885099553459	5.55214165515145	0.851	3.63260056539107	5000
"74"	1	30	50	186.633384190585	4.34797330161736	5.35085857957749	0.852	3.7903408828934	5000
"75"	1	30	55	176.886856112291	4.33465840295856	5.14335717498025	0.8576	3.35359153798444	5000
"76"	1	30	60	151.752914002053	4.30719253101393	4.98474543491599	0.8704	3.97077505334378	5000
"77"	1	30	65	132.011701748547	4.23159841981317	4.77599116077392	0.8798	3.68732358238296	5000
"78"	1	30	70	120.194322163653	4.24349614369136	4.70437689746413	0.8914	3.70577634288941	5000
"79"	1	30	75	95.3679115290768	4.14360879808764	4.55821739672761	0.8852	3.8125026818693	5000
"80"	1	30	80	77.1412722614291	4.27253188070957	4.55175712633279	0.8944	3.85311274636232	5000
"81"	1	30	85	62.631318011794	4.13987000685264	4.35043659886724	0.901	4.49196053125923	5000
"82"	1	30	90	41.7688710212491	4.1596658546273	4.31514551602802	0.907	3.72784425695868	5000
"83"	1	30	95	21.0454520764534	4.12548497109207	4.18812600104505	0.9164	4.23302913969596	5000
"84"	1	30	100	0	4.13404588394303	4.13404588394303	0.9128	NA	5000
"85"	2	5	0	428.567816470673	1.83465222487143	NA	NA	-1.62076982585495	5000
"86"	2	5	5	422.089144164655	1.5944927947759	3.20989786400429	0.9234	3.86386481663146	5000
"87"	2	5	10	405.701205830807	1.37510080313919	2.23083711190664	0.99	4.41477267566228	5000
"88"	2	5	15	382.35988947901	1.24689688472158	1.82350055222292	0.9982	4.46231415371541	5000
"89"	2	5	20	359.830068738946	1.14275145925015	1.58414099151654	0.9996	4.37569994385542	5000
"90"	2	5	25	338.143682135799	1.07414891061078	1.43918983447673	1	4.62008993212081	5000
"91"	2	5	30	315.136278307079	1.036169284768	1.33659783348483	1	4.58114013651122	5000
"92"	2	5	35	291.87072437611	0.976956225239266	1.2188451811134	1	4.47203958905584	5000
"93"	2	5	40	270.40441540633	0.940521133185872	1.15527074705592	1	4.44867760463147	5000
"94"	2	5	45	246.659914285955	0.916088321867935	1.09270202536626	1	4.45733810590585	5000
"95"	2	5	50	224.905795954114	0.886957621713391	1.04459215019021	1	4.29892734553946	5000
"96"	2	5	55	202.695693214505	0.871823245843307	1.00691557616035	1	4.66363673089498	5000
"97"	2	5	60	179.769248107187	0.850539907584554	0.969698169078837	1	4.43047433636621	5000
"98"	2	5	65	157.567782288233	0.83987372577167	0.937039129092502	1	4.44320787034536	5000
"99"	2	5	70	135.697347742625	0.824644341293211	0.91162781782694	1	4.62965767588938	5000
"100"	2	5	75	112.124743448126	0.805406487555726	0.879207288348169	1	4.4409472355739	5000
"101"	2	5	80	89.4202832833801	0.79805001991647	0.854190331047258	1	4.49327201537953	5000
"102"	2	5	85	67.3563917276758	0.790903145953778	0.83386230738035	1	4.48390322007968	5000
"103"	2	5	90	44.5736344140047	0.80057347996562	0.829928139123626	1	4.57604792682241	5000
"104"	2	5	95	22.438590562734	0.795176961404029	0.808599160814401	1	4.55213012665317	5000
"105"	2	5	100	0	0.791589140561729	0.791589140561729	1	NA	5000
"106"	2	10	0	354.461600169746	3.18331498490625	NA	NA	-1.3343366077745	5000
"107"	2	10	5	367.891908367897	2.90639362650479	6.42519998471125	0.7034	1.66769741490156	5000
"108"	2	10	10	376.435201473804	2.59230090472005	4.46603164663445	0.82	2.9279636759499	5000
"109"	2	10	15	364.874055104374	2.35021076293111	3.64055248180172	0.8944	3.54547272889249	5000
"110"	2	10	20	353.956184186117	2.23814476297089	3.20383386981438	0.9316	4.0078911214768	5000
"111"	2	10	25	329.876074072729	2.112322213308	2.86645631609033	0.9556	4.22109854763887	5000
"112"	2	10	30	311.677034578512	2.01868392733942	2.63411733494134	0.97	4.31991134466504	5000
"113"	2	10	35	288.843919699594	1.97052085885238	2.46576602902253	0.979	4.26036858358324	5000
"114"	2	10	40	266.375004236765	1.88225029694884	2.32077590107614	0.9838	4.2540787990367	5000
"115"	2	10	45	247.209851198854	1.85650136395716	2.22416948748745	0.9928	4.35456386012173	5000
"116"	2	10	50	223.860214617307	1.77248211929172	2.09761277905831	0.9924	4.349477088847	5000
"117"	2	10	55	197.633157087007	1.71965561491849	1.98656995665342	0.9954	4.61716108881814	5000
"118"	2	10	60	178.791257460425	1.68645499635849	1.92182798196031	0.997	4.45315383165874	5000
"119"	2	10	65	155.676782392502	1.67598878486766	1.8774357370869	0.9968	4.45411348037502	5000
"120"	2	10	70	134.618041505133	1.64086215564852	1.81501192826391	0.9972	4.1731669751386	5000
"121"	2	10	75	112.836717020468	1.62745517032028	1.76134967774732	0.9994	4.82279596687292	5000
"122"	2	10	80	89.8861393851745	1.63145747541919	1.74671355208973	0.9992	4.41790601798848	5000
"123"	2	10	85	67.1530751631773	1.60463637753075	1.69590964972188	0.9994	4.6920341071366	5000
"124"	2	10	90	44.5771459164654	1.58940033437778	1.64259308863674	0.9998	4.5702524549764	5000
"125"	2	10	95	22.227372081198	1.60117896889395	1.63164130257223	0.9996	4.45178475761289	5000
"126"	2	10	100	0	1.5789696062398	1.5789696062398	0.9992	NA	5000
"127"	2	20	0	208.421773349283	6.05733707770717	NA	NA	-1.04739829664335	5000
"128"	2	20	5	223.103128486778	5.58446147149205	12.9521822811816	0.509	0.26896128743896	5000
"129"	2	20	10	252.135324143358	4.83822705516209	8.79370499201816	0.6132	0.729473171812994	5000
"130"	2	20	15	262.336470753523	4.46430994143759	7.29639302663467	0.6564	1.47991421745336	5000
"131"	2	20	20	261.167396604554	4.19705340842698	6.37366530198333	0.7024	2.03949313140447	5000
"132"	2	20	25	257.9954003858	3.98509132090948	5.73365016715439	0.7364	2.36037040820259	5000
"133"	2	20	30	248.811979649539	3.86524795215562	5.24994639488135	0.772	2.97726128765185	5000
"134"	2	20	35	233.133900757009	3.72552406042049	4.89360577574917	0.7912	3.36765868494272	5000
"135"	2	20	40	222.161968602447	3.60759284924306	4.60616536326383	0.8146	2.87942090545264	5000
"136"	2	20	45	206.783696152105	3.54518696824611	4.41201476297637	0.8282	3.16020912466552	5000
"137"	2	20	50	190.073825898963	3.44411151664524	4.15080743567325	0.8412	3.93508673064605	5000
"138"	2	20	55	172.84211691222	3.40635437881479	4.00400734528709	0.8612	3.32764170588593	5000
"139"	2	20	60	155.420416049197	3.36881958059796	3.9169792428507	0.8708	3.6948315446279	5000
"140"	2	20	65	137.768712940168	3.28628036590183	3.74713348374328	0.8894	3.38732140874737	5000
"141"	2	20	70	120.699639329088	3.27118441988903	3.65143801629654	0.8946	3.90396819738116	5000
"142"	2	20	75	100.695631042947	3.23137324937574	3.52901189836437	0.9138	4.22234000953228	5000
"143"	2	20	80	80.8993073004566	3.19952289602096	3.43882765083487	0.915	4.16049314385655	5000
"144"	2	20	85	58.8453447291027	3.20212872872573	3.38082526063437	0.9168	3.73511019546061	5000
"145"	2	20	90	42.6480234266646	3.19677366713048	3.31667005874338	0.9208	4.51512970718256	5000
"146"	2	20	95	19.897690509844	3.20361708795778	3.27711336388293	0.9218	3.94915588641256	5000
"147"	2	20	100	0	3.16085585334094	3.16085585334094	0.9336	NA	5000
"148"	2	30	0	128.651384574786	9.32493339120888	NA	NA	-2.10788954347773	5000
"149"	2	30	5	141.159890040203	8.35295856169764	19.1997747655779	0.4494	-0.848796399947682	5000
"150"	2	30	10	168.4367294595	7.33192677460786	13.2533817954476	0.5206	0.252817006536932	5000
"151"	2	30	15	174.233683844237	6.68576093563645	10.8307294674836	0.5444	0.483676193992586	5000
"152"	2	30	20	192.237341963784	6.24660185081304	9.49606526372971	0.5822	0.944324341189314	5000
"153"	2	30	25	191.132770326573	5.95746523964329	8.61884152669512	0.6158	1.03273875097212	5000
"154"	2	30	30	184.171858070094	5.61520177688818	7.81473136196665	0.647	1.99288372915349	5000
"155"	2	30	35	185.967999628393	5.42285741171471	7.27228541897027	0.6642	2.37423277653739	5000
"156"	2	30	40	166.555901174641	5.32475521768262	6.93564566317169	0.6718	2.4251453567913	5000
"157"	2	30	45	164.690316689921	5.16274100934113	6.57354181228774	0.696	2.30001637389239	5000
"158"	2	30	50	152.757355881932	5.08599711671366	6.253604842941	0.712	2.39174718921677	5000
"159"	2	30	55	137.768366503604	5.04214759926248	6.07502933019328	0.7128	2.69575016174949	5000
"160"	2	30	60	125.885709975555	4.98572911480732	5.83145796201999	0.7346	2.97180295007705	5000
"161"	2	30	65	108.366149058953	4.98139590400983	5.68678138447226	0.7458	3.10723337862711	5000
"162"	2	30	70	92.0275382903157	4.91789750565462	5.52739004132901	0.7524	2.62612937423046	5000
"163"	2	30	75	76.7486355269779	4.81526808891015	5.32789319396845	0.7662	3.5598119618236	5000
"164"	2	30	80	63.7967228910547	4.82071543782777	5.20975753445755	0.7654	3.80816031433784	5000
"165"	2	30	85	50.359742429024	4.73849754672953	5.04303013862738	0.795	2.73568069114471	5000
"166"	2	30	90	30.5867912534627	4.77766546062423	4.97342054205045	0.7834	3.44945881880189	5000
"167"	2	30	95	17.2346318998042	4.77494599662903	4.87219741208648	0.7964	3.59545173580143	5000
"168"	2	30	100	0	4.81441484606958	4.81441484606958	0.8022	NA	5000
"169"	3	5	0	419.116413815763	2.25993465114637	NA	NA	-2.46756198446779	5000
"170"	3	5	5	413.284536989775	1.9909677501965	3.71501454103945	0.8576	3.1989042294338	5000
"171"	3	5	10	404.460733997936	1.70994412175558	2.57570100542399	0.9608	4.1282502920134	5000
"172"	3	5	15	381.554253031842	1.51939583307542	2.08879077992434	0.9908	4.50627971637989	5000
"173"	3	5	20	360.783093355256	1.37760103254006	1.79738965927295	0.9972	4.56369957001256	5000
"174"	3	5	25	335.952143289672	1.30068001969732	1.65250182118917	0.999	4.34048090120153	5000
"175"	3	5	30	314.757950105581	1.19776727426092	1.48976824216956	0.9996	4.36414049253236	5000
"176"	3	5	35	292.56474521544	1.1463380117562	1.38909473082161	1	4.39409867785031	5000
"177"	3	5	40	269.602851227931	1.10551910150927	1.32287344838301	0.9998	4.40692967059128	5000
"178"	3	5	45	247.155576886289	1.06915211334753	1.25018040962967	1	4.49216285573581	5000
"179"	3	5	50	225.661741657318	1.03468181683552	1.19820091840614	1	4.55379682010106	5000
"180"	3	5	55	202.117089091466	0.994014651590782	1.12315374207076	1	4.60028811364238	5000
"181"	3	5	60	180.285913629519	0.973656412168098	1.09592640350759	1	4.50031277142595	5000
"182"	3	5	65	156.835846532999	0.954844331281737	1.05873718016097	1	4.52605578953666	5000
"183"	3	5	70	135.017089346138	0.938343489662732	1.02628111087431	1	4.52037226305108	5000
"184"	3	5	75	112.794689761398	0.921829156992337	0.997226149320789	1	4.53559423988284	5000
"185"	3	5	80	90.0096844442446	0.905932324388536	0.968247985429502	1	4.53159581060902	5000
"186"	3	5	85	67.6535578250401	0.901238874939095	0.942957517598589	1	4.58631034784432	5000
"187"	3	5	90	44.570537342222	0.891422721293601	0.923108895985167	1	4.46348368843724	5000
"188"	3	5	95	22.6616421214058	0.888746294727988	0.904612387142897	1	4.60361456606124	5000
"189"	3	5	100	0	0.884409180325583	0.884409180325583	1	NA	5000
"190"	3	10	0	317.675179086861	3.75167925209638	NA	NA	-2.30299824771322	5000
"191"	3	10	5	322.011767281098	3.58437106665008	7.43905843964829	0.574	0.515302527638001	5000
"192"	3	10	10	346.986483037492	3.10881047442972	5.13022655857355	0.7202	2.23995132980039	5000
"193"	3	10	15	346.632263842288	2.79783222440543	4.19073461209789	0.7928	2.58133355180015	5000
"194"	3	10	20	336.885658139873	2.59940236455229	3.61972095621638	0.864	3.34988919577341	5000
"195"	3	10	25	318.209178843257	2.46760943264152	3.25599470561974	0.8984	3.5115731731297	5000
"196"	3	10	30	306.012402604609	2.35571155416405	2.99569405261221	0.9242	3.75479541466434	5000
"197"	3	10	35	282.998531070947	2.27316436562669	2.79685980787778	0.95	3.76957536364731	5000
"198"	3	10	40	264.128427598307	2.18714950606935	2.63749652347155	0.9542	4.11365383061707	5000
"199"	3	10	45	244.287755734252	2.12094816596194	2.49610204411526	0.9686	4.27595134368754	5000
"200"	3	10	50	221.655108482028	2.05062620488777	2.3952418725194	0.9736	4.53175265660588	5000
"201"	3	10	55	198.842633827389	2.02080511145549	2.30262528404872	0.9806	4.2525602346268	5000
"202"	3	10	60	178.507764372909	1.96125027387867	2.20005759033696	0.9846	4.39363985311874	5000
"203"	3	10	65	156.665105518089	1.90898784743291	2.11972692420967	0.9896	4.47633105919049	5000
"204"	3	10	70	133.864241877193	1.88130252087587	2.06166805318738	0.993	4.46746305023403	5000
"205"	3	10	75	112.71226504686	1.85147799970634	1.99296726182784	0.9924	4.61799071376863	5000
"206"	3	10	80	90.0456672023375	1.82212569995141	1.94829240831208	0.9944	4.62768710612163	5000
"207"	3	10	85	66.6013661388234	1.79786344219591	1.8855576531749	0.995	4.53390502623221	5000
"208"	3	10	90	44.3111801058735	1.79142184298719	1.8610883024969	0.9968	4.34614496160945	5000
"209"	3	10	95	22.4509440636999	1.77665546149851	1.80934075590052	0.997	4.59453728504857	5000
"210"	3	10	100	0	1.78595615640636	1.78595615640636	0.997	NA	5000
"211"	3	20	0	NA	60.4816431725202	0.610358722358722	NA	NA	5000
"212"	3	20	5	86.9204632134363	62.1377159848651	8.92727867044006	6.21146660977768	0.302845725767951	5000
"213"	3	20	10	106.680574777344	82.0829243478556	6.35212873625467	4.45130029780179	0.312444219475116	5000
"214"	3	20	15	116.64734110686	85.5645873384396	5.21699127510729	3.7624349279509	1.29125497512819	5000
"215"	3	20	20	121.964159572344	85.4926442352066	4.53935505088226	3.32026431066168	1.22113317209847	5000
"216"	3	20	25	125.318559400753	88.03199409207	4.12164765464343	3.04224327386295	1.75952064396671	5000
"217"	3	20	30	127.097663043427	86.7078580262275	3.83430797284083	2.83809530258372	1.38920108137854	5000
"218"	3	20	35	116.443627115478	85.1937205621033	3.56912263697429	2.67406301863526	1.70169074851017	5000
"219"	3	20	40	115.105602975576	78.2777361433211	3.38259243510509	2.55366134833836	1.7131806504904	5000
"220"	3	20	45	106.428383305337	73.5605321166738	3.20455571222217	2.46798161327629	2.07277445047296	5000
"221"	3	20	50	98.8023110672832	68.8255828492913	3.04615414962875	2.40268656403192	2.27787792181306	5000
"222"	3	20	55	87.8570189081426	65.2190281832728	2.8925605003626	2.31276026103049	1.78713582121914	5000
"223"	3	20	60	78.7490361823173	55.8280823076074	2.82313112324415	2.24016071899897	2.21570392254156	5000
"224"	3	20	65	75.4894427112312	48.5769179585179	2.70437464179422	2.19378269348656	2.74231177602143	5000
"225"	3	20	70	66.8624974349771	44.7288859040744	2.61042586920401	2.14397958189175	2.14630346926819	5000
"226"	3	20	75	53.7057899261723	37.186277182091	2.5313780660989	2.10060746229449	2.5361277486429	5000
"227"	3	20	80	42.2627995419412	31.2031355007716	2.46009480507649	2.06449898497316	2.44996533568323	5000
"228"	3	20	85	32.7962779221793	22.6377968699379	2.40883354488768	2.04821994569815	2.68154008726416	5000
"229"	3	20	90	21.8364000869615	16.7355847909991	2.29672952032944	2.01049185805757	2.48450212776656	5000
"230"	3	20	95	12.4521429570085	9.20066060596851	2.27550888591426	1.98879312680428	2.8159158654217	5000
"231"	3	20	100	1.25655604464098	2.10927670665344	2.21102670665344	1.93743432354745	NA	5000
"232"	3	30	0	56.3531344515356	10.5978704829376	NA	NA	-2.21333804124887	5000
"233"	3	30	5	55.8318636806022	10.353634372875	22.3711376222856	0.353	-1.49083963057762	5000
"234"	3	30	10	92.6386803842012	8.50347914245075	15.4789008945962	0.3894	0.303457180619214	5000
"235"	3	30	15	123.437856197126	7.58609772710294	12.5422067380318	0.4364	-0.281593967788031	5000
"236"	3	30	20	131.09508046357	7.1433569597462	10.9344376380115	0.4734	-0.0101359998408169	5000
"237"	3	30	25	124.392692091285	6.69839853948651	9.85274715859057	0.4912	-0.319774661613965	5000
"238"	3	30	30	129.728483426536	6.40046202567442	8.96837234187833	0.5196	0.177859886424044	5000
"239"	3	30	35	121.798352509527	6.17235338842151	8.38690925633584	0.5324	0.239167233318067	5000
"240"	3	30	40	127.293060148635	5.99024863433578	7.89251041620215	0.5524	1.65256172915678	5000
"241"	3	30	45	111.024449464739	5.81497703850664	7.49632844483767	0.5682	1.39556754862568	5000
"242"	3	30	50	113.517161380615	5.69575030479651	7.10390348352369	0.589	1.76463965993327	5000
"243"	3	30	55	104.176374152703	5.50941583349517	6.82787155502847	0.595	1.64595618324168	5000
"244"	3	30	60	97.6089915977507	5.53557231158132	6.59474264580611	0.6152	2.13298164647227	5000
"245"	3	30	65	78.4172695814405	5.39303778170478	6.31064415689003	0.6354	1.80173232408976	5000
"246"	3	30	70	72.2673778579981	5.35688455083705	6.17447382068226	0.646	2.07590887980999	5000
"247"	3	30	75	60.413019224082	5.35641386032102	5.99353367449235	0.6388	1.80938933235774	5000
"248"	3	30	80	47.8853602231818	5.29892217685466	5.81141875279824	0.6634	1.77859722472456	5000
"249"	3	30	85	37.9758003290947	5.29303907239064	5.68723318090375	0.6704	1.47116792262639	5000
"250"	3	30	90	24.3185058829442	5.28480922055234	5.5515586998652	0.6816	2.42937508996375	5000
"251"	3	30	95	12.8199175904662	5.30380273354648	5.44405216491324	0.7012	2.66751616013889	5000
"252"	3	30	100	0	5.32146883210796	5.32146883210796	0.7128	NA	5000
"253"	4	5	0	408.160467041873	2.53125872692564	NA	NA	-2.89472459257215	5000
"254"	4	5	5	406.772944188484	2.29987814553121	3.97074507512381	0.7814	2.47221380308498	5000
"255"	4	5	10	401.59205449566	1.96044087207933	2.81297527031414	0.9266	3.93292520431242	5000
"256"	4	5	15	381.54166942009	1.73715039467573	2.33511474059454	0.9768	4.31795972377963	5000
"257"	4	5	20	360.573175694503	1.5901790048641	2.03206837217711	0.9884	4.34945864512801	5000
"258"	4	5	25	337.269269909253	1.45876950899839	1.80220266071063	0.9978	4.45011195969059	5000
"259"	4	5	30	313.878118360796	1.37662854131173	1.66163277539849	0.9978	4.4778975441556	5000
"260"	4	5	35	291.910859204302	1.2997601705375	1.5489770524245	0.9994	4.51614335093629	5000
"261"	4	5	40	271.147434547953	1.24272883051897	1.44652754608338	1	4.52497982749979	5000
"262"	4	5	45	246.858405496879	1.19937035119606	1.37905751852998	1	4.48299329294963	5000
"263"	4	5	50	223.484523807263	1.15931183790714	1.31893663670026	1	4.529570859715	5000
"264"	4	5	55	202.442900619247	1.12117874135978	1.25676919684254	1	4.52955055050007	5000
"265"	4	5	60	180.145734484699	1.07866973739844	1.19794172440094	1	4.5452499097453	5000
