"n.bad"	"sd"	"n.peeks"	"final.impression.mad.mean"	"final.peek.prefer.best.mean"	"n"
"155"	2	30	35	8.25573143306336	0.6198	5000
"156"	2	30	40	7.66529683279425	0.6504	5000
"157"	2	30	45	7.34867004847336	0.6546	5000
"158"	2	30	50	6.88694654502209	0.6786	5000
"159"	2	30	55	6.47592799874127	0.6916	5000
"160"	2	30	60	6.29452882287499	0.7016	5000
"161"	2	30	65	6.00142174904083	0.7214	5000
"162"	2	30	70	5.73346349388183	0.738	5000
"163"	2	30	75	5.57509204829169	0.7504	5000
"164"	2	30	80	5.3724140454526	0.762	5000
"165"	2	30	85	5.22874985709642	0.7698	5000
"166"	2	30	90	5.0801314202364	0.7824	5000
"167"	2	30	95	4.94475066453652	0.7964	5000
"168"	2	30	100	4.83120620952671	0.8058	5000
"169"	3	5	0	5	0.2538	5000
"170"	3	5	5	4.00012339009838	0.8194	5000
"171"	3	5	10	3.47341713148185	0.874	5000
"172"	3	5	15	2.54679135564103	0.9628	5000
"173"	3	5	20	2.1387891465274	0.9878	5000
"174"	3	5	25	1.88269127471337	0.9946	5000
"175"	3	5	30	1.71433513773362	0.9984	5000
"176"	3	5	35	1.56130793252502	0.9988	5000
"177"	3	5	40	1.43916946169626	1	5000
"178"	3	5	45	1.36086009995857	0.9998	5000
"179"	3	5	50	1.31099217388135	0.9998	5000
"180"	3	5	55	1.22989014414696	1	5000
"181"	3	5	60	1.17819075903475	1	5000
"182"	3	5	65	1.11435201493662	1	5000
"183"	3	5	70	1.08646559099291	1	5000
"184"	3	5	75	1.04786840955701	1	5000
"185"	3	5	80	1.01112526427437	1	5000
"186"	3	5	85	0.985144436546855	1	5000
"187"	3	5	90	0.951068260328656	1	5000
"188"	3	5	95	0.93410614050309	1	5000
"189"	3	5	100	0.896518658115525	1	5000
"190"	3	10	0	5	0.2496	5000
"191"	3	10	5	7.93635050066692	0.5602	5000
"192"	3	10	10	6.97962494162833	0.5966	5000
"193"	3	10	15	5.10572462292205	0.725	5000
"194"	3	10	20	4.25289348657776	0.7952	5000
"195"	3	10	25	3.774124168848	0.8376	5000
"196"	3	10	30	3.39334598803475	0.8864	5000
"197"	3	10	35	3.12993460999875	0.9152	5000
"198"	3	10	40	2.89530154324657	0.9338	5000
"199"	3	10	45	2.71130543698199	0.955	5000
"200"	3	10	50	2.56935015431555	0.9666	5000
"201"	3	10	55	2.4889738459107	0.9682	5000
"202"	3	10	60	2.33110236043878	0.9796	5000
"203"	3	10	65	2.23502086279463	0.981	5000
"204"	3	10	70	2.16813099674547	0.9864	5000
"205"	3	10	75	2.08119730653833	0.9896	5000
"206"	3	10	80	2.01383662685406	0.9906	5000
"207"	3	10	85	1.94958364666153	0.9946	5000
"208"	3	10	90	1.90810199965701	0.996	5000
"209"	3	10	95	1.85606085540014	0.9964	5000
"210"	3	10	100	1.82084361096152	0.997	5000
"211"	3	20	0	5	0.2398	5000
"212"	3	20	5	15.9558813333479	0.3842	5000
"213"	3	20	10	13.7501507427916	0.3998	5000
"214"	3	20	15	10.1658519207966	0.4786	5000
"215"	3	20	20	8.52889802518567	0.5328	5000
"216"	3	20	25	7.49085298114017	0.5818	5000
"217"	3	20	30	6.84957242768528	0.6036	5000
"218"	3	20	35	6.21898847671353	0.6572	5000
"219"	3	20	40	5.80111993829189	0.6618	5000
"220"	3	20	45	5.39277742038865	0.699	5000
"221"	3	20	50	5.20347183963599	0.715	5000
"222"	3	20	55	4.95271661226064	0.7376	5000
"223"	3	20	60	4.71105756807236	0.7522	5000
"224"	3	20	65	4.51454865504571	0.778	5000
"225"	3	20	70	4.30715279218657	0.7898	5000
"226"	3	20	75	4.2050992510831	0.8038	5000
"227"	3	20	80	4.06464013634996	0.8212	5000
"228"	3	20	85	3.91831282409601	0.8298	5000
"229"	3	20	90	3.79829111479642	0.8422	5000
"230"	3	20	95	3.71275007036767	0.851	5000
"231"	3	20	100	3.60892066819692	0.8624	5000
"232"	3	30	0	5	0.2546	5000
"233"	3	30	5	24.0070578003046	0.3416	5000
"234"	3	30	10	20.7518567619398	0.3562	5000
"235"	3	30	15	15.3948093549894	0.3964	5000
"236"	3	30	20	12.7263761220863	0.4276	5000
"237"	3	30	25	11.2691556222445	0.4522	5000
"238"	3	30	30	10.2453246485796	0.4912	5000
"239"	3	30	35	9.32054023278642	0.5224	5000
"240"	3	30	40	8.63845628539779	0.5222	5000
"241"	3	30	45	8.19861151964696	0.5444	5000
"242"	3	30	50	7.71251410098936	0.562	5000
"243"	3	30	55	7.40937313113526	0.5712	5000
"244"	3	30	60	7.06259474061666	0.6046	5000
"245"	3	30	65	6.7703369149725	0.6028	5000
"246"	3	30	70	6.46561600980529	0.62	5000
"247"	3	30	75	6.26387786837667	0.631	5000
"248"	3	30	80	6.0430797968936	0.6588	5000
"249"	3	30	85	5.86820183450745	0.6576	5000
"250"	3	30	90	5.71567854305307	0.671	5000
"251"	3	30	95	5.52933230501211	0.6928	5000
"252"	3	30	100	5.45608608240378	0.6944	5000
"253"	4	5	0	5	0.206	5000
"254"	4	5	5	4.00376067558975	0.7908	5000
"255"	4	5	10	3.96088678145295	0.8002	5000
"256"	4	5	15	2.9075316229443	0.9182	5000
"257"	4	5	20	2.38986720963533	0.9672	5000
"258"	4	5	25	2.08985391701593	0.9866	5000
"259"	4	5	30	1.88987108589442	0.994	5000
"260"	4	5	35	1.7507956965428	0.9982	5000
"261"	4	5	40	1.61277171537791	0.999	5000
"262"	4	5	45	1.51260500098209	0.9996	5000
"263"	4	5	50	1.42685281077647	1	5000
"264"	4	5	55	1.35987111165268	0.9998	5000
"265"	4	5	60	1.2925672391944	1	5000
"266"	4	5	65	1.24353083779763	1	5000
"267"	4	5	70	1.19853998190102	1	5000
"268"	4	5	75	1.15256011823388	1	5000
"269"	4	5	80	1.11281658993257	1	5000
"270"	4	5	85	1.0746909634632	1	5000
"271"	4	5	90	1.04736115059013	1	5000
"272"	4	5	95	1.02650604841911	1	5000
"273"	4	5	100	0.990125369610091	1	5000
"274"	4	10	0	5	0.208	5000
"275"	4	10	5	7.99328416475404	0.4926	5000
"276"	4	10	10	7.98530013364116	0.4942	5000
"277"	4	10	15	5.76242118096235	0.6244	5000
"278"	4	10	20	4.81742805803602	0.6968	5000
"279"	4	10	25	4.24010143816253	0.761	5000
"280"	4	10	30	3.77577762073337	0.8046	5000
"281"	4	10	35	3.46374609612184	0.8458	5000
"282"	4	10	40	3.20402337614319	0.888	5000
"283"	4	10	45	3.03682316971333	0.9016	5000
"284"	4	10	50	2.84975715091961	0.9264	5000
"285"	4	10	55	2.71703241496527	0.9376	5000
"286"	4	10	60	2.59872428865876	0.9512	5000
"287"	4	10	65	2.49377407447831	0.9624	5000
"288"	4	10	70	2.40540065560274	0.971	5000
"289"	4	10	75	2.32108060428982	0.9764	5000
"290"	4	10	80	2.22025329814129	0.9814	5000
"291"	4	10	85	2.18872378166903	0.9804	5000
"292"	4	10	90	2.10193235375437	0.9864	5000
"293"	4	10	95	2.04157618376243	0.9892	5000
"294"	4	10	100	1.98969384831985	0.9928	5000
"295"	4	20	0	5	0.2038	5000
"296"	4	20	5	16.1198835286749	0.3344	5000
"297"	4	20	10	15.8149170318235	0.3486	5000
"298"	4	20	15	11.5741131010021	0.3904	5000
"299"	4	20	20	9.59127586951247	0.4468	5000
"300"	4	20	25	8.39996328052653	0.475	5000
"301"	4	20	30	7.5331101514803	0.52	5000
"302"	4	20	35	6.9166683994368	0.5436	5000
"303"	4	20	40	6.45883767688044	0.5624	5000
"304"	4	20	45	6.0532876702342	0.5998	5000
"305"	4	20	50	5.73322597625389	0.6234	5000
"306"	4	20	55	5.46186389575313	0.635	5000
"307"	4	20	60	5.18763467384099	0.6648	5000
"308"	4	20	65	4.99121767242443	0.6868	5000
"309"	4	20	70	4.81582804786968	0.6932	5000
"310"	4	20	75	4.5851171638572	0.7224	5000
"311"	4	20	80	4.44934876947748	0.7328	5000
"312"	4	20	85	4.36421219044624	0.7494	5000
"313"	4	20	90	4.19114947088091	0.7622	5000
"314"	4	20	95	4.06384659138447	0.7798	5000
"315"	4	20	100	3.96736973661936	0.7908	5000
"316"	4	30	0	5	0.2052	5000
"317"	4	30	5	23.7615018507362	0.2886	5000
"318"	4	30	10	24.0647037382811	0.29	5000
"319"	4	30	15	17.3746421051882	0.3244	5000
"320"	4	30	20	14.4035559193025	0.3462	5000
"321"	4	30	25	12.6070891726396	0.3704	5000
"322"	4	30	30	11.3661547573776	0.392	5000
"323"	4	30	35	10.3782107085648	0.4222	5000
"324"	4	30	40	9.71051772570344	0.4452	5000
"325"	4	30	45	9.12189658762525	0.4534	5000
"326"	4	30	50	8.618301977842	0.4772	5000
"327"	4	30	55	8.14771554185571	0.472	5000
"328"	4	30	60	7.81240560544788	0.5056	5000
"329"	4	30	65	7.48384058991862	0.5136	5000
"330"	4	30	70	7.1450046811588	0.5282	5000
"331"	4	30	75	6.94595776957625	0.5464	5000
"332"	4	30	80	6.67741929418173	0.548	5000
"333"	4	30	85	6.51341391999646	0.581	5000
"334"	4	30	90	6.31396747900593	0.5774	5000
"335"	4	30	95	6.10389394697847	0.5812	5000
"336"	4	30	100	5.97964302589984	0.6066	5000
