"trial.c"	"condition.mode"	"condition.difficulty"	"condition.stability"	"total.mean"	"total.median"	"peek.mean"	"outcome.mean"	"outcome.median"	"optionswitch.mean"	"modeswitch.mean"
"52"	7	"keep"	"hard"	"stable"	-83.5789473684211	-97.5	1	-17.8684210526316	-35	0.605263157894737	0
"53"	7	"peek"	"easy"	"dynamic"	9.89189189189189	9	0.567567567567568	-10.1621621621622	-26	0.621621621621622	0.27027027027027
"54"	7	"peek"	"easy"	"stable"	-4.5	-2	0.657894736842105	-19.3157894736842	-26	0.789473684210526	0.289473684210526
"55"	7	"peek"	"hard"	"dynamic"	-25.7368421052632	-24.5	0.631578947368421	-7.39473684210526	-35	0.526315789473684	0.368421052631579
"56"	7	"peek"	"hard"	"stable"	-39.9512195121951	-29	0.48780487804878	-19.3658536585366	-35	0.707317073170732	0.365853658536585
"57"	8	"keep"	"easy"	"dynamic"	3	6	1	-0.0697674418604651	1	0.744186046511628	0
"58"	8	"keep"	"easy"	"stable"	2.78571428571429	-2.5	1	1.16666666666667	1	0.642857142857143	0
"59"	8	"keep"	"hard"	"dynamic"	-86.2222222222222	-84	1	2.59259259259259	12	0.666666666666667	0
"60"	8	"keep"	"hard"	"stable"	-90.6052631578947	-100.5	1	-7.02631578947368	-8	0.684210526315789	0
"61"	8	"peek"	"easy"	"dynamic"	11.5405405405405	10	0.72972972972973	2.91891891891892	1	0.486486486486487	0.324324324324324
"62"	8	"peek"	"easy"	"stable"	-3.13157894736842	-1.5	0.657894736842105	1.76315789473684	1	0.631578947368421	0.473684210526316
"63"	8	"peek"	"hard"	"dynamic"	-28.2105263157895	-20	0.552631578947368	-8.3421052631579	-8	0.684210526315789	0.394736842105263
"64"	8	"peek"	"hard"	"stable"	-41.1951219512195	-29	0.536585365853659	-9.65853658536585	-8	0.658536585365854	0.439024390243902
"65"	9	"keep"	"easy"	"dynamic"	-5.58139534883721	0	1	-8.58139534883721	-6	0.604651162790698	0
"66"	9	"keep"	"easy"	"stable"	-5.30952380952381	-10	1	-8.09523809523809	-6	0.595238095238095	0
"67"	9	"keep"	"hard"	"dynamic"	-61	-57	1	19.6896551724138	23	0.620689655172414	0
"68"	9	"keep"	"hard"	"stable"	-67.6578947368421	-77.5	1	22.9473684210526	27	0.552631578947368	0
"69"	9	"peek"	"easy"	"dynamic"	7.21621621621622	9	0.567567567567568	-7.18918918918919	-6	0.540540540540541	0.378378378378378
"70"	9	"peek"	"easy"	"stable"	-7.07894736842105	-8	0.5	-7.5	-6	0.657894736842105	0.315789473684211
"71"	9	"peek"	"hard"	"dynamic"	-12.3684210526316	-12	0.657894736842105	23.5263157894737	27	0.605263157894737	0.263157894736842
