"workerid"	"condition.mode"	"condition.difficulty"	"condition.stability"	"n.peeks"	"p.peeks"	"total.points"	"duration"	"sex"	"age"	"barratt.all"	"max.nen.all"	"reg.sch.all"	"total.points.fh"	"total.points.sh"
"50"	"A1POQWMOWKNQCN"	"peek"	"easy"	"stable"	0	0	519	786	"male"	42	49	19	14	213	306
"51"	"A1Q9NMVO8HTX8H"	"peek"	"easy"	"dynamic"	91	0.455	-47	793	"male"	19	56	32	27	51	-98
"52"	"A1QUNP6IYOQMZ5"	"keep"	"easy"	"dynamic"	0	0	527	677	"female"	31	46	24	8	331	196
"53"	"A1R5TGEFPN0VP3"	"keep"	"easy"	"stable"	0	0	227	769	"male"	28	NA	24	NA	187	40
"54"	"A1R93MQYAFEVX1"	"peek"	"easy"	"dynamic"	12	0.06	65	724	"male"	43	54	27	NA	36	29
"55"	"A1RC2PD0YJFCU8"	"keep"	"easy"	"stable"	0	0	35	944	"female"	57	62	18	28	64	-29
"56"	"A1RS23JDZNF4KJ"	"peek"	"hard"	"stable"	118	0.59	152	762	"male"	29	75	34	25	16	136
"57"	"A1S7H2HZ5NAS3H"	"keep"	"hard"	"stable"	0	0	-299	548	"male"	24	NA	30	25	-329	30
"58"	"A1T0GTOZOVIDVI"	"peek"	"hard"	"dynamic"	141	0.708542713567839	150	1961	"male"	53	55	24	23	12	138
"59"	"A1T3LMVKIUR9OE"	"keep"	"hard"	"stable"	0	0	-97	497	"male"	32	67	27	24	7	-104
"60"	"A1U3Q2FXW1VET1"	"peek"	"easy"	"dynamic"	10	0.05	-13	885	"female"	51	57	25	19	-4	-9
"61"	"A1UL0HQUZQPMSX"	"peek"	"easy"	"stable"	17	0.085	738	349	"male"	22	68	19	20	235	503
"62"	"A1V0L5FYLMAHTG"	"keep"	"easy"	"stable"	0	0	950	1707	"female"	58	61	18	16	447	503
"63"	"A1W4Q0E00VP6VD"	"peek"	"easy"	"dynamic"	14	0.07	-10	599	"male"	24	80	31	23	447	-457
"64"	"A1WH32GYQOHIRQ"	"peek"	"hard"	"dynamic"	110	0.55	192	793	"female"	50	42	19	11	86	106
"65"	"A1XMFODRPFWKJ7"	"peek"	"easy"	"dynamic"	124	0.62	91	1300	"female"	45	48	28	23	69	22
"66"	"A1YBX7P5PY8LL"	"keep"	"hard"	"stable"	0	0	639	557	"male"	34	56	31	30	141	498
"67"	"A1YM0IWPC72J7V"	"keep"	"easy"	"dynamic"	0	0	635	908	"male"	23	45	25	27	230	405
"68"	"A1YW2N1HLYL8YK"	"peek"	"hard"	"dynamic"	78	0.39	25	1194	"female"	60	50	23	20	73	-48
"69"	"A1ZBCPFZH8XT7X"	"peek"	"easy"	"dynamic"	15	0.075	188	729	"male"	29	60	28	NA	308	-120
"70"	"A1ZPF2GZ6PHBDA"	"keep"	"easy"	"dynamic"	0	0	128	666	"female"	28	72	38	27	-61	189
"71"	"A1ZR0Q2OUOLW51"	"keep"	"hard"	"dynamic"	0	0	-276	895	"female"	31	NA	30	31	-9	-267
"72"	"A1ZW4UVS5NE338"	"keep"	"hard"	"dynamic"	0	0	-69	970	"male"	26	72	34	25	10	-79
"73"	"A20GSC7RIS8188"	"peek"	"easy"	"stable"	102	0.51	-36	1191	"female"	25	69	31	24	-13	-23
"74"	"A21K0YL66NDA42"	"peek"	"hard"	"stable"	144	0.72	-114	788	"female"	39	55	15	20	134	-248
"75"	"A21SFV3QQBIUXM"	"keep"	"easy"	"stable"	0	0	545	1049	"female"	67	47	25	17	367	178
"76"	"A225DS4YI3J8RG"	"keep"	"easy"	"stable"	0	0	717	1616	"male"	33	63	25	23	298	419
"77"	"A22HX7JGLXHJQG"	"peek"	"easy"	"stable"	16	0.08	795	928	"female"	57	57	30	15	426	369
"78"	"A22KI4XY5JFW08"	"keep"	"hard"	"stable"	0	0	259	1695	"female"	29	68	26	22	118	141
"79"	"A22MNN3ZTBSAY3"	"keep"	"hard"	"dynamic"	0	0	78	944	"female"	26	48	25	29	63	15
"80"	"A231YJ92LOFV6T"	"peek"	"easy"	"stable"	96	0.48	182	1039	"female"	65	47	24	19	66	116
"81"	"A238WZ5QFBJME1"	"peek"	"hard"	"dynamic"	89	0.445	-508	849	"male"	23	NA	30	15	26	-534
"82"	"A23AV72MKVTNW2"	"peek"	"hard"	"stable"	102	0.51	-44	1309	"male"	25	79	30	24	-229	185
"83"	"A249KXEUUGKIXD"	"keep"	"hard"	"stable"	0	0	804	1260	"male"	28	51	34	29	306	498
"84"	"A24F80I9XHQP03"	"keep"	"easy"	"dynamic"	0	0	141	765	"male"	24	57	36	24	343	-202
"85"	"A24X5VS1MD2X0A"	"keep"	"easy"	"dynamic"	0	0	696	491	"male"	26	61	18	11	498	198
"86"	"A25APBYG5DTMTW"	"peek"	"hard"	"stable"	116	0.58	5	1720	"female"	41	49	27	14	4	1
"87"	"A25CPCNWF37U6L"	"keep"	"easy"	"dynamic"	0	0	49	947	"male"	24	53	33	22	39	10
"88"	"A26X054UJOBN6K"	"keep"	"easy"	"dynamic"	0	0	498	422	"male"	44	44	20	19	329	169
"89"	"A26ZENZ5G8AEGM"	"peek"	"easy"	"stable"	3	0.015	625	787	"female"	56	61	32	30	122	503
"90"	"A274M85LK91SKM"	"keep"	"hard"	"stable"	0	0	239	1687	"female"	32	77	26	17	85	154
"91"	"A27GZN1JOOIAUW"	"keep"	"easy"	"dynamic"	0	0	350	1775	"male"	26	54	28	12	469	-119
"92"	"A27IUQDZPHETTP"	"peek"	"easy"	"dynamic"	8	0.04	-105	1339	"female"	26	48	33	29	295	-400
"93"	"A27O2IILV3S5YS"	"peek"	"easy"	"stable"	117	0.585	-120	874	"female"	33	NA	30	5	16	-136
"94"	"A27UJAUWW4OSAG"	"peek"	"easy"	"stable"	81	0.405	-64	895	"female"	43	74	NA	NA	10	-74
"95"	"A28T8M1DBYTUQA"	"peek"	"hard"	"stable"	76	0.38	426	788	"female"	26	50	21	15	293	133
"96"	"A29OJFPXJP5ODV"	"keep"	"hard"	"dynamic"	0	0	103	1864	"male"	27	66	32	20	225	-122
"97"	"A2A3X2W4YS9X8A"	"peek"	"hard"	"dynamic"	8	0.04	564	893	"male"	35	56	25	34	548	16
"98"	"A2A8HRBDYBV6XJ"	"peek"	"hard"	"dynamic"	4	0.02	15	788	"female"	44	63	27	21	317	-302
"99"	"A2AV7RLLF25KG"	"keep"	"easy"	"stable"	0	0	732	615	"female"	23	50	21	21	296	436
"100"	"A2B533B7Y6Q0ID"	"keep"	"easy"	"stable"	0	0	-12	946	"female"	31	64	28	28	29	-41
"101"	"A2BK45LZGGWPLX"	"peek"	"hard"	"dynamic"	116	0.58	102	853	"female"	58	51	22	30	14	88
"102"	"A2BQSNRTCV8XQ4"	"keep"	"easy"	"stable"	0	0	115	1643	"female"	37	37	23	10	97	18
"103"	"A2C5880DXWXOE0"	"keep"	"hard"	"stable"	0	0	205	972	"female"	48	64	31	25	-82	287
"104"	"A2CS48CU9FUM4A"	"peek"	"easy"	"stable"	107	0.535	143	974	"male"	35	53	35	23	160	-17
"105"	"A2CVMLOH19SL5X"	"peek"	"easy"	"stable"	85	0.425	466	839	"female"	34	NA	20	27	212	254
"106"	"A2EPI9A2N9OP3J"	"peek"	"hard"	"stable"	163	0.815	42	2314	"female"	30	57	22	22	157	-115
"107"	"A2FW4EDFF6H40P"	"keep"	"easy"	"dynamic"	0	0	116	954	"female"	27	49	27	16	76	40
