"workerid"	"condition.mode"	"condition.difficulty"	"condition.stability"	"n.peeks"	"p.peeks"	"total.points"	"duration"	"sex"	"age"	"barratt.all"	"max.nen.all"	"reg.sch.all"	"total.points.fh"	"total.points.sh"
"210"	"AAKFUMPLS0U6N"	"keep"	"hard"	"stable"	0	0	269	1003	"female"	28	46	26	22	-19	288
"211"	"AB3EII39KUEPS"	"keep"	"hard"	"dynamic"	0	0	-666	1152	"male"	32	60	26	24	-265	-401
"212"	"AB5EN36L2TOZ3"	"peek"	"easy"	"stable"	81	0.405	422	487	"female"	25	58	32	22	166	256
"213"	"ADVZAZ12Z8N9J"	"keep"	"easy"	"stable"	0	0	129	-1	"female"	35	47	26	23	111	18
"214"	"AEY0183LLRYUX"	"keep"	"hard"	"stable"	0	0	386	323	"male"	22	NA	25	24	242	144
"215"	"AF33681RI3ES8"	"peek"	"easy"	"stable"	92	0.46	11	1001	"male"	46	77	23	18	12	-1
"216"	"AFOSHFLRNELUY"	"keep"	"hard"	"dynamic"	0	0	72	793	"male"	34	47	27	25	-84	156
"217"	"AFWKRID53R1XA"	"keep"	"hard"	"stable"	0	0	631	363	"male"	25	NA	33	26	266	365
"218"	"AG8FPQJHF5NTA"	"keep"	"hard"	"stable"	0	0	747	1449	"female"	41	54	NA	NA	263	484
"219"	"AGOTFFEBGJQS1"	"peek"	"easy"	"stable"	5	0.025	742	1695	"male"	57	39	28	19	404	338
"220"	"AH31QLJ57XC8W"	"keep"	"easy"	"stable"	0	0	285	480	"female"	30	72	25	20	157	128
"221"	"AHAS7F2WYBLSI"	"keep"	"hard"	"dynamic"	0	0	148	672	"male"	36	55	28	24	206	-58
"222"	"AHXE36JW3AY4J"	"keep"	"easy"	"stable"	0	0	225	766	"female"	34	57	32	25	46	179
"223"	"AI73488LTDOU0"	"keep"	"easy"	"stable"	0	0	1001	651	"male"	32	55	29	17	498	503
"224"	"AIDU9BF0OZLBL"	"peek"	"hard"	"stable"	122	0.61	167	1801	"female"	59	63	37	25	51	116
"225"	"AIPLQP4TXMFHO"	"peek"	"easy"	"dynamic"	105	0.525	28	1833	"male"	32	77	37	28	168	-140
"226"	"AL34XQQW441B2"	"keep"	"hard"	"stable"	0	0	-203	1353	"male"	44	55	21	16	-97	-106
"227"	"AL5VEM8UBFTG9"	"keep"	"easy"	"dynamic"	0	0	101	976	"male"	30	69	25	18	132	-31
"228"	"ANBIWXLNKFCQQ"	"keep"	"easy"	"stable"	0	0	684	469	"male"	27	62	17	22	181	503
"229"	"ANVXAMUEBGV8N"	"peek"	"easy"	"dynamic"	81	0.405	150	1325	"female"	51	52	28	21	97	53
"230"	"AO1QGAUZ85T6L"	"peek"	"easy"	"dynamic"	134	0.67	123	1219	"male"	57	50	21	22	118	5
"231"	"AOCX1V412ZRFC"	"keep"	"easy"	"dynamic"	0	0	-286	867	"male"	26	43	37	21	170	-456
"232"	"APQMFEY1KUL6A"	"peek"	"hard"	"dynamic"	38	0.19	101	1967	"male"	30	62	30	NA	-57	158
"233"	"APZEIAO75NCHM"	"keep"	"easy"	"dynamic"	0	0	729	815	"male"	28	64	25	18	452	277
"234"	"AQO200LO47UYN"	"peek"	"easy"	"stable"	120	0.6	8	708	"female"	29	53	22	23	-11	19
"235"	"AR0U3KQNIT2G5"	"peek"	"easy"	"dynamic"	126	0.63	211	751	"male"	30	60	19	14	234	-23
"236"	"ASKENT3CGE0VF"	"peek"	"easy"	"stable"	12	0.06	60	842	"male"	20	61	20	13	-66	126
"237"	"ASRI4XGCPE999"	"keep"	"easy"	"stable"	0	0	461	1085	"female"	51	65	23	23	193	268
"238"	"AT6ZE641N7W4D"	"peek"	"easy"	"stable"	104	0.52	-16	586	"male"	26	60	NA	NA	89	-105
"239"	"AU7A3QNJF3O00"	"peek"	"easy"	"stable"	22	0.11	373	977	"male"	26	44	17	20	122	251
"240"	"AV05BXQORIXZR"	"keep"	"easy"	"stable"	0	0	557	1473	"female"	40	51	38	14	225	332
"241"	"AVOF14300525D"	"keep"	"hard"	"stable"	0	0	425	1066	"female"	54	54	25	13	423	2
"242"	"AW20BA38TBP8O"	"peek"	"hard"	"stable"	0	0	70	728	"male"	32	NA	30	17	117	-47
"243"	"AWPPIW21DGL29"	"keep"	"easy"	"stable"	0	0	-3	1457	"male"	42	53	20	20	52	-55
"244"	"AYA4YHEEEO1T8"	"peek"	"hard"	"dynamic"	65	0.325	481	1088	"female"	32	56	20	25	142	339
"245"	"AYBMCJK8G46EU"	"keep"	"hard"	"dynamic"	0	0	120	835	"female"	25	68	NA	NA	-219	339
"246"	"AYSG3J2U3UF1Y"	"peek"	"easy"	"dynamic"	3	0.015	-33	675	"male"	55	62	26	28	18	-51
"247"	"AZBPKBT6IHZ0C"	"keep"	"easy"	"dynamic"	0	0	180	1018	"female"	24	60	23	27	60	120
"248"	"AZF5L5E93FGW0"	"peek"	"easy"	"dynamic"	41	0.205	-115	1213	"male"	35	49	23	24	-24	-91
"249"	"AZGOCLAHG5WK3"	"peek"	"hard"	"stable"	8	0.04	-401	775	"female"	25	NA	27	18	-626	225
"250"	"AZOA4V4PI0YBQ"	"peek"	"hard"	"dynamic"	82	0.41	-390	1145	"male"	33	49	26	19	-129	-261
