"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"final.peek.impression.mad"	"final.peek.prefer.best"	"final.peek.rank.best"	"first.keep.points"
"1"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	284.563961565226	0.707306532145033	1	85	0	0.85	NA	NA	NA	-4.22226805024165
"2"	100	5	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	416.700199946128	0.460804410829006	1	92	3	0.95	1.19113976374174	1	1	7.37903195532281
"3"	100	10	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	410.32705644586	0.899897186147136	1	86	5	0.91	2.69323193490242	1	1	5.92278448066479
"4"	100	15	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	393.703756017644	0.715130006263768	1	80	8	0.88	2.47456536370411	1	1	7.26117603078486
"5"	100	20	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	349.165074697107	0.135627441584728	1	77	10	0.87	0.688241491592079	1	1	-5.37587879629125
"6"	100	25	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	353.214380043814	1.74702150641285	1	75	13	0.88	1.82538819959985	1	1	-0.462864724459316
"7"	100	30	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	367.602307053412	0.860067379892347	1	69	15	0.84	1.46000258507701	1	1	4.19142915439485
"8"	100	35	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	281.143136838149	0.515912805540251	1	63	17	0.8	0.267207101105257	1	1	6.03003932741825
"9"	100	40	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	193.008783460839	0.716018495459969	1	57	20	0.77	1.1060255985179	1	1	0.48634567134913
"10"	100	45	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	248.667278869291	0.556789238712342	1	51	23	0.74	0.577148931906473	1	1	2.30132716275411
"11"	100	50	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	229.135376974271	0.0280223329925611	1	47	25	0.72	0.166693068264088	1	1	4.49279074176432
"12"	100	55	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	184.864960506838	0.257597645727858	1	43	28	0.71	0.786453377191567	1	1	-2.70320828452472
"13"	100	60	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	99.616532225779	1.39594480307048	1	38	30	0.68	1.09974274085299	1	1	-0.324079950213953
"14"	100	65	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	166.313308878122	0.0525004742684074	1	33	32	0.65	0.523622909066605	1	1	1.45459633402273
"15"	100	70	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	136.880948032428	0.4595980837984	1	30	35	0.65	0.66057758856054	1	1	1.29452673348158
"16"	100	75	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	132.987509116325	0.604424571352949	1	24	38	0.62	1.02373665797159	1	1	4.4332540396088
"17"	100	80	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	129.451268134028	1.20185563364373	1	20	40	0.6	1.00731845024199	1	1	-0.983383726717251
"18"	100	85	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	92.2473342276706	0.484312669897422	1	15	42	0.57	0.417376687121479	1	1	4.46836517816831
"19"	100	90	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	40.7193304464761	0.232862201112367	1	10	45	0.55	0.357639930937204	1	1	3.15533931995165
"20"	100	95	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	10.4893460588803	0.869426772311678	1	5	48	0.53	1.08541979751974	1	1	1.69727414562677
"21"	100	100	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	1	0	0.141260054667523	1	0	50	0.5	0.141260054667523	1	1	NA
"22"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	2	380.550535238172	0.729580988121604	1	94	0	0.94	NA	NA	NA	-9.13816597324784
"23"	100	5	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	2	459.008186298469	0.101889395663803	1	92	2	0.94	2.22259394734382	1	1	-1.06481427714915
"24"	100	10	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	2	290.841883677649	0.991002746151062	1	82	5	0.87	1.38949863850903	1	1	1.31605731722469
"25"	100	15	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	1	5	2	426.398894911119	1.51381197871555	1	84	7	0.91	3.14330005419203	1	1	10.2520942732593
