"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"final.peek.impression.mad"	"final.peek.prefer.best"	"final.peek.rank.best"	"first.keep.points"
"1"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	451.361784361444	2.66462690648974	1	93	0	0.93	NA	NA	NA	-3.98729001193484
"2"	100	5	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	383.742472429017	2.51599225364239	1	95	1	0.96	3.39811106590203	1	1	4.91589078806167
"3"	100	10	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	404.282684269215	1.07227383811625	1	85	2	0.87	3.2792261463662	1	1	7.28897574057322
"4"	100	15	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	439.995275970979	3.29304192300923	1	81	4	0.85	3.58603474159377	1	1	-4.19461298672757
"5"	100	20	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	316.475598909184	2.17147342618057	1	78	5	0.83	2.6311172508147	1	1	4.3335977557127
"6"	100	25	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	376.190196847744	0.309695110502858	1	73	6	0.79	1.1466915859585	1	1	10.782605661621
"7"	100	30	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	214.169583658198	1.83424842914186	1	68	8	0.76	2.41426318971879	1	1	-9.20928837952653
"8"	100	35	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	270.93622620009	1.17072193947691	1	60	9	0.69	1.35456453800026	1	1	11.1133247650729
"9"	100	40	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	316.076093936731	1.16781771050474	1	58	10	0.68	1.18868795354184	1	1	7.25723736522857
"10"	100	45	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	139.58431242298	1.1901490706109	1	52	11	0.63	1.44681492802367	1	1	10.1133022200517
"11"	100	50	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	249.738094374785	0.900284767095842	1	47	13	0.6	0.744554475558709	1	1	-2.5362728749731
"12"	100	55	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	227.285538038863	1.35721301338136	1	41	14	0.55	1.31654300783554	1	1	5.06862562896528
"13"	100	60	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	230.993771764171	0.801478868401545	1	38	15	0.53	1.05536310847478	1	1	-3.23625526375712
"14"	100	65	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	91.566622021191	1.12517633848475	1	34	16	0.5	0.907197615441294	1	1	4.17813959345094
"15"	100	70	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	143.779213439523	1.65883260423173	1	29	18	0.47	1.82666143843891	1	1	4.40557228095338
"16"	100	75	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	89.8337654822498	0.94688691950528	1	24	19	0.43	0.968880220959876	1	1	-4.69243237291042
"17"	100	80	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	111.533042138413	0.58481333543332	1	20	20	0.4	0.81306927978867	1	1	10.8704123261474
"18"	100	85	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	54.4939228505503	0.835113987861376	1	14	21	0.35	0.739192826925359	1	1	6.44157530263583
"19"	100	90	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	66.0224103235521	1.7491569904338	1	10	22	0.32	1.73367249817297	1	1	6.48234834661804
"20"	100	95	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	43.7431411214921	1.18552287773317	1	5	23	0.28	1.10018235635464	1	1	13.3882512250957
"21"	100	100	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	1	0	0.725975476898495	1	0	25	0.25	0.725975476898495	1	1	NA
"22"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	416.720661607787	1.52399878522802	1	91	0	0.91	NA	NA	NA	-13.6424136579024
"23"	100	5	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	464.733046755361	2.14139962811306	1	90	1	0.91	3.98133601526126	1	1	6.37199835698986
"24"	100	10	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	443.406128761907	1.344360573431	1	86	3	0.89	2.97963959343338	1	1	4.67766799133757
"25"	100	15	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	352.528442917389	1.40254746016538	1	81	4	0.85	2.56613902479359	1	1	7.36488835506259
"26"	100	20	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	352.568341537497	1.76162065127716	1	77	5	0.82	1.61310651437819	1	1	0.490180521654927
"27"	100	25	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	275.05884642047	0.907914715746552	1	71	7	0.78	1.44238804917873	1	1	6.95025022287729
"28"	100	30	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	440.500605972984	1.13912990500877	1	69	7	0.76	0.877141316914281	1	1	0.0411800297977072
"29"	100	35	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	320.678758523379	0.336826556909666	1	65	9	0.74	0.776325045784108	1	1	8.17468789569913
"30"	100	40	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	254.161206393923	0.990565536130911	1	58	10	0.68	1.30363701992181	1	1	5.35102836891862
"31"	100	45	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	223.593793925803	0.47419605818342	1	51	12	0.63	0.585987496791404	1	1	-8.96274045493634
"32"	100	50	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	131.826890593418	1.07014906861235	1	47	12	0.59	1.24225629040222	1	1	6.14800916226474
"33"	100	55	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	223.35780873206	0.793239881997215	1	43	13	0.56	1.24815669422801	1	1	7.54471114565481
"34"	100	60	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	156.460655976773	1.22152051969762	1	38	15	0.53	1.4594158935219	1	1	6.83002450467713
"35"	100	65	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	120.411792205158	1.26425797993019	1	33	16	0.49	1.15906376304225	1	1	12.3868599969585
"36"	100	70	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	114.383018218554	1.29188885301088	1	28	17	0.45	1.64471989079803	1	1	-0.285149922675959
"37"	100	75	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	122.561777524028	1.06599080090993	1	24	18	0.42	1.20515492898197	1	1	7.10002695646934
"38"	100	80	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	37.9721309090875	0.644047203003465	1	17	20	0.37	0.73995402145647	1	1	4.63510342539429
"39"	100	85	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	81.1296894593367	1.02977955556877	1	14	21	0.35	1.03630353891353	1	1	10.3058924323217
"40"	100	90	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	44.558098796048	1.13901215759529	1	10	23	0.33	1.26700348491965	1	1	-0.136022291668572
"41"	100	95	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	7.95580523021395	1.08410629890363	1	3	23	0.26	1.09388436555332	1	1	-11.1324600744908
"42"	100	100	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	2	0	0.886645456842157	1	0	25	0.25	0.886645456842157	1	1	NA
"43"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	3	451.202233955536	3.20800700529009	1	97	0	0.97	NA	NA	NA	0.78889426699088
"44"	100	5	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	3	441.004396277067	2.06756799837807	1	88	1	0.89	3.49019018673154	0	2	-13.1646798195485
"45"	100	10	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	5	3	603.089470564584	1.84968254228311	1	89	2	0.91	2.26101732125149	1	1	4.00419939308719
