"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"final.peek.impression.mad"	"final.peek.prefer.best"	"final.peek.rank.best"	"first.keep.points"
"1"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	338.26844283373	2.7724080102145	1	92	0	0.92	NA	NA	NA	-0.304434426040846
"2"	100	5	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	413.475661506881	2.11420609497279	1	93	1	0.94	3.29826252240531	1	1	11.4212694346949
"3"	100	10	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	460.896625877437	2.9903635183554	1	85	2	0.87	4.8925737437782	1	1	4.36890994564378
"4"	100	15	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	351.043145282994	1.21497117491314	1	80	3	0.83	1.13175056184961	1	1	-1.62739000000985
"5"	100	20	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	308.161564999616	2.68092694020567	1	76	4	0.8	3.00466684829971	1	1	10.6791270058933
"6"	100	25	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	400.07548222236	1.52206603030814	1	74	5	0.79	1.54488342128788	1	1	-3.37519329191497
"7"	100	30	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	262.911441555598	1.22095102217712	1	66	6	0.72	1.77036667267482	1	1	10.7088863178403
"8"	100	35	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	243.772505020676	1.15775770271112	1	64	7	0.71	1.60900482132599	1	1	1.84339940188474
"9"	100	40	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	287.192084748076	1.64594390404432	1	55	8	0.63	1.40321658733648	1	1	5.80347017491796
"10"	100	45	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	255.992410288708	1.25454132020319	1	55	9	0.64	1.66293861358631	1	1	4.54969197180154
"11"	100	50	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	239.994887728774	1.34754311249451	1	47	10	0.57	1.81267995207301	1	1	11.9840223326474
"12"	100	55	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	340.194135755949	1.79257133831985	1	44	11	0.55	1.77191247579517	1	1	16.0727970306444
"13"	100	60	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	159.10499193757	0.574362164261407	1	37	12	0.49	0.941962809824833	1	1	-3.82765212100365
"14"	100	65	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	169.404960421548	0.694828331816245	1	32	13	0.45	0.866233517229479	1	1	-4.92681088490927
"15"	100	70	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	111.672424643742	0.615082170543704	1	27	14	0.41	0.771103923637957	1	1	3.08489781618497
"16"	100	75	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	65.8940924800952	1.45912220510692	1	24	15	0.39	1.13248493663637	1	1	-2.00087379245404
"17"	100	80	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	151.689154102626	1.32785092188848	1	20	16	0.36	1.17316831917945	1	1	9.85910683086445
"18"	100	85	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	22.2629322745628	0.684945254776898	1	15	17	0.32	0.936275419131879	1	1	9.44750124951122
"19"	100	90	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	29.7052613889253	1.55074196109468	1	10	18	0.28	1.83040729764473	1	1	-1.24642595762122
"20"	100	95	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	37.0152918743083	1.18721548097916	1	5	19	0.24	1.12804649785159	1	1	14.4078073245789
"21"	100	100	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	1	0	1.63081388065593	1	0	20	0.2	1.63081388065593	1	1	NA
"22"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	368.687879033522	1.85414813850743	1	96	0	0.96	NA	NA	NA	4.21411409802838
"23"	100	5	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	418.150951502155	0.617823394900049	1	91	1	0.92	1.93107271525616	1	1	4.47831141937204
"24"	100	10	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	418.307131035383	3.28503803243302	1	88	2	0.9	4.37815291399486	1	1	14.6379470292331
"25"	100	15	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	390.308375610516	1.43901034200326	1	78	3	0.81	1.87703902999811	1	1	5.09153938798604
"26"	100	20	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	349.427294816085	1.54992029093453	1	76	4	0.8	1.68530675339901	1	1	1.58862434874893
"27"	100	25	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	363.668243957428	1.89131941126189	1	73	5	0.78	2.13322593158075	1	1	-2.51364196541273
"28"	100	30	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	298.508748760865	1.37305452180211	1	66	6	0.72	3.20075350422826	1	1	10.4295971290729
"29"	100	35	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	364.598979844206	0.96189605228863	1	62	7	0.69	1.0534837415655	1	1	-4.61340912811799
"30"	100	40	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	194.061636552598	0.838766995625407	1	56	8	0.64	0.968163090071582	1	1	10.4270454772077
"31"	100	45	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	176.525607020269	1.25957919202955	1	51	9	0.6	1.17191115935135	1	1	10.3352767893349
"32"	100	50	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	233.432189290305	1.18505923193424	1	47	10	0.57	1.56970408447317	1	1	5.62957317450991
"33"	100	55	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	231.437995481137	1.8694149470847	1	43	11	0.54	1.95679276088767	1	1	-2.10664187309224
"34"	100	60	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	153.59317985609	1.53990069276506	1	39	12	0.51	1.5291894844758	1	1	2.11256351045995
"35"	100	65	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	169.818570342148	1.50255444586816	1	33	13	0.46	1.49895664191078	1	1	5.15883283455823
"36"	100	70	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	125.095575344934	1.10309878141384	1	30	14	0.44	1.23223479632355	1	1	3.0909293259807
"37"	100	75	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	103.872944010981	1.21984989793557	1	23	15	0.38	1.40022672847171	1	1	10.6765219900245
"38"	100	80	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	54.8767407785977	0.903606102479783	1	17	16	0.33	0.867125818341859	1	1	9.43418347601968
"39"	100	85	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	58.3387531519887	0.216941411307141	1	14	17	0.31	0.34107808007907	1	1	-1.49815935336781
"40"	100	90	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	57.5861315857113	0.962166878363537	1	10	18	0.28	0.997486374153022	1	1	4.07050615049241
"41"	100	95	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	29.9732437879808	0.958962105851261	1	5	19	0.24	0.941917572040212	1	1	12.9038411332235
"42"	100	100	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	2	0	0.578501470954142	1	0	20	0.2	0.578501470954142	1	1	NA
"43"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	451.8336309735	3.62688107455209	1	97	0	0.97	NA	NA	NA	1.5842125988811
"44"	100	5	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	594.681890229682	2.65494392271479	1	93	1	0.94	2.85826930354552	1	1	4.5300676916507
"45"	100	10	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	420.873304272475	0.700829168829198	1	86	2	0.88	0.776085777655346	1	1	8.22125453539036
"46"	100	15	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	346.167009290409	1.20373017383546	1	80	3	0.83	2.10922775847279	1	1	-5.33538644446361
"47"	100	20	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	282.883808724636	1.88700885549439	1	75	4	0.79	1.73814263903387	1	1	5.62557008570093
"48"	100	25	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	341.322591666129	0.901756943445979	1	71	5	0.76	1.23158729454543	1	1	7.28171924050916
"49"	100	30	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	359.549316864936	1.28049606342525	1	63	6	0.69	0.990489731419836	1	1	12.0505746362923
"50"	100	35	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	358.787576599765	1.62718020942329	1	64	7	0.71	1.68043778368731	1	1	6.21916269278822
"51"	100	40	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	222.685258495944	0.885304681892351	1	57	8	0.65	1.5212477480799	1	1	2.82304273827623
"52"	100	45	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	196.231664823907	1.25999108529196	1	51	9	0.6	1.73959123371063	1	1	-1.27843488084097
"53"	100	50	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	182.50031439216	0.74422629179456	1	44	10	0.54	0.781054168725577	1	1	-0.427106168350876
"54"	100	55	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	246.709889284042	0.863544926428061	1	42	11	0.53	0.712982868688737	1	1	8.9421134201323
"55"	100	60	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	145.298039804766	0.389367951469863	1	36	12	0.48	0.89070728041184	1	1	7.67781798105054
"56"	100	65	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	189.621832301197	0.888175816478774	1	33	13	0.46	1.03616203855395	1	1	18.3783267738498
"57"	100	70	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	163.162592094992	0.815785082665225	1	28	14	0.42	0.76851453665306	1	1	7.33880871978678
"58"	100	75	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	58.0307950623899	1.29945283919794	1	22	15	0.37	1.14151239376328	1	1	-9.92321896235063
"59"	100	80	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	140.770015484395	0.802288456151882	1	17	16	0.33	0.50328788973424	1	1	13.785171283881
"60"	100	85	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	69.724748730287	1.20527156690999	1	15	17	0.32	1.47543597786649	1	1	5.01403933954259
"61"	100	90	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	47.6541867065929	0.890323754835561	1	9	18	0.27	0.895311796858163	1	1	9.09803295590015
"62"	100	95	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	20.929534550131	1.97524941383189	1	4	19	0.23	2.16463525650154	1	1	7.14855629636794
"63"	100	100	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	3	0	1.81242713333062	1	0	20	0.2	1.81242713333062	1	1	NA
"64"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	407.40640348393	0.99375948295799	1	87	0	0.87	NA	NA	NA	6.14382317738624
"65"	100	5	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	550.881248955266	1.92516579781331	1	86	1	0.87	3.40566079124252	1	1	-8.21865533789581
"66"	100	10	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	258.616000179794	0.855512869648897	1	80	2	0.82	3.94052245683207	0	3	-8.57835263712541
"67"	100	15	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	312.438265299803	1.76634072616081	1	80	3	0.83	2.05103997858971	1	1	-6.23588985161423
"68"	100	20	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	350.013207227477	1.2495611429864	1	76	4	0.8	2.4671772396533	1	1	-2.20688107902709
"69"	100	25	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	279.834219980836	0.53854811617626	1	68	5	0.73	0.973062329710257	1	1	12.7070673286368
"70"	100	30	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	238.805171342179	1.16205228647577	1	65	6	0.71	1.40042076698681	1	1	6.5110213567737
"71"	100	35	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	285.518379869432	1.115462471216	1	62	7	0.69	1.00146974112516	1	1	8.4326770457482
"72"	100	40	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	315.76056166485	1.57245300950045	1	59	8	0.67	1.97140567944786	1	1	-7.30561157167061
"73"	100	45	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	265.374147883223	1.03353653595455	1	52	9	0.61	1.67105403419809	1	1	-1.66321992768074
"74"	100	50	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	231.848256617504	0.576328414375135	1	47	10	0.57	0.736053768711096	1	1	2.81116423437417
"75"	100	55	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	192.541803072323	0.826978457767303	1	40	11	0.51	0.92303116278478	1	1	-4.07925515501863
"76"	100	60	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	145.291909267378	1.09638349945635	1	38	12	0.5	1.04131159812358	1	1	-6.68627305641126
"77"	100	65	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	131.702001174396	0.852877095138249	1	34	13	0.47	0.706609586986592	1	1	-0.811599201473543
"78"	100	70	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	139.648965607025	1.08379375825249	1	28	14	0.42	1.2869747643971	1	1	4.76651011843284
"79"	100	75	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	137.199585487557	1.21034698879049	1	24	15	0.39	1.07065268588845	1	1	8.03959079558114
"80"	100	80	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	113.362373393273	0.479092774516349	1	19	16	0.35	0.409365241090506	1	1	8.72029611191855
"81"	100	85	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	72.0193397179364	0.49952905532273	1	14	17	0.31	0.67689855703422	1	1	-5.77371741403449
"82"	100	90	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	8.00705447764174	0.586631693186094	1	8	18	0.26	0.584102741951029	1	1	10.8818199503364
"83"	100	95	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	28.5463119747469	0.898042044135524	1	5	19	0.24	0.94576358845038	1	1	3.40711092932416
"84"	100	100	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	4	0	1.08902219001735	1	0	20	0.2	1.08902219001735	1	1	NA
"85"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	5	414.356023897958	4.06662342755777	1	98	0	0.98	NA	NA	NA	0.17656993169339
"86"	100	5	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	5	424.378253153178	1.65847934014893	1	90	1	0.91	2.96400539012724	1	1	4.2145308569302
"87"	100	10	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	5	5	348.772907797445	1.75286739088804	1	86	2	0.88	1.90141879535197	1	1	3.94342442451699
