"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"final.peek.impression.mad"	"final.peek.prefer.best"	"final.peek.rank.best"	"first.keep.points"
"1"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	20	1	-760.0091499568	14.0010050262137	0	1	0	0.01	NA	NA	NA	-27.3414040824987
"2"	100	5	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	20	1	328.742749409065	2.64693583922414	1	73	1	0.74	10.9618492899152	0	3	-3.3175718357982
"3"	100	10	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	20	1	202.149053977795	3.90834622347497	1	69	2	0.71	13.6248568749793	0	3	-6.59099352630768
"4"	100	15	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	20	1	897.332961562336	8.34419460748971	1	83	4	0.87	14.1562601817272	1	1	22.8348487006744
"5"	100	20	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	20	1	-52.0380221107203	10.9865480834868	1	67	5	0.72	16.0398131749252	1	1	-20.3181621571462
"6"	100	25	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	20	1	613.865162009692	7.41781945735086	1	73	6	0.79	8.88854808195276	1	1	15.7525548554825
"7"	100	30	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	20	1	414.125310945991	3.28639668190158	1	70	7	0.77	3.52416486347606	1	1	20.6380444763958
"8"	100	35	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	20	1	125.753048124488	2.84023869795957	1	48	8	0.56	5.09604987783957	0	2	14.1660998726153
"9"	100	40	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	20	1	-75.8797819761492	5.25646367225167	1	55	10	0.65	5.49552248335118	1	1	9.52128870724862
"10"	100	45	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	20	1	573.64591666041	4.9732927041689	1	52	11	0.63	4.57702917604842	1	1	3.86833486045974
"11"	100	50	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	20	1	-156.593598564897	2.96788905769	1	39	12	0.51	2.67236074093045	1	1	23.6951916006934
"12"	100	55	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	20	1	-131.360831265323	4.27870553321893	1	11	13	0.24	6.14343238511209	0	2	-5.98880475840239
"13"	100	60	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	20	1	-264.715267593877	3.95127663960108	0	1	15	0.16	4.96822971524251	0	3	-42.0021529405471
"14"	100	65	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	3	20	1	-47.0109283023754	6.71201975524071	0	1	17	0.18	8.89270472165297	0	4	28.0358449437125
