"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"final.peek.impression.mad"	"final.peek.prefer.best"	"final.peek.rank.best"	"first.keep.points"
"1"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	30	1	997.438936041709	13.9928682981653	1	88	0	0.88	NA	NA	NA	9.2798852772189
"2"	100	5	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	30	1	-757.276374878738	9.61688004877461	0	1	1	0.02	31.1455027721048	0	4	14.5742953590497
"3"	100	10	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	30	1	432.169300899152	6.59776356238008	1	85	2	0.87	8.97276073286002	1	1	9.93480207653586
"4"	100	15	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	30	1	441.919056909552	5.73479243323842	1	84	3	0.87	6.43030701493889	0	2	-68.3632830311193
"5"	100	20	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	30	1	-266.649826838944	7.36445497991119	0	0	4	0.04	7.01554112521311	0	4	-21.5848745431255
"6"	100	25	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	30	1	-136.9393329935	7.67520826179114	0	1	5	0.06	8.59810471379297	0	5	-11.2906179301004
"7"	100	30	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	30	1	274.874778731992	3.48915381358557	1	56	6	0.62	6.10326203758994	0	2	22.2107589122696
"8"	100	35	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	30	1	555.033434353031	11.0833653133672	1	61	7	0.68	10.6948009684811	1	1	3.48019683752738
"9"	100	40	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	30	1	13.2891313931165	3.71224772377019	1	51	8	0.59	10.4777513459224	0	4	93.3947977453408
"10"	100	45	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	30	1	362.016282824005	6.68710954106317	1	52	9	0.61	9.19486513712634	1	1	-4.8639138090835
"11"	100	50	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	30	1	85.7459058646899	3.75236472848871	1	36	10	0.46	6.26383081606448	0	2	3.6088969181704
"12"	100	55	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	4	30	1	338.864363760988	8.47667941568836	1	40	11	0.51	8.21574432258321	1	1	52.1496294053302
