"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"final.peek.impression.mad"	"final.peek.prefer.best"	"final.peek.rank.best"	"first.keep.points"
"1"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	689.534639473686	3.50448370266309	1	93	0	0.93	NA	NA	NA	-12.7273122707176
"2"	100	5	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	425.450309318974	2.62651613565242	1	93	2	0.95	9.8571122173492	1	1	19.0951715621151
"3"	100	10	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	238.270122216468	1.18594709106939	1	83	3	0.86	2.02227874425934	1	1	1.16438028452668
"4"	100	15	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	225.235416711665	1.90638492204545	1	80	5	0.85	4.48489884525386	1	1	5.13315067014699
"5"	100	20	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	298.059526004095	0.386272295501831	1	78	7	0.85	1.05958331882047	1	1	-1.91785310038429
"6"	100	25	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	232.922410798428	4.10023337365395	1	75	8	0.83	3.89710872249048	1	1	-4.21771918443849
"7"	100	30	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	175.586831460911	2.81478626135265	1	69	10	0.79	2.01175714042674	1	1	4.19748497012285
"8"	100	35	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	410.027759003484	1.94179255633318	1	65	11	0.76	3.11802750148567	1	1	9.33337759702044
"9"	100	40	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	216.036073584271	1.76083120395014	1	55	13	0.68	2.54623847641225	1	1	-4.43123503965722
"10"	100	45	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	363.10768671311	3.52355599777527	1	52	15	0.67	3.96541338523773	1	1	5.12451720311666
"11"	100	50	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	209.294682108179	2.25020790263115	1	44	17	0.61	3.00275706254588	1	1	8.22984537611296
"12"	100	55	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	269.617897577546	0.558364828756041	1	42	19	0.61	0.367744750336369	1	1	19.0956187727896
"13"	100	60	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	80.0259381662467	0.716909193463982	1	39	20	0.59	0.173907307339737	1	1	14.6728117429392
"14"	100	65	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	163.016217950889	1.34663155468623	1	33	21	0.54	1.91589205951402	1	1	6.93247161498437
"15"	100	70	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	143.325329781596	1.40710899568815	1	29	23	0.52	1.82450181233938	1	1	-1.67550690746827
"16"	100	75	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	16.1770331595767	2.07340325516968	1	24	25	0.49	1.86344450307976	1	1	6.78245758154292
"17"	100	80	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	201.218599569731	1.27675071569144	1	18	27	0.45	0.389660842774438	1	1	-1.86306831943352
"18"	100	85	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	68.851525983406	0.799878568937858	1	15	28	0.43	0.86001855704812	1	1	6.03241562618206
"19"	100	90	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	84.9182883796197	1.62929343230833	1	10	30	0.4	2.11215058009762	1	1	6.05494571870776
"20"	100	95	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	14.2549022323649	0.96121920025537	1	5	32	0.37	0.932866753641435	1	1	-0.434447805690887
"21"	100	100	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	1	0	2.02765372444145	1	0	34	0.34	2.02765372444145	1	1	NA
"22"	100	0	"trial"	"uniform"	"egreedy.05"	"mean"	5	-5	1	2	10	2	136.056588624553	1.58890322261313	1	90	0	0.9	NA	NA	NA	2.81550609417264
