lfdn	duration	conditionNr	rand01	rand02	rand03	informedConsent	workerid	instrClear	bugs	bugDescr	effort	change	hotCold	hotColdOther	v_535	bimp_01	bimp_02	bimp_03	bimp_04	bimp_05	bimp_06	bimp_07	bimp_08	bimp_09	bimp_10	bimp_11	bimp_12	bimp_13	bimp_14	bimp_15	bimp_16	bimp_17	bimp_18	bimp_21	bimp_22	bimp_23	bimp_24	bimp_25	bimp_28	bimp_30	bimp_31	bimp_32	bimp_33	bimp_34	v_529	max_nen_01m	max_nen_02	max_nen_03	max_nen_04m	max_nen_05	max_nen_06	ant1	ant2	ant3	ant4	sex	age	attentionCheck	trustdata	readinstructions	datetime	date_of_last_access	rts3471294	rts3471295	rts3471296	rts3471298	rts3471299	rts3471300	rts3471302	rts3471303	rts3471700	rts3473046	rts3479835	rts3479837	rts3479839	rts3479841	rts3480907	rts3480908
56	1362	9	384	485	271	1	A1HK4I1TCQJR6P	1	1	-99	2	3	2	-99	2	4	1	4	3	1	2	4	3	4	3	1	4	1	1	4	1	2	1	4	1	2	1	3	1	3	4	1	2	3	2	2	5	1	4	5	6	25	23	4	-77	1	26	3	1	I read the instructions	09/10/15 14:31	09/10/15 14:53	19	41	200	800	924	1032	1076	1362	459	258	1158	1247	1318	0	693	502
33	407	2	397	535	483	1	A2O5OJXCUFQ3FV	1	1	-99	3	3	-77	-66	-77	3	2	2	3	3	2	2	3	3	3	3	3	3	2	2	2	3	3	3	2	3	3	2	3	2	2	3	2	2	3	4	3	3	3	3	2	-77	-77	-66	-77	2	25	1	1	-99	29/09/15 15:11	29/09/15 15:18	9	23	31	271	323	368	386	407	252	77	0	0	0	0	0	0
21	371	6	463	182	321	1	A2T22FJ28MIGI	1	1	-99	3	1	-77	-66	-77	3	1	1	2	1	2	4	3	4	3	1	4	3	1	4	1	2	1	4	1	2	1	2	1	1	2	1	4	4	1	4	5	1	1	6	6	-77	-77	-66	-77	1	29	3	1	I read the instructions	29/09/15 14:41	29/09/15 14:47	14	19	54	260	279	330	348	371	252	105	0	0	0	0	0	0
37	617	6	534	888	939	1	A3B7TNVOISSZ2O	1	1	-99	2	1	-77	-66	-77	3	2	3	3	1	2	3	4	3	3	2	3	2	2	4	1	1	2	3	1	1	1	2	1	2	2	2	3	3	2	5	5	3	4	6	6	-77	-77	-66	-77	1	36	1	1	-99	29/09/15 16:47	29/09/15 16:57	70	75	126	396	463	545	609	617	380	202	0	0	0	0	0	0
27	616	4	578	408	207	1	A1TLNLB9D87H6	1	1	-99	2	3	-77	-66	-77	4	1	3	1	1	2	4	3	3	4	3	4	4	1	1	1	1	3	3	1	1	4	1	1	2	2	3	2	3	2	6	7	7	6	6	2	-77	-77	-66	-77	2	31	3	1	I read the instructions	29/09/15 14:42	29/09/15 14:52	11	19	103	418	442	531	553	616	400	167	0	0	0	0	0	0
65	976	6	609	438	265	1	A19TL7AJ0FB1JG	1	1	-99	3	1	1	-99	-77	3	1	2	2	1	2	3	3	4	2	3	4	1	2	3	2	2	1	3	2	2	2	2	1	2	3	3	3	2	1	6	5	7	5	3	3	40	-77	-66	35	2	25	1	1	-99	09/10/15 15:52	09/10/15 16:09	13	32	211	746	842	910	930	976	507	271	947	0	0	965	734	540
36	611	5	640	722	693	1	AO63KMU3PGNJA	1	1	-99	3	2	-77	-66	-77	3	2	2	3	2	2	4	3	3	2	1	3	2	2	2	3	2	2	3	2	1	3	2	2	2	3	1	4	2	2	5	5	4	5	6	5	-77	-77	-66	-77	2	43	3	1	I read the instructions	29/09/15 16:39	29/09/15 16:49	81	88	129	399	488	562	581	611	371	175	0	0	0	0	0	0
32	630	1	672	581	789	1	ACCXC5V05C9R9	1	1	n/a	3	2	-77	-66	-77	4	1	2	4	1	1	4	4	4	4	1	4	4	1	4	2	1	1	4	2	1	1	2	1	2	2	1	4	4	1	1	7	1	1	6	6	-77	-77	-66	-77	2	42	3	1	I read the instructions	29/09/15 15:09	29/09/15 15:20	21	33	131	441	500	582	597	630	424	191	0	0	0	0	0	0
68	1172	9	707	235	755	1	A3L1VB6K50WQ44	1	1	-99	3	2	2	-99	3	3	2	1	1	2	2	3	3	2	3	2	3	3	2	3	1	2	2	4	1	1	4	2	1	2	2	2	3	3	1	4	2	6	6	6	5	25	20	-66	-77	2	29	3	1	I read the instructions	09/10/15 16:40	09/10/15 16:59	98	144	260	758	918	1021	1044	1172	544	318	1095	1144	0	0	744	585
57	1241	10	713	688	300	1	A2XJH3WC02RMXQ	1	1	-99	2	1	2	-99	2	3	3	4	4	2	3	3	3	3	2	3	3	3	3	3	2	2	3	3	2	2	4	3	3	3	3	3	4	3	2	6	5	5	7	7	5	27	-77	-66	20	1	35	3	1	I read the instructions	09/10/15 14:33	09/10/15 14:54	21	43	115	897	1023	1103	1131	1241	563	178	1161	0	0	1183	870	602
60	1704	1	764	183	323	1	A1BPV7X3HFU3S	1	1	-99	3	1	2	-99	3	3	1	2	4	1	1	3	4	3	2	1	3	3	1	1	1	1	1	4	1	1	3	1	1	1	2	1	4	4	1	2	6	2	2	6	5	20	-77	-66	25	1	33	1	1	-99	09/10/15 14:40	09/10/15 15:09	33	43	618	1305	1419	1510	1546	1704	1004	742	1618	0	0	1692	1234	1016
38	1126	7	845	167	901	1	A2SJC9VRBGNC58	1	1	n/a	3	3	-77	-66	-77	2	3	3	3	2	1	3	3	3	2	3	3	3	2	2	2	2	2	3	2	2	1	2	2	2	2	3	3	3	2	4	7	5	4	5	4	-77	-77	-66	-77	2	52	3	1	I read the instructions	29/09/15 17:08	29/09/15 17:26	61	66	239	556	914	1057	1087	1126	521	300	0	0	0	0	0	0
34	1064	3	867	677	687	1	A2LS0IJ90DA0UY	1	1	-99	3	2	-77	-66	-77	4	2	3	3	1	4	4	3	3	3	1	4	2	2	4	1	2	2	4	3	3	1	3	2	2	2	1	2	4	2	7	4	1	2	7	7	-77	-77	-66	-77	2	28	3	1	I read the instructions	29/09/15 15:18	29/09/15 15:36	54	181	376	755	840	968	1008	1064	729	451	0	0	0	0	0	0
24	1011	1	874	766	207	1	A39QOA9M7GNF86	1	1	-99	2	2	-77	-66	-77	3	1	3	2	1	1	3	3	4	3	1	3	3	1	2	3	2	1	3	1	1	1	1	1	2	3	1	2	4	1	5	6	2	2	5	5	-77	-77	-66	-77	2	33	3	1	I read the instructions	29/09/15 14:41	29/09/15 14:58	13	132	268	746	863	957	976	1011	731	412	0	0	0	0	0	0
71	1550	12	898	715	781	1	A3VBSPUPG256EK	1	1	-99	3	2	2	-99	2	3	1	1	4	2	2	4	2	2	3	2	3	2	2	3	1	2	3	4	1	2	1	2	1	3	3	2	3	4	2	5	6	6	5	7	7	10	-77	-66	30	2	23	1	1	-99	09/10/15 16:59	09/10/15 17:25	92	96	150	1283	1351	1451	1466	1550	970	578	1515	0	0	1539	1272	995
59	560	12	940	105	304	1	A2NAKIXS3DVGAA	1	1	-99	3	3	2	-99	2	3	2	3	2	2	2	3	3	3	3	2	3	3	2	3	2	2	2	3	2	2	3	2	2	2	2	2	2	3	2	2	2	4	2	5	5	25	20	-66	-77	1	22	1	1	-99	09/10/15 14:37	09/10/15 14:47	9	17	61	418	460	500	522	560	253	98	539	553	0	0	411	266
31	900	8	958	345	554	1	A2WX9BYW5TI8OA	1	1	-99	3	2	-77	-66	-77	3	1	2	4	1	2	4	3	4	1	1	4	1	1	3	1	2	1	4	2	1	1	2	2	2	2	1	4	3	1	2	5	1	1	6	3	-77	-77	-66	-77	2	49	3	1	I read the instructions	29/09/15 15:08	29/09/15 15:23	98	151	247	576	672	819	855	900	538	312	0	0	0	0	0	0
70	1070	11	969	821	201	1	AHDBHMH3AY1V2	1	1	n/a	3	2	1	-99	3	2	2	2	3	4	4	3	2	1	1	2	2	2	2	3	2	3	2	3	1	2	2	3	2	3	2	3	4	2	3	1	4	6	4	4	4	25	20	-66	-77	1	29	3	1	I read the instructions	09/10/15 16:58	09/10/15 17:16	11	18	96	727	857	960	982	1070	419	149	1035	1043	0	0	713	445
