"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"total.peeks"
"1"	100	0	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	434.713957477803	4.53492570162068	1	89	0	0.89	0
"2"	100	5	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	908.048828361781	5.78652107256085	1	90	2	0.92	5
"3"	100	10	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	-595.209236111235	8.80135245034039	0	1	3	0.04	10
"4"	100	15	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	156.261312276395	8.2980173246656	1	18	4	0.22	15
"5"	100	20	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	200.104235668929	6.24862755743314	1	76	5	0.81	20
"6"	100	25	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	234.244944437221	4.42542589735735	1	30	6	0.36	25
"7"	100	30	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	279.353916776692	4.67239533565042	1	59	7	0.66	30
"8"	100	35	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	701.573926496772	3.40923363675522	1	61	9	0.7	35
"9"	100	40	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	75.5507553842806	4.07846303632085	1	49	10	0.59	40
"10"	100	45	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	-68.9241868832939	6.86122297271591	0	0	11	0.11	45
"11"	100	50	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	34.3016103394065	3.47697025597751	1	47	12	0.59	50
"12"	100	55	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	510.736240324457	3.17706288566003	1	42	13	0.55	55
"13"	100	60	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	-151.13058088844	3.4779107481628	1	39	15	0.54	60
"14"	100	65	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	280.522168390783	3.84663491064616	1	32	16	0.48	65
"15"	100	70	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	197.921190035516	6.44580810414202	1	29	18	0.47	70
"16"	100	75	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	58.196800355307	5.96511051615735	0	0	18	0.18	75
"17"	100	80	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	-165.001437136746	5.36712743815109	1	7	20	0.27	80
"18"	100	85	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	94.3888133305637	3.16595738310859	1	15	21	0.36	85
"19"	100	90	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	-39.8160772967368	5.95664233535329	0	2	23	0.25	90
"20"	100	95	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	1.94271189865484	5.67985546592408	1	5	24	0.29	95
"21"	100	100	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	1	0	2.79567478819506	1	0	25	0.25	100
"22"	100	0	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	338.190056733813	5.03574067801757	1	80	0	0.8	0
"23"	100	5	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	-785.596962627578	11.827489896988	0	1	2	0.03	5
"24"	100	10	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	313.772612348875	7.89621748867372	0	2	3	0.05	10
"25"	100	15	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	43.3450480359668	7.45692087881408	0	4	4	0.08	15
"26"	100	20	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	312.208757930664	5.06948151564314	1	75	5	0.8	20
"27"	100	25	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	781.202618717538	6.55248762846223	1	73	6	0.79	25
"28"	100	30	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	-20.9176752798247	3.59971215250851	1	65	8	0.73	30
"29"	100	35	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	347.599171662263	4.81177322271218	1	61	9	0.7	35
"30"	100	40	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	82.411815838195	1.42061460392104	1	55	10	0.65	40
"31"	100	45	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	-3.33829530879553	5.99981640236905	0	0	11	0.11	45
"32"	100	50	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	421.367571203185	1.90662220547077	1	46	13	0.59	50
"33"	100	55	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	243.533636102269	4.26431053380191	1	44	14	0.58	55
"34"	100	60	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	386.054921144338	4.50364119228014	1	35	15	0.5	60
"35"	100	65	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	120.444407703816	2.95345849963786	1	33	16	0.49	65
"36"	100	70	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	290.080766890183	3.3649278462905	1	30	18	0.48	70
"37"	100	75	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	-186.142106366926	3.37769810322207	0	3	19	0.22	75
"38"	100	80	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	151.115989660005	2.44663199659236	1	18	20	0.38	80
"39"	100	85	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	-76.6830744394836	4.39723499387814	0	0	21	0.21	85
"40"	100	90	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	155.206935743885	5.17809056049113	1	10	22	0.32	90
"41"	100	95	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	-4.14791995994926	1.78827810263904	1	5	24	0.29	95
"42"	100	100	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	2	0	4.16124715206736	1	0	25	0.25	100
"43"	100	0	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	-68.1156260511394	5.2001769264248	1	88	0	0.88	0
"44"	100	5	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	818.810051907569	6.74511372823551	1	88	1	0.89	5
"45"	100	10	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	-576.812629138476	6.88210859527893	0	1	3	0.04	10
"46"	100	15	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	139.96095804363	4.31591432157529	1	81	3	0.84	15
"47"	100	20	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	402.153637936791	1.08558866347976	1	74	5	0.79	20
"48"	100	25	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	700.695971266785	6.23081008768294	1	67	7	0.74	25
"49"	100	30	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	610.233685079314	4.27101496974823	1	68	7	0.75	30
"50"	100	35	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	-123.897288754448	6.88152839618981	1	57	9	0.66	35
"51"	100	40	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	672.725669651592	6.08896112885966	1	58	10	0.68	40
"52"	100	45	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	403.715545537395	5.13991649257382	1	52	11	0.63	45
"53"	100	50	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	426.664498724516	6.35811434001028	1	47	13	0.6	50
"54"	100	55	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	-88.9509136611606	3.71012388307873	1	13	14	0.27	55
"55"	100	60	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	202.751509257928	4.48877923439326	1	38	15	0.53	60
"56"	100	65	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	9.97592206367614	5.13925866230115	1	32	16	0.48	65
"57"	100	70	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	-126.405655920418	2.97637887373967	1	23	17	0.4	70
"58"	100	75	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	449.738613208764	6.15926958338053	1	24	18	0.42	75
"59"	100	80	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	136.328826977767	1.26599648294089	1	18	20	0.38	80
"60"	100	85	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	122.839225543528	3.0381623622833	1	14	21	0.35	85
"61"	100	90	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	21.4363241866015	6.31003167338278	0	0	22	0.22	90
"62"	100	95	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	2.94897583681672	1.99680046477003	1	4	24	0.28	95
"63"	100	100	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	3	0	6.3131655065897	1	0	25	0.25	100
"64"	100	0	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	-233.733423754841	7.33066237354362	1	88	0	0.88	0
"65"	100	5	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	-262.093868088137	8.6271599824487	0	2	1	0.03	5
"66"	100	10	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	201.102460943677	9.2114942254888	1	72	3	0.75	10
"67"	100	15	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	425.876646206868	3.20137073368603	1	72	4	0.76	15
"68"	100	20	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	469.945595544698	2.81817865804027	1	73	5	0.78	20
"69"	100	25	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	330.648253546383	1.96240378410115	1	72	6	0.78	25
"70"	100	30	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	-35.1531522736571	2.11731119417128	1	60	8	0.68	30
"71"	100	35	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	107.852716905657	4.69570142025936	1	56	8	0.64	35
"72"	100	40	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	322.844023548417	5.59388495028271	1	41	10	0.51	40
"73"	100	45	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	-370.514599355604	5.49566068048238	1	28	11	0.39	45
"74"	100	50	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	219.159404121661	4.20059887147321	1	43	12	0.55	50
"75"	100	55	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	-72.3105865305654	3.66587476159946	1	45	13	0.58	55
"76"	100	60	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	-51.3962317780082	4.08849068215165	1	38	15	0.53	60
"77"	100	65	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	-125.018394735406	3.10651759301564	1	33	16	0.49	65
"78"	100	70	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	265.029556171975	1.82721825305921	1	29	18	0.47	70
"79"	100	75	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	76.342859375642	2.80945895533118	1	24	19	0.43	75
"80"	100	80	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	159.500757883406	2.73779473826047	1	20	20	0.4	80
"81"	100	85	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	134.453079726865	2.76423727752055	1	14	21	0.35	85
"82"	100	90	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	8.40394817624845	2.24624831699936	1	10	23	0.33	90
"83"	100	95	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	-7.35298617387735	5.31276799072133	1	5	24	0.29	95
"84"	100	100	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	4	0	4.06628243622952	1	0	25	0.25	100
"85"	100	0	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	-27.8681287136226	11.0931132412218	1	86	0	0.86	0
"86"	100	5	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	229.647155947472	2.80995172142548	1	86	1	0.87	5
"87"	100	10	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	294.26895656314	4.58846560657628	1	82	3	0.85	10
"88"	100	15	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	21.3814904853302	2.73784360857812	1	62	4	0.66	15
"89"	100	20	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	-182.2796299876	4.03605419754593	0	56	5	0.61	20
"90"	100	25	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	-117.347425813097	3.39166798873521	1	10	6	0.16	25
"91"	100	30	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	490.474421993051	2.67844124949752	1	69	7	0.76	30
"92"	100	35	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	38.8279934577696	4.36199683240413	1	60	9	0.69	35
"93"	100	40	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	-358.613284104799	8.04514956740493	0	0	10	0.1	40
"94"	100	45	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	131.85177920601	1.72318283121124	1	54	11	0.65	45
"95"	100	50	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	256.298352942869	3.85271019406493	1	33	13	0.46	50
"96"	100	55	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	-75.3413698749825	4.08329601856457	1	43	13	0.56	55
"97"	100	60	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	290.324980882413	2.11718440308555	1	38	15	0.53	60
"98"	100	65	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	336.57897731997	5.49899766903678	1	33	16	0.49	65
"99"	100	70	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	153.458281214324	2.84732617380642	1	28	17	0.45	70
"100"	100	75	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	-34.5042763357945	3.31733651033531	1	23	19	0.42	75
"101"	100	80	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	62.5465692545605	4.67684949534069	1	19	20	0.39	80
"102"	100	85	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	-32.3458815859728	4.41986226254251	0	10	21	0.31	85
"103"	100	90	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	101.342490387009	2.98632874511959	1	9	23	0.32	90
"104"	100	95	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	66.1026543733308	4.88703113851551	1	5	24	0.29	95
"105"	100	100	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	5	0	1.62397922461017	1	0	25	0.25	100
"106"	100	0	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	6	339.072437682443	5.53469432255091	1	95	0	0.95	0
"107"	100	5	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	6	618.804840340372	2.79716916411452	1	87	1	0.88	5
"108"	100	10	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	6	203.490246530736	3.15969151678344	1	83	2	0.85	10
"109"	100	15	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	6	-55.7797451487172	4.84278627031222	0	1	4	0.05	15
"110"	100	20	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	6	339.256996756041	5.338316354193	1	76	5	0.81	20
"111"	100	25	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	20	6	345.787608680452	2.67232904190988	1	72	6	0.78	25
