"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"total.peeks"
"1"	100	0	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	-134.423140222398	3.3126642225967	1	69	0	0.69	0
"2"	100	5	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	972.675146032776	6.01563994738418	1	79	1	0.8	5
"3"	100	10	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	347.189393431353	2.84493214002827	1	71	2	0.73	10
"4"	100	15	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	4.98250360683349	5.85112585334258	1	64	3	0.67	15
"5"	100	20	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	274.622339234104	4.84349128410443	1	59	5	0.64	20
"6"	100	25	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	-28.7085544086387	3.83206847781025	1	56	6	0.62	25
"7"	100	30	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	517.770509647621	3.5323318758686	1	54	8	0.62	30
"8"	100	35	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	426.804759929358	2.07146389668405	1	53	9	0.62	35
"9"	100	40	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	111.678546625247	4.84607560796669	1	51	10	0.61	40
"10"	100	45	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	-187.238662979291	4.07763546994869	0	1	11	0.12	45
"11"	100	50	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	-229.627815677774	4.79925133668697	0	5	13	0.18	50
"12"	100	55	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	-24.0354967353334	5.55917756586041	1	38	13	0.51	55
"13"	100	60	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	58.3708436773331	3.66219900287596	1	31	15	0.46	60
"14"	100	65	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	228.181229220543	1.96675025043565	1	25	17	0.42	65
"15"	100	70	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	70.6797446753158	3.42063604903776	1	23	17	0.4	70
"16"	100	75	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	-9.28043160088608	5.1078451228194	0	4	18	0.22	75
"17"	100	80	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	-50.6070190978119	4.02406250371673	1	16	20	0.36	80
"18"	100	85	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	-15.9880677466947	3.06039725180217	1	12	21	0.33	85
"19"	100	90	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	76.0649863803672	4.23130514089987	1	9	22	0.31	90
"20"	100	95	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	24.8723328683347	3.90079301893675	0	0	23	0.23	95
"21"	100	100	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	1	0	4.51375661258714	1	0	25	0.25	100
"22"	100	0	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	-193.887949582839	4.62058760719077	1	29	0	0.29	0
"23"	100	5	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	-11.7317229811781	3.85326531966399	1	62	2	0.64	5
"24"	100	10	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	-314.37328417724	4.53737387426264	0	16	2	0.18	10
"25"	100	15	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	428.188404048858	2.85723305586106	1	48	4	0.52	15
"26"	100	20	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	638.430777893292	4.11528328969089	1	64	5	0.69	20
"27"	100	25	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	-54.3997445210969	2.85090830379089	1	52	6	0.58	25
"28"	100	30	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	-160.434625385782	6.45538718027027	1	43	8	0.51	30
"29"	100	35	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	-52.9512515050521	1.91267537622439	1	52	9	0.61	35
"30"	100	40	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	202.665005883014	2.68582091343779	1	49	10	0.59	40
"31"	100	45	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	201.000189290241	3.98657385858259	1	45	11	0.56	45
"32"	100	50	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	434.30605536604	4.65033003511612	1	41	13	0.54	50
"33"	100	55	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	149.699936222568	2.57267453698181	1	37	13	0.5	55
"34"	100	60	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	114.910881244443	1.23299905898904	1	29	15	0.44	60
"35"	100	65	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	79.7230875963031	3.67574237491685	1	26	17	0.43	65
"36"	100	70	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	206.979720378502	3.92561346618919	1	25	17	0.42	70
"37"	100	75	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	134.593815638376	3.45580675306143	1	16	18	0.34	75
"38"	100	80	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	272.27635380966	5.77641851310564	1	18	20	0.38	80
"39"	100	85	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	174.614018370789	4.19919626738707	1	10	22	0.32	85
"40"	100	90	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	-52.3295190387873	3.80984464124217	1	10	22	0.32	90
"41"	100	95	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	3.11988513873788	5.93938919121557	1	4	23	0.27	95
"42"	100	100	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	2	0	3.53655480137286	1	0	25	0.25	100
"43"	100	0	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	244.379283785553	1.56818933636384	1	52	0	0.52	0
"44"	100	5	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	-445.293300145569	5.34006071021085	1	54	1	0.55	5
"45"	100	10	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	-516.104050951014	4.9975560320451	0	7	2	0.09	10
"46"	100	15	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	228.11495282756	5.18881645901923	1	70	3	0.73	15
"47"	100	20	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	-24.0413052226218	5.40816807721034	1	64	5	0.69	20
"48"	100	25	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	135.312527811376	1.90714208454028	1	54	6	0.6	25
"49"	100	30	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	-268.587830550506	5.67501014249258	1	16	8	0.24	30
"50"	100	35	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	-105.203273299828	6.43843932001195	1	50	8	0.58	35
"51"	100	40	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	316.894816631622	2.73984875316073	1	50	10	0.6	40
"52"	100	45	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	465.706402755575	3.9939157905489	1	44	11	0.55	45
"53"	100	50	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	381.059619355291	3.70068407403463	1	42	13	0.55	50
"54"	100	55	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	-61.9656902120021	2.0921726687107	1	37	14	0.51	55
"55"	100	60	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	-99.4905489415856	3.45314707834773	0	4	15	0.19	60
"56"	100	65	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	115.187164130127	1.00316400263364	1	25	16	0.41	65
"57"	100	70	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	3	74.1857626750852	4.65194042776196	1	22	18	0.4	70
