"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"total.peeks"
"1"	100	0	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	164.4806871304	1.71292065249988	1	78	0	0.78	0
"2"	100	5	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	121.528703839892	0.485867406424572	1	61	2	0.63	5
"3"	100	10	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	184.601335642574	0.39180915869784	1	68	5	0.73	10
"4"	100	15	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	149.587815615613	2.04540656967168	1	71	8	0.79	15
"5"	100	20	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	18.8335760543008	2.24780913370026	1	65	10	0.75	20
"6"	100	25	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	227.333001995006	0.772141293126401	1	59	13	0.72	25
"7"	100	30	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	50.7629718859039	1.09114324392577	1	52	15	0.67	30
"8"	100	35	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	138.303760003985	1.75807359656024	1	44	18	0.62	35
"9"	100	40	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	147.093437546552	1.4949643948571	1	54	20	0.74	40
"10"	100	45	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	255.849065508525	1.72541141043841	1	45	22	0.67	45
"11"	100	50	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	37.255625576033	1.30836946607369	1	34	25	0.59	50
"12"	100	55	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	132.874105158108	0.469672792828015	1	36	28	0.64	55
"13"	100	60	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	253.043401257311	1.71880618964195	1	31	30	0.61	60
"14"	100	65	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	89.7227925329584	1.30936760435443	1	28	33	0.61	65
"15"	100	70	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	170.704673183841	1.45056264140671	1	24	35	0.59	70
"16"	100	75	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	10.949047434489	0.596398334094673	1	22	38	0.6	75
"17"	100	80	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	103.933278109124	0.693534721427771	1	16	40	0.56	80
"18"	100	85	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	95.6836720867177	1.35904105292672	1	11	42	0.53	85
"19"	100	90	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	47.1057973618536	0.582750468449774	1	9	45	0.54	90
"20"	100	95	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	9.15655400638788	1.32918492872114	1	4	48	0.52	95
"21"	100	100	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	0	1.87291690268924	1	0	50	0.5	100
"22"	100	0	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	2	263.34656238129	0.389161188924229	1	79	0	0.79	0
"23"	100	5	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	2	250.521101908747	0.348573743837513	1	73	2	0.75	5
"24"	100	10	"trial"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	2	490.770222288199	1.46943047378746	1	74	5	0.79	10
