"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"total.peeks"
"1"	100	0	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	279.736820336151	4.07902175755167	1	88	0	0.88	0
"2"	100	5	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	169.106194763837	3.26798990393252	1	94	1	0.95	5
"3"	100	10	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	389.229706567892	8.01682732315295	1	89	3	0.92	10
"4"	100	15	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	136.888416377902	3.2257655527523	1	82	4	0.86	15
"5"	100	20	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	571.951192887676	2.80971647860021	1	80	5	0.85	20
"6"	100	25	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	341.636204878213	1.6084594376995	1	67	7	0.74	25
"7"	100	30	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	482.511895626053	1.16983408496314	1	69	8	0.77	30
"8"	100	35	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	333.09899695476	2.41681967447509	1	61	9	0.7	35
"9"	100	40	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	247.514360552662	1.47787099178095	1	57	10	0.67	40
"10"	100	45	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	382.731058131228	1.85498554819515	1	49	12	0.61	45
"11"	100	50	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	394.629894412277	3.42622108841121	1	48	12	0.6	50
"12"	100	55	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	482.150263425881	3.23953756753822	1	44	14	0.58	55
"13"	100	60	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	230.646590867631	1.58385511417239	1	36	15	0.51	60
"14"	100	65	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	175.784034856561	0.680163755021324	1	33	17	0.5	65
"15"	100	70	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	230.78950919287	2.54266667278761	1	30	18	0.48	70
"16"	100	75	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	204.844442755168	1.46294025018066	1	25	19	0.44	75
"17"	100	80	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	118.345873801656	2.52069233130874	1	20	20	0.4	80
"18"	100	85	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	57.9601637187968	1.39594430289218	1	14	21	0.35	85
"19"	100	90	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	-1.24643607337284	2.09934894781692	1	10	22	0.32	90
"20"	100	95	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	48.1553953841707	1.08604229235332	1	5	23	0.28	95
"21"	100	100	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	0	1.19463067248319	1	0	25	0.25	100
"22"	100	0	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	438.411178910613	3.54843245823852	1	93	0	0.93	0
"23"	100	5	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	551.622097419994	3.11061404169033	1	93	2	0.95	5
"24"	100	10	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	330.094732797506	2.86161879763506	1	80	3	0.83	10
"25"	100	15	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	450.719654527813	4.79393685895431	1	81	4	0.85	15
"26"	100	20	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	362.805082175856	1.32848805543754	1	76	5	0.81	20
"27"	100	25	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	217.221759826854	2.53565865644622	1	75	7	0.82	25
"28"	100	30	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	317.624442941601	3.12828133429413	1	66	8	0.74	30
"29"	100	35	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	393.143051488025	1.05126254572637	1	60	9	0.69	35
"30"	100	40	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	229.94255876482	1.87107819709156	1	58	10	0.68	40
"31"	100	45	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	272.267440915837	1.87192936358455	1	51	11	0.62	45
"32"	100	50	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	123.461951751484	3.23679904112971	1	49	13	0.62	50
"33"	100	55	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	148.956129574516	3.21084942426263	1	42	13	0.55	55
"34"	100	60	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	203.290550134536	2.14875115457834	1	38	15	0.53	60
"35"	100	65	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	219.625118809932	0.975230383480125	1	33	16	0.49	65
"36"	100	70	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	118.504559684171	1.04797467700454	1	29	18	0.47	70
"37"	100	75	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	186.507855203904	0.880032285413748	1	24	19	0.43	75
"38"	100	80	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	128.775180533135	1.97050628803691	1	19	20	0.39	80
"39"	100	85	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	79.3549130657525	2.74522684301258	1	14	21	0.35	85
"40"	100	90	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	-5.19884482801263	0.746200981902148	1	10	22	0.32	90
"41"	100	95	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	6.15807040378974	1.93525198394521	1	5	24	0.29	95
"42"	100	100	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	0	1.62595334382833	1	0	25	0.25	100
"43"	100	0	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	3	66.9716927991426	2.04008451858658	1	56	0	0.56	0
"44"	100	5	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	3	44.4016653006902	3.58054113025469	1	64	1	0.65	5
"45"	100	10	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	3	394.57973742504	4.36998486029989	1	85	3	0.88	10
