"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"total.peeks"
"1"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	1	939.085629541111	4.35056045566535	1	95	1	0.96	5
"22"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	2	403.848520955859	1.1944586742506	1	86	2	0.88	14
"43"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	3	-58.9224610140234	5.79160343149813	0	3	10	0.13	96
"64"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	4	436.566994554312	2.67363097399513	1	93	1	0.94	6
"85"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	5	-112.660926013903	5.25579093923349	1	63	30	0.93	34
"106"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	6	869.505035229953	2.74104436722863	1	90	4	0.94	10
"127"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	7	561.859177356955	4.46468725323621	1	93	2	0.95	7
"148"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	8	100.688705462358	2.05459026940413	1	61	2	0.63	39
"169"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	9	796.190992632137	6.06106670621585	1	90	1	0.91	10
"190"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	10	317.084163909321	1.52996149741874	1	89	7	0.96	11
"211"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	11	534.517679525566	3.90768134925406	1	91	2	0.93	9
"232"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	12	348.995804020582	5.38772434989096	1	88	10	0.98	12
"253"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	13	201.239890501701	1.40617236166935	1	85	5	0.9	14
"274"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	14	509.907891664118	1.90124213916104	1	94	1	0.95	6
"295"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	15	436.850349317524	8.11985475122694	1	81	13	0.94	19
"316"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	16	728.873562184931	4.46076379259478	1	91	1	0.92	7
"337"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	17	-29.4467617138078	2.93757735933699	1	32	3	0.35	46
"358"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	18	61.3170196984105	2.179215893726	1	47	5	0.52	34
"379"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	19	718.503600042754	7.60613831962422	1	97	1	0.98	3
"400"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	20	444.022580573487	2.17529854839092	1	93	2	0.95	7
"421"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	21	419.141802533974	3.71503168256768	1	89	6	0.95	10
"442"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	22	287.431189796422	2.73656484584741	1	87	1	0.88	4
"463"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	23	773.301601537799	7.58409381527738	1	94	1	0.95	6
"484"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	24	-14.4224739165908	12.2429934647365	0	0	4	0.04	98
"505"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	25	627.450760950481	2.38344240648732	1	88	6	0.94	12
"526"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	26	-87.6761940732682	6.41749691947711	0	0	6	0.06	95
"547"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	27	521.165049570799	0.550929581209666	1	90	1	0.91	9
"568"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	28	512.287497254858	5.1284595321883	1	92	1	0.93	6
"589"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	29	335.095825996582	3.49706960570979	1	52	5	0.57	9
"610"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	30	-205.139357357205	6.51350944592587	1	22	71	0.93	77
"631"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	20	31	314.814276374869	4.96880020104246	1	89	3	0.92	11
