"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"total.peeks"
"1"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	1	394.265232980523	1.45189099655458	1	86	3	0.89	8
"22"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	2	635.256781839504	2.13345287582357	1	94	1	0.95	6
"43"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	3	286.559552434444	2.01708407817542	1	92	2	0.94	8
"64"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	4	588.619796486643	2.88194090768316	1	93	2	0.95	7
"85"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	5	385.141672897852	0.516261879827408	1	76	2	0.78	22
"106"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	6	354.043438096653	2.06889149536573	1	98	1	0.99	2
"127"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	7	326.118095824536	0.819980099467664	1	70	10	0.8	28
"148"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	8	495.249840220689	3.5512594174445	1	84	2	0.86	13
"169"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	9	435.855303407275	1.27991074715923	1	89	2	0.91	9
"190"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	10	470.904404551811	2.67455693994373	1	92	1	0.93	8
"211"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	11	483.295692718396	5.4941843745863	1	96	1	0.97	4
"232"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	12	-18.6742790134911	5.29524949398292	1	1	5	0.06	99
"253"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	13	506.762903511959	2.25572748188223	1	95	1	0.96	4
"274"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	14	446.88569333064	0.501409508121983	1	89	3	0.92	10
"295"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	15	340.061920472542	2.66140638796587	1	93	1	0.94	7
"316"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	16	351.337591849872	2.73421046759823	1	93	1	0.94	3
"337"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	17	842.625885046441	3.87694801206741	1	94	1	0.95	6
"358"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	18	109.912453932811	1.58933152594708	1	15	7	0.22	77
"379"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	19	276.962882402005	2.62872934436414	1	92	1	0.93	5
"400"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	20	428.20094330434	0.845050333744042	1	87	2	0.89	9
"421"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	21	240.474556642894	0.559996206097523	1	55	5	0.6	44
"442"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	22	699.346803983708	2.32405753768759	1	94	1	0.95	6
"463"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	23	574.12386808205	1.66564485845217	1	91	2	0.93	8
"484"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	24	469.343869714078	3.46254450853552	1	85	7	0.92	15
"505"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	25	401.188400473427	1.30795562053421	1	97	1	0.98	3
"526"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	26	534.08799447306	2.51189182397526	1	95	1	0.96	5
"547"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	27	622.944670883936	2.21224181694764	1	84	2	0.86	8
"568"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	28	339.395321484774	4.1906570281888	1	89	1	0.9	11
"589"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	29	206.171280162744	4.6123182771968	1	92	4	0.96	8
"610"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	30	284.888069849023	2.15544281382812	1	87	7	0.94	13
"631"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	31	329.757047139255	3.86054256155661	1	88	2	0.9	3
"652"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	32	722.050408781418	3.26089294570807	1	90	1	0.91	9
"673"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	33	577.277552529927	1.98288337863985	1	81	3	0.84	19
"694"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	34	278.415007536505	0.638157271502706	1	67	5	0.72	31
"715"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	35	227.680240108636	4.20908395801112	1	95	1	0.96	3
"736"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	36	426.839056034805	4.00012250601554	1	96	1	0.97	4
"757"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	37	472.570960123858	2.41537083461963	1	93	1	0.94	7
"778"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	38	488.373046337123	1.17695248571643	1	97	1	0.98	3
"799"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	39	384.897885357837	2.22945708981223	1	89	2	0.91	10
"820"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	40	129.103731947648	1.38266972122463	1	27	12	0.39	72
"841"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	41	236.65488284169	0.9673290338663	1	81	6	0.87	18
"862"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	42	224.631005362143	0.161216320361271	1	45	5	0.5	54
"883"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	43	446.480827989779	2.21819469561033	1	59	8	0.67	41
"904"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	44	610.523307118175	5.95080145270125	1	94	1	0.95	3
"925"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	45	340.092566296256	4.1812348431948	1	92	2	0.94	8
"946"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	46	349.572383757025	4.49787714028655	1	93	2	0.95	7
"967"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	47	553.004695920368	1.43373548304523	1	95	1	0.96	5
"988"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	48	222.722611199837	3.1330762514409	1	90	1	0.91	10
"1009"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	49	566.346162627728	3.58644832990135	1	94	1	0.95	6
"1030"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	50	561.38201652752	0.67064049367736	1	96	1	0.97	2
"1051"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	51	526.763846122026	1.81114906739721	1	89	5	0.94	11
"1072"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	52	293.996276125127	1.43870985973466	1	74	10	0.84	22
"1093"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	53	179.842174377212	0.313232781632552	1	35	13	0.48	61
"1114"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	54	214.133557401687	2.7369231648614	1	83	2	0.85	14
"1135"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	55	671.836718407045	3.51934413543159	1	93	1	0.94	7
"1156"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	56	446.893673089938	0.902735788963349	1	89	2	0.91	8
"1177"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	57	298.081847502105	2.9179663377001	1	88	1	0.89	5
"1198"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	58	456.095951668031	2.56311336883698	1	80	1	0.81	5
"1219"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	59	343.659089343223	1.16173008082464	1	94	2	0.96	5
"1240"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	60	512.073039157927	1.64083041888211	1	88	9	0.97	12
"1261"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	61	481.330899650127	0.914867319344976	1	90	1	0.91	10
"1282"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	62	477.360589809516	1.59402316173041	1	90	1	0.91	10
"1303"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	63	499.814398856437	0.1871236659998	1	97	1	0.98	3
"1324"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	64	357.173974761259	4.35661436971818	1	92	2	0.94	5
"1345"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	65	370.180310893328	2.29774153709346	1	94	1	0.95	6
"1366"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	66	325.471967259653	1.69657021937615	1	79	2	0.81	16
"1387"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	67	375.690093101208	4.4441580252339	1	91	5	0.96	9
"1408"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	68	535.064561272295	3.72301089200247	1	94	1	0.95	6
"1429"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	69	283.7175785998	0.394082539063563	1	69	2	0.71	28
"1450"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	70	352.53109832664	1.44167490247527	1	89	3	0.92	11
"1471"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	71	331.748451064793	3.78811459214725	1	89	2	0.91	10
"1492"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	72	453.372873522919	2.52438439632199	1	91	1	0.92	8
"1513"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	73	288.367572698098	0.749369890567214	1	72	20	0.92	28
"1534"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	74	847.694489091663	3.66234287277181	1	97	1	0.98	3
"1555"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	75	402.819620684732	0.727102517983338	1	87	7	0.94	11
"1576"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	76	256.902660794727	2.33540834597575	1	83	6	0.89	17
"1597"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	77	264.683482572739	3.13733217472793	1	93	1	0.94	5
"1618"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	78	285.442830576898	0.601994365753859	1	46	3	0.49	54
"1639"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	79	297.287263620402	1.82416670729947	1	85	3	0.88	10
"1660"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	80	389.434939928731	0.57023378097135	1	73	4	0.77	26
"1681"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	81	215.07687656564	2.36149053359686	1	89	5	0.94	11
"1702"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	82	501.659608065914	2.27358370212611	1	74	2	0.76	12
"1723"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	83	286.567658259109	1.75145099522559	1	89	3	0.92	5
"1744"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	84	386.510240557247	1.07901562436715	1	92	2	0.94	8
"1765"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	85	444.542351448177	1.55958012294113	1	96	1	0.97	4
"1786"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	86	161.569653774609	3.85753201129698	1	91	1	0.92	8
"1807"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	87	532.885532611297	3.51411383317699	1	95	1	0.96	2
"1828"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	88	491.192912495069	3.47611031665966	1	90	1	0.91	3
"1849"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	89	332.717840811704	0.621141859460899	1	93	1	0.94	5
"1870"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	90	364.730984875249	2.6028747393884	1	94	2	0.96	6
"1891"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	91	538.289006096626	2.73547740975824	1	91	1	0.92	9
"1912"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	92	365.093848829673	1.14859290023844	1	92	2	0.94	8
"1933"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	93	143.309067555857	5.23322934773714	1	88	6	0.94	12
"1954"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	94	455.100356176188	1.47159635699057	1	92	2	0.94	8
"1975"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	95	520.788325546389	1.14677016790519	1	90	2	0.92	10
"1996"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	96	491.503348773681	0.24603264376653	1	95	1	0.96	5
"2017"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	97	574.237076604038	2.45616109152502	1	95	1	0.96	4
"2038"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	98	304.959561239909	2.06499232575648	1	91	1	0.92	8
"2059"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	99	56.4917876711598	1.7204763400157	1	43	7	0.5	55
"2080"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	100	501.409952158629	1.93925326697512	1	95	2	0.97	5
"2101"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	10	101	521.989756044108	2.98022527927555	1	94	1	0.95	6
