"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"total.peeks"
"1"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	5	1	322.275289552594	1.28305349594838	1	68	5	0.73	32
"22"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	5	2	413.698824492513	1.42785374542266	1	79	1	0.8	20
"43"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	5	3	338.032034091202	1.2098719729108	1	80	1	0.81	19
"64"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	5	4	267.796971300102	1.06480568301786	1	67	2	0.69	33
"85"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	5	5	400.867877189348	0.994778028399994	1	77	2	0.79	23
"106"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	5	6	383.404727655537	1.27706492951647	1	83	1	0.84	17
"127"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	5	7	372.672108885934	1.24443890016609	1	80	1	0.81	18
"148"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	5	8	393.620421159395	1.68476535010504	1	77	1	0.78	23
"169"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	5	9	379.625573466919	0.825685793130378	1	79	1	0.8	21
"190"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	5	10	357.691874665573	0.97696904312645	1	81	1	0.82	19
"211"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	5	11	296.532715631838	1.03204644589979	1	76	1	0.77	21
"232"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	5	12	309.461810433013	1.2279503060149	1	72	1	0.73	28
