"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"total.peeks"
"1"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	1	410.381597208542	3.63664738745866	1	65	15	0.8	29
"22"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	2	237.515937949463	2.95579191536398	1	85	1	0.86	13
"43"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	3	-88.2301308903271	2.2547595804009	1	36	27	0.63	48
"64"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	4	380.568174141284	5.7486172208465	1	89	2	0.91	11
"85"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	5	618.578962146662	5.36287937303209	1	93	2	0.95	6
"106"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	6	193.311292593945	4.89066688517945	1	90	1	0.91	7
"127"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	7	528.625966704389	3.01935042901202	1	92	1	0.93	7
"148"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	8	427.702149728956	2.5309054406755	1	84	1	0.85	5
"169"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	9	349.599675501775	6.24338352428893	1	95	1	0.96	5
"190"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	10	357.571797148058	2.73800955475587	1	94	1	0.95	5
"211"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	11	573.971199697686	2.11628901575529	1	95	1	0.96	5
"232"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	12	623.461749644348	4.3171226337768	1	92	1	0.93	7
"253"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	13	390.86263979541	2.71013892973109	1	90	2	0.92	8
"274"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	14	342.892612905502	2.64783622359879	1	91	1	0.92	9
"295"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	15	-46.735313072626	7.33119215906769	0	0	1	0.01	91
"316"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	16	494.597842544541	4.17343369146985	1	87	1	0.88	12
"337"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	17	268.377389075748	1.34630638603057	1	75	15	0.9	24
"358"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	18	386.04527046702	2.97900544439955	1	91	1	0.92	6
"379"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	19	470.837994153322	0.685625226097661	1	80	3	0.83	15
"400"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	20	384.017747413666	5.5707858869034	1	96	1	0.97	4
"421"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	21	269.500996381286	3.54046835853761	1	94	1	0.95	6
"442"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	22	674.256883493666	5.52483527079543	1	91	1	0.92	6
"463"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	23	673.538152685788	3.32580306927062	1	86	1	0.87	6
"484"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	24	487.254068224747	6.93928047914848	1	95	1	0.96	4
"505"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	25	534.086954739504	8.66605421835609	1	92	1	0.93	6
"526"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	26	461.83850176478	4.93002875441816	1	81	1	0.82	13
"547"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	27	617.755959185647	2.59829994085473	1	90	3	0.93	10
"568"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	28	364.355844467575	1.42991360256893	1	78	2	0.8	12
"589"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	29	522.163632962174	2.69256647681969	1	87	2	0.89	11
"610"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	30	518.581867942963	6.32506748134791	1	97	1	0.98	3
"631"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	31	368.206464262078	3.10822334532733	1	85	1	0.86	8
"652"	100	0	"expectation"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	3	10	32	385.30588853277	3.17336824875113	1	89	1	0.9	9
