"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"total.peeks"
"1"	100	0	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	5	1	427.180276869891	0.68191927997535	1	90	0	0.9	0
"2"	100	5	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	5	1	457.193607310718	1.05357871354726	1	90	2	0.92	5
"3"	100	10	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	5	1	398.597552367314	1.56658366443016	1	84	5	0.89	10
"4"	100	15	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	5	1	293.60201083231	0.897055653938879	1	79	7	0.86	15
"5"	100	20	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	5	1	337.869430652759	0.594918260721825	1	76	10	0.86	20
"6"	100	25	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	5	1	436.473330675009	0.318713481054524	1	74	12	0.86	25
"7"	100	30	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	5	1	253.781198246202	0.365438964957028	1	65	15	0.8	30
"8"	100	35	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	5	1	333.439255068755	0.36514165390719	1	63	18	0.81	35
"9"	100	40	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	5	1	351.212338020833	1.01991129094396	1	56	20	0.76	40
"10"	100	45	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	5	1	214.595851883865	0.115971380052054	1	49	22	0.71	45
"11"	100	50	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	5	1	249.40917601569	0.144441437223038	1	46	25	0.71	50
"12"	100	55	"trial"	"uniform"	"egreedy-.05"	"mean"	5	-5	1	1	5	1	241.737719115259	1.52026351512908	1	43	28	0.71	55
