"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"total.peeks"
"1"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	1	207.971916693592	2.22519011249841	1	79	1	0.8	19
"22"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	2	481.239519687544	1.66618319826177	1	80	1	0.81	20
"43"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	3	518.17824477202	1.0563398538267	1	82	1	0.83	18
"64"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	4	239.182353677398	1.95705260212005	1	76	6	0.82	24
"85"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	5	424.619463115375	2.37973680251211	1	73	1	0.74	13
"106"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	6	507.963038964318	2.39734151351844	1	78	1	0.79	22
"127"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	7	301.315255973157	3.34200887445472	1	74	3	0.77	20
"148"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	8	342.015040700048	1.41508263873815	1	79	1	0.8	19
"169"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	9	364.247894975746	1.97480539844564	1	75	1	0.76	25
"190"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	10	542.939218328183	4.708869687256	1	74	2	0.76	4
"211"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	11	319.369624655088	0.491388094452569	1	72	4	0.76	28
"232"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	12	247.369559891955	2.61360497483097	1	73	1	0.74	27
"253"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	13	203.666330265017	2.54236570981825	1	77	1	0.78	14
"274"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	14	296.458054815131	2.37339135717567	1	73	13	0.86	25
"295"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	15	471.973491649315	2.43542994664187	1	82	1	0.83	17
"316"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	16	244.109541509241	0.756456161126445	1	68	5	0.73	29
"337"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	17	413.126529833242	1.49951151104778	1	70	1	0.71	30
"358"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	18	483.556873957916	1.39101224001405	1	77	1	0.78	23
"379"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	19	186.205792247384	1.07914358609251	1	70	1	0.71	27
"400"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	20	369.366526645322	0.12109631747536	1	75	1	0.76	25
"421"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	21	340.456225764523	0.990598677273085	1	81	1	0.82	19
"442"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	22	421.01007367356	0.994521727643079	1	78	1	0.79	13
"463"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	10	23	373.404557965082	1.96078296407876	1	67	4	0.71	30
