"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"total.peeks"
"841"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	41	171.156005397898	5.54516402595646	1	28	11	0.39	60
"862"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	42	485.599227788528	3.89525848054974	1	59	5	0.64	36
"883"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	43	-61.1735681449974	4.9368861464517	1	37	11	0.48	49
"904"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	44	299.909720052934	2.18714853072476	1	71	1	0.72	23
"925"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	45	-221.716555138826	3.75959511413838	0	4	7	0.11	32
"946"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	46	-85.5765908099898	3.26856747579376	1	18	27	0.45	78
"967"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	47	252.865221537052	2.66157107362227	1	69	1	0.7	16
"988"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	48	505.224650004842	6.08804312220341	1	74	1	0.75	23
"1009"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	49	10.0338324097882	4.19401876850194	0	54	1	0.55	18
"1030"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	50	102.039360144502	6.52712715439641	1	72	1	0.73	17
"1051"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	51	323.093070352898	3.14428084381116	1	51	5	0.56	26
"1072"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	52	-118.69829510945	4.2277758249045	1	47	9	0.56	30
"1093"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	53	250.673328488246	3.54590899441209	1	57	3	0.6	29
"1114"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	54	-126.37572211898	2.97626702903425	1	46	33	0.79	49
"1135"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	55	132.936805490528	1.19524687137322	1	27	8	0.35	35
"1156"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	56	556.318606114064	6.92134300844978	1	77	1	0.78	16
"1177"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	57	-206.852398829653	5.49840916800576	0	2	9	0.11	75
"1198"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	58	-73.3661004996401	3.71134101790391	0	45	2	0.47	11
"1219"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	59	763.109809778277	3.72419826600123	1	83	1	0.84	17
"1240"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	60	418.606197745466	5.12782276303773	1	55	3	0.58	21
"1261"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	61	577.396596290207	6.48660339597176	1	74	4	0.78	20
"1282"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	62	404.211176587308	4.35756253830741	1	63	4	0.67	19
"1303"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	63	-174.688003653558	2.8697051440675	0	6	8	0.14	82
"1324"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	64	307.809744915039	8.25089336194871	1	78	1	0.79	18
"1345"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	65	-8.76035872643934	6.51785378266401	1	60	8	0.68	36
"1366"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	66	-89.2850758906901	7.51060041580857	0	0	8	0.08	77
"1387"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	67	-165.333603283157	4.75142099420379	1	11	49	0.6	82
