"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"total.peeks"
"1"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	1	309.040220302356	7.17810951767252	1	81	1	0.82	19
"22"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	2	505.235125328514	2.81639871946527	1	72	5	0.77	23
"43"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	3	-36.9973003896658	3.30309586266821	1	30	51	0.81	70
"64"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	4	250.856341181603	2.38794322208178	1	70	1	0.71	24
"85"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	5	344.827058814591	0.661364640700378	1	66	7	0.73	33
"106"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	6	461.810722884385	1.99506176825068	1	75	6	0.81	24
"127"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	7	-76.7750016054881	6.24482843011122	1	67	10	0.77	32
"148"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	8	407.452149964727	1.3372497033715	1	74	2	0.76	26
"169"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	9	179.367838998887	1.43904927584936	1	78	2	0.8	20
"190"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	10	57.5760078621217	1.79241376143207	1	63	13	0.76	37
"211"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	11	542.23348252192	3.46706822487192	1	71	10	0.81	29
"232"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	12	253.062731498626	1.41493560319589	1	72	4	0.76	28
"253"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	13	281.620666682981	2.04523144203177	1	62	14	0.76	33
"274"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	14	362.143520140699	1.16018694583134	1	67	14	0.81	32
"295"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	15	119.363179897107	1.408243824929	1	64	8	0.72	27
"316"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	16	398.732098549179	3.28252402408166	1	66	6	0.72	33
"337"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	17	421.516941464757	3.60916897265678	1	71	5	0.76	29
"358"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	18	377.768580735751	0.796404467204113	1	76	2	0.78	24
"379"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	19	405.190015090265	3.66307358440991	1	65	5	0.7	13
"400"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	20	810.092803531914	4.02316303337844	1	72	3	0.75	28
"421"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	21	145.999485473541	4.7806947659249	1	67	11	0.78	29
"442"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	22	542.372995663028	3.71467225759796	1	77	1	0.78	22
"463"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	23	430.034902642357	2.04385079512301	1	68	2	0.7	28
"484"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	24	153.747617590303	2.37342129093885	1	47	18	0.65	47
"505"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	1	20	25	471.157302551723	4.59088417232736	1	78	1	0.79	16
