"n.peeks"	"peek.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"final.impression.mad"	"final.peek.prefer.best"
"1"	0	"uniform"	"mean"	5	-5	1	3	10	1	5	0
"2"	5	"uniform"	"mean"	5	-5	1	3	10	1	4.36007154774669	1
"3"	10	"uniform"	"mean"	5	-5	1	3	10	1	7.47589729811583	1
"4"	15	"uniform"	"mean"	5	-5	1	3	10	1	2.379464205555	1
"5"	20	"uniform"	"mean"	5	-5	1	3	10	1	3.16004063159616	1
"6"	25	"uniform"	"mean"	5	-5	1	3	10	1	5.88008313432293	0
"7"	30	"uniform"	"mean"	5	-5	1	3	10	1	3.35936033311409	1
"8"	35	"uniform"	"mean"	5	-5	1	3	10	1	3.07676384163709	1
"9"	40	"uniform"	"mean"	5	-5	1	3	10	1	2.52213671281322	1
"10"	45	"uniform"	"mean"	5	-5	1	3	10	1	2.90974548929065	1
"11"	50	"uniform"	"mean"	5	-5	1	3	10	1	2.12526606738547	1
"12"	55	"uniform"	"mean"	5	-5	1	3	10	1	4.00774986087029	1
"13"	60	"uniform"	"mean"	5	-5	1	3	10	1	2.5216600530958	1
"14"	65	"uniform"	"mean"	5	-5	1	3	10	1	1.12210251080973	1
"15"	70	"uniform"	"mean"	5	-5	1	3	10	1	2.42255531066602	1
"16"	75	"uniform"	"mean"	5	-5	1	3	10	1	1.42700142909928	1
"17"	80	"uniform"	"mean"	5	-5	1	3	10	1	1.9160064470574	1
"18"	85	"uniform"	"mean"	5	-5	1	3	10	1	2.31736294690458	1
"19"	90	"uniform"	"mean"	5	-5	1	3	10	1	0.924694645737184	1
"20"	95	"uniform"	"mean"	5	-5	1	3	10	1	0.912978694846249	1
"21"	100	"uniform"	"mean"	5	-5	1	3	10	1	2.23101577822806	1
"22"	0	"uniform"	"mean"	5	-5	1	3	10	2	5	0
"23"	5	"uniform"	"mean"	5	-5	1	3	10	2	8.26972507733018	0
"24"	10	"uniform"	"mean"	5	-5	1	3	10	2	4.7313724250876	1
"25"	15	"uniform"	"mean"	5	-5	1	3	10	2	4.60193434297362	1
"26"	20	"uniform"	"mean"	5	-5	1	3	10	2	2.12090024075123	1
"27"	25	"uniform"	"mean"	5	-5	1	3	10	2	6.20776259235474	1
"28"	30	"uniform"	"mean"	5	-5	1	3	10	2	2.65550903655878	1
"29"	35	"uniform"	"mean"	5	-5	1	3	10	2	2.3780614364769	1
"30"	40	"uniform"	"mean"	5	-5	1	3	10	2	3.0551636516881	1
"31"	45	"uniform"	"mean"	5	-5	1	3	10	2	1.08513648552214	1
"32"	50	"uniform"	"mean"	5	-5	1	3	10	2	2.80589168569912	1
"33"	55	"uniform"	"mean"	5	-5	1	3	10	2	2.75480162950218	1
"34"	60	"uniform"	"mean"	5	-5	1	3	10	2	1.69392384803297	1
"35"	65	"uniform"	"mean"	5	-5	1	3	10	2	2.02484173184611	1
"36"	70	"uniform"	"mean"	5	-5	1	3	10	2	2.25793440560792	1
"37"	75	"uniform"	"mean"	5	-5	1	3	10	2	1.84517215046927	1
"38"	80	"uniform"	"mean"	5	-5	1	3	10	2	1.27674044480327	1
"39"	85	"uniform"	"mean"	5	-5	1	3	10	2	1.1694218392502	1
"40"	90	"uniform"	"mean"	5	-5	1	3	10	2	2.43089078744242	1
"41"	95	"uniform"	"mean"	5	-5	1	3	10	2	1.13647684164411	1
"42"	100	"uniform"	"mean"	5	-5	1	3	10	2	1.07738492820699	1
"43"	0	"uniform"	"mean"	5	-5	1	3	10	3	5	1
"44"	5	"uniform"	"mean"	5	-5	1	3	10	3	8.60394195622928	1
"45"	10	"uniform"	"mean"	5	-5	1	3	10	3	8.29639156134653	1
"46"	15	"uniform"	"mean"	5	-5	1	3	10	3	6.26899050415771	1
"47"	20	"uniform"	"mean"	5	-5	1	3	10	3	6.02567431202967	0
"48"	25	"uniform"	"mean"	5	-5	1	3	10	3	4.48611481612724	1
