"n.peeks"	"peek.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"final.impression.mad"	"final.peek.prefer.best"
"1"	0	"uniform"	"mean"	5	-5	1	4	5	1	5	0
"2"	5	"uniform"	"mean"	5	-5	1	4	5	1	5.63599535561222	1
"3"	10	"uniform"	"mean"	5	-5	1	4	5	1	2.95350771925926	1
"4"	15	"uniform"	"mean"	5	-5	1	4	5	1	2.93296953444347	1
"5"	20	"uniform"	"mean"	5	-5	1	4	5	1	2.40302941973311	1
"6"	25	"uniform"	"mean"	5	-5	1	4	5	1	2.88918514331159	1
"7"	30	"uniform"	"mean"	5	-5	1	4	5	1	1.911257310779	1
"8"	35	"uniform"	"mean"	5	-5	1	4	5	1	2.03887201092624	1
"9"	40	"uniform"	"mean"	5	-5	1	4	5	1	2.87009813317182	1
"10"	45	"uniform"	"mean"	5	-5	1	4	5	1	0.80262847524735	1
"11"	50	"uniform"	"mean"	5	-5	1	4	5	1	1.68408334796706	1
"12"	55	"uniform"	"mean"	5	-5	1	4	5	1	1.721887174788	1
"13"	60	"uniform"	"mean"	5	-5	1	4	5	1	1.08209773774061	1
"14"	65	"uniform"	"mean"	5	-5	1	4	5	1	1.45960963241647	1
"15"	70	"uniform"	"mean"	5	-5	1	4	5	1	2.27482287323562	1
"16"	75	"uniform"	"mean"	5	-5	1	4	5	1	0.883129450696698	1
"17"	80	"uniform"	"mean"	5	-5	1	4	5	1	1.04396031102759	1
"18"	85	"uniform"	"mean"	5	-5	1	4	5	1	1.06737969848602	1
"19"	90	"uniform"	"mean"	5	-5	1	4	5	1	0.960085284824458	1
"20"	95	"uniform"	"mean"	5	-5	1	4	5	1	1.24570012895319	1
"21"	100	"uniform"	"mean"	5	-5	1	4	5	1	1.54498721889627	1
"22"	0	"uniform"	"mean"	5	-5	1	4	5	2	5	0
"23"	5	"uniform"	"mean"	5	-5	1	4	5	2	3.44242409644548	0
"24"	10	"uniform"	"mean"	5	-5	1	4	5	2	2.90193657354378	1
"25"	15	"uniform"	"mean"	5	-5	1	4	5	2	2.02967376664284	1
"26"	20	"uniform"	"mean"	5	-5	1	4	5	2	2.46155418952864	1
"27"	25	"uniform"	"mean"	5	-5	1	4	5	2	2.41778224508134	1
"28"	30	"uniform"	"mean"	5	-5	1	4	5	2	3.14089920616703	1
"29"	35	"uniform"	"mean"	5	-5	1	4	5	2	2.49285704170155	1
"30"	40	"uniform"	"mean"	5	-5	1	4	5	2	1.92072918475994	1
"31"	45	"uniform"	"mean"	5	-5	1	4	5	2	0.82773628730108	1
"32"	50	"uniform"	"mean"	5	-5	1	4	5	2	1.82912684610775	1
"33"	55	"uniform"	"mean"	5	-5	1	4	5	2	1.4955531924728	1
"34"	60	"uniform"	"mean"	5	-5	1	4	5	2	0.888892780378577	1
"35"	65	"uniform"	"mean"	5	-5	1	4	5	2	1.16994321160878	1
"36"	70	"uniform"	"mean"	5	-5	1	4	5	2	1.87245220709574	1
"37"	75	"uniform"	"mean"	5	-5	1	4	5	2	0.90018901129611	1
"38"	80	"uniform"	"mean"	5	-5	1	4	5	2	1.52426250876891	1
"39"	85	"uniform"	"mean"	5	-5	1	4	5	2	1.19892941952191	1
"40"	90	"uniform"	"mean"	5	-5	1	4	5	2	0.836899352718713	1
"41"	95	"uniform"	"mean"	5	-5	1	4	5	2	1.11952105293777	1
"42"	100	"uniform"	"mean"	5	-5	1	4	5	2	1.44319723227394	1
"43"	0	"uniform"	"mean"	5	-5	1	4	5	3	5	0
"44"	5	"uniform"	"mean"	5	-5	1	4	5	3	3.64640282889836	0
"45"	10	"uniform"	"mean"	5	-5	1	4	5	3	3.86598000194755	1
"46"	15	"uniform"	"mean"	5	-5	1	4	5	3	1.7679162179742	1
"47"	20	"uniform"	"mean"	5	-5	1	4	5	3	2.81521067133351	1
"48"	25	"uniform"	"mean"	5	-5	1	4	5	3	2.46052540875854	1
"49"	30	"uniform"	"mean"	5	-5	1	4	5	3	2.10806702048543	1
"50"	35	"uniform"	"mean"	5	-5	1	4	5	3	1.329138531352	1
"51"	40	"uniform"	"mean"	5	-5	1	4	5	3	1.18830208633787	1
"52"	45	"uniform"	"mean"	5	-5	1	4	5	3	1.21601470233247	1
"53"	50	"uniform"	"mean"	5	-5	1	4	5	3	1.77288535984972	1
"54"	55	"uniform"	"mean"	5	-5	1	4	5	3	1.734358728075	1
"55"	60	"uniform"	"mean"	5	-5	1	4	5	3	1.00880899909607	1
"56"	65	"uniform"	"mean"	5	-5	1	4	5	3	0.945234370426168	1
"57"	70	"uniform"	"mean"	5	-5	1	4	5	3	0.30271049868161	1
"58"	75	"uniform"	"mean"	5	-5	1	4	5	3	1.27293613426117	1
"59"	80	"uniform"	"mean"	5	-5	1	4	5	3	1.28588674759129	1
"60"	85	"uniform"	"mean"	5	-5	1	4	5	3	1.00927606702043	1
"61"	90	"uniform"	"mean"	5	-5	1	4	5	3	1.0980580136737	1
"62"	95	"uniform"	"mean"	5	-5	1	4	5	3	0.636939820137587	1
"63"	100	"uniform"	"mean"	5	-5	1	4	5	3	1.23860678939004	1
"64"	0	"uniform"	"mean"	5	-5	1	4	5	4	5	0
"65"	5	"uniform"	"mean"	5	-5	1	4	5	4	7.36575200214525	0
"66"	10	"uniform"	"mean"	5	-5	1	4	5	4	2.97161552860993	0
"67"	15	"uniform"	"mean"	5	-5	1	4	5	4	4.09498075120939	1
"68"	20	"uniform"	"mean"	5	-5	1	4	5	4	1.38318603122027	1
"69"	25	"uniform"	"mean"	5	-5	1	4	5	4	1.47129163073417	1
"70"	30	"uniform"	"mean"	5	-5	1	4	5	4	2.05406831357807	1
"71"	35	"uniform"	"mean"	5	-5	1	4	5	4	2.53467244434007	1
"72"	40	"uniform"	"mean"	5	-5	1	4	5	4	1.6843576739994	1
"73"	45	"uniform"	"mean"	5	-5	1	4	5	4	0.970056403005603	1
"74"	50	"uniform"	"mean"	5	-5	1	4	5	4	1.20741166197112	1
"75"	55	"uniform"	"mean"	5	-5	1	4	5	4	1.5037877814343	1
"76"	60	"uniform"	"mean"	5	-5	1	4	5	4	1.3472111166547	1
"77"	65	"uniform"	"mean"	5	-5	1	4	5	4	0.98344732078336	1
"78"	70	"uniform"	"mean"	5	-5	1	4	5	4	1.02596946536335	1
"79"	75	"uniform"	"mean"	5	-5	1	4	5	4	1.22600903517266	1
"80"	80	"uniform"	"mean"	5	-5	1	4	5	4	1.45414751152401	1
"81"	85	"uniform"	"mean"	5	-5	1	4	5	4	1.24248919255768	1
"82"	90	"uniform"	"mean"	5	-5	1	4	5	4	0.766021415781665	1
"83"	95	"uniform"	"mean"	5	-5	1	4	5	4	0.708631009522566	1
"84"	100	"uniform"	"mean"	5	-5	1	4	5	4	0.864893122818327	1
"85"	0	"uniform"	"mean"	5	-5	1	4	5	5	5	0
"86"	5	"uniform"	"mean"	5	-5	1	4	5	5	4.83610094747999	1
"87"	10	"uniform"	"mean"	5	-5	1	4	5	5	3.31869876786307	1
"88"	15	"uniform"	"mean"	5	-5	1	4	5	5	0.924020737099133	1
"89"	20	"uniform"	"mean"	5	-5	1	4	5	5	2.92217661047378	1
"90"	25	"uniform"	"mean"	5	-5	1	4	5	5	2.51498890095434	1
"91"	30	"uniform"	"mean"	5	-5	1	4	5	5	2.47657288615236	1
"92"	35	"uniform"	"mean"	5	-5	1	4	5	5	2.33447968063382	1
"93"	40	"uniform"	"mean"	5	-5	1	4	5	5	1.83254871231102	1
"94"	45	"uniform"	"mean"	5	-5	1	4	5	5	1.91402544826974	1
"95"	50	"uniform"	"mean"	5	-5	1	4	5	5	1.14418994169497	1
"96"	55	"uniform"	"mean"	5	-5	1	4	5	5	1.71374495546839	1
"97"	60	"uniform"	"mean"	5	-5	1	4	5	5	1.93056266921199	1
"98"	65	"uniform"	"mean"	5	-5	1	4	5	5	1.45984834612461	1
"99"	70	"uniform"	"mean"	5	-5	1	4	5	5	1.40160364808636	1
"100"	75	"uniform"	"mean"	5	-5	1	4	5	5	1.44500260196057	1
"101"	80	"uniform"	"mean"	5	-5	1	4	5	5	0.821036947128609	1
"102"	85	"uniform"	"mean"	5	-5	1	4	5	5	0.91151164913776	1
"103"	90	"uniform"	"mean"	5	-5	1	4	5	5	0.984359296163385	1
"104"	95	"uniform"	"mean"	5	-5	1	4	5	5	0.528690126391059	1
"105"	100	"uniform"	"mean"	5	-5	1	4	5	5	1.11511089326474	1
"106"	0	"uniform"	"mean"	5	-5	1	4	5	6	5	0
"107"	5	"uniform"	"mean"	5	-5	1	4	5	6	3.65689011056033	1
"108"	10	"uniform"	"mean"	5	-5	1	4	5	6	4.38340037246482	1
"109"	15	"uniform"	"mean"	5	-5	1	4	5	6	2.36422954715961	1
"110"	20	"uniform"	"mean"	5	-5	1	4	5	6	1.42518002155439	1
"111"	25	"uniform"	"mean"	5	-5	1	4	5	6	1.60414472203878	1
"112"	30	"uniform"	"mean"	5	-5	1	4	5	6	1.74171225177668	1
"113"	35	"uniform"	"mean"	5	-5	1	4	5	6	0.767602483043395	1
"114"	40	"uniform"	"mean"	5	-5	1	4	5	6	1.54843987241627	1
"115"	45	"uniform"	"mean"	5	-5	1	4	5	6	1.37707856208961	1
"116"	50	"uniform"	"mean"	5	-5	1	4	5	6	1.79372197909104	1
"117"	55	"uniform"	"mean"	5	-5	1	4	5	6	0.880405058879364	1
"118"	60	"uniform"	"mean"	5	-5	1	4	5	6	1.52748355383455	1
"119"	65	"uniform"	"mean"	5	-5	1	4	5	6	1.35987749515797	1
"120"	70	"uniform"	"mean"	5	-5	1	4	5	6	0.975246990797777	1
"121"	75	"uniform"	"mean"	5	-5	1	4	5	6	0.681328975440677	1
"122"	80	"uniform"	"mean"	5	-5	1	4	5	6	1.18018572867102	1
"123"	85	"uniform"	"mean"	5	-5	1	4	5	6	1.19931648965975	1
"124"	90	"uniform"	"mean"	5	-5	1	4	5	6	0.933860259319527	1
"125"	95	"uniform"	"mean"	5	-5	1	4	5	6	0.956119029565534	1
"126"	100	"uniform"	"mean"	5	-5	1	4	5	6	1.07140042000666	1
"127"	0	"uniform"	"mean"	5	-5	1	4	5	7	5	0
"128"	5	"uniform"	"mean"	5	-5	1	4	5	7	3.17680111193041	1
"129"	10	"uniform"	"mean"	5	-5	1	4	5	7	5.23918753271008	1
"130"	15	"uniform"	"mean"	5	-5	1	4	5	7	2.9508005275659	1
"131"	20	"uniform"	"mean"	5	-5	1	4	5	7	1.16008761225142	1
"132"	25	"uniform"	"mean"	5	-5	1	4	5	7	1.78587567974509	1
"133"	30	"uniform"	"mean"	5	-5	1	4	5	7	2.4778902675347	1
"134"	35	"uniform"	"mean"	5	-5	1	4	5	7	1.225378024106	1
"135"	40	"uniform"	"mean"	5	-5	1	4	5	7	0.988781014093494	1
