"n.peeks"	"peek.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"final.impression.mad"	"final.peek.prefer.best"
"1"	0	"uniform"	"mean"	5	-5	1	2	5	1	5	1
"2"	5	"uniform"	"mean"	5	-5	1	2	5	1	3.75677450780188	1
"3"	10	"uniform"	"mean"	5	-5	1	2	5	1	5.60164537593753	0
"4"	15	"uniform"	"mean"	5	-5	1	2	5	1	2.57699245119975	1
"5"	20	"uniform"	"mean"	5	-5	1	2	5	1	0.42463256002813	1
"6"	25	"uniform"	"mean"	5	-5	1	2	5	1	0.484119001346678	1
"7"	30	"uniform"	"mean"	5	-5	1	2	5	1	0.577114939662983	1
"8"	35	"uniform"	"mean"	5	-5	1	2	5	1	2.28455199470806	1
"9"	40	"uniform"	"mean"	5	-5	1	2	5	1	1.43241195310695	1
"10"	45	"uniform"	"mean"	5	-5	1	2	5	1	1.55725897531393	1
"11"	50	"uniform"	"mean"	5	-5	1	2	5	1	0.504022261410684	1
"12"	55	"uniform"	"mean"	5	-5	1	2	5	1	1.58067853868358	1
"13"	60	"uniform"	"mean"	5	-5	1	2	5	1	0.625003319070855	1
"14"	65	"uniform"	"mean"	5	-5	1	2	5	1	1.85668554173827	1
"15"	70	"uniform"	"mean"	5	-5	1	2	5	1	0.637868663852959	1
"16"	75	"uniform"	"mean"	5	-5	1	2	5	1	0.585584736390645	1
"17"	80	"uniform"	"mean"	5	-5	1	2	5	1	1.31831159458529	1
"18"	85	"uniform"	"mean"	5	-5	1	2	5	1	0.454723416308441	1
"19"	90	"uniform"	"mean"	5	-5	1	2	5	1	1.36099806282292	1
"20"	95	"uniform"	"mean"	5	-5	1	2	5	1	0.858008170768275	1
"21"	100	"uniform"	"mean"	5	-5	1	2	5	1	0.768036035833948	1
"22"	0	"uniform"	"mean"	5	-5	1	2	5	2	5	1
"23"	5	"uniform"	"mean"	5	-5	1	2	5	2	3.82829880078937	1
"24"	10	"uniform"	"mean"	5	-5	1	2	5	2	3.31328016075362	1
"25"	15	"uniform"	"mean"	5	-5	1	2	5	2	1.58583708750729	1
"26"	20	"uniform"	"mean"	5	-5	1	2	5	2	2.51560579276109	1
"27"	25	"uniform"	"mean"	5	-5	1	2	5	2	0.923054761822616	1
"28"	30	"uniform"	"mean"	5	-5	1	2	5	2	1.27553940371057	1
"29"	35	"uniform"	"mean"	5	-5	1	2	5	2	1.75563250246551	1
"30"	40	"uniform"	"mean"	5	-5	1	2	5	2	1.55535931268712	1
"31"	45	"uniform"	"mean"	5	-5	1	2	5	2	0.994179428767762	1
"32"	50	"uniform"	"mean"	5	-5	1	2	5	2	1.2349078514951	1
"33"	55	"uniform"	"mean"	5	-5	1	2	5	2	1.17727856520217	1
"34"	60	"uniform"	"mean"	5	-5	1	2	5	2	1.26215936167016	1
"35"	65	"uniform"	"mean"	5	-5	1	2	5	2	1.61862589309193	1
"36"	70	"uniform"	"mean"	5	-5	1	2	5	2	0.553391625071899	1
"37"	75	"uniform"	"mean"	5	-5	1	2	5	2	0.673475672358743	1
"38"	80	"uniform"	"mean"	5	-5	1	2	5	2	0.77733432841063	1
"39"	85	"uniform"	"mean"	5	-5	1	2	5	2	1.08315514056904	1
"40"	90	"uniform"	"mean"	5	-5	1	2	5	2	1.54145898965566	1
"41"	95	"uniform"	"mean"	5	-5	1	2	5	2	0.675991786179206	1
"42"	100	"uniform"	"mean"	5	-5	1	2	5	2	0.488946324593659	1
"43"	0	"uniform"	"mean"	5	-5	1	2	5	3	5	0
"44"	5	"uniform"	"mean"	5	-5	1	2	5	3	2.21721946283215	1
"45"	10	"uniform"	"mean"	5	-5	1	2	5	3	1.95939399943966	1
"46"	15	"uniform"	"mean"	5	-5	1	2	5	3	1.39093203720313	1
"47"	20	"uniform"	"mean"	5	-5	1	2	5	3	0.737236015855682	1
"48"	25	"uniform"	"mean"	5	-5	1	2	5	3	1.47931775612369	1
"49"	30	"uniform"	"mean"	5	-5	1	2	5	3	1.93023422861557	1
"50"	35	"uniform"	"mean"	5	-5	1	2	5	3	1.09818209889533	1
"51"	40	"uniform"	"mean"	5	-5	1	2	5	3	0.819126375446696	1
"52"	45	"uniform"	"mean"	5	-5	1	2	5	3	1.52197342149181	1
"53"	50	"uniform"	"mean"	5	-5	1	2	5	3	0.844836883667285	1
"54"	55	"uniform"	"mean"	5	-5	1	2	5	3	1.20266453674284	1
"55"	60	"uniform"	"mean"	5	-5	1	2	5	3	1.08456000683671	1
"56"	65	"uniform"	"mean"	5	-5	1	2	5	3	1.37110213031813	1
"57"	70	"uniform"	"mean"	5	-5	1	2	5	3	0.416100374573089	1
"58"	75	"uniform"	"mean"	5	-5	1	2	5	3	0.80325736787026	1
"59"	80	"uniform"	"mean"	5	-5	1	2	5	3	0.948509507633532	1
"60"	85	"uniform"	"mean"	5	-5	1	2	5	3	0.653070904159522	1
"61"	90	"uniform"	"mean"	5	-5	1	2	5	3	0.883167897603396	1
"62"	95	"uniform"	"mean"	5	-5	1	2	5	3	0.467783227083192	1
"63"	100	"uniform"	"mean"	5	-5	1	2	5	3	1.29248904467959	1
"64"	0	"uniform"	"mean"	5	-5	1	2	5	4	5	0
"65"	5	"uniform"	"mean"	5	-5	1	2	5	4	2.48612199366669	1
"66"	10	"uniform"	"mean"	5	-5	1	2	5	4	1.28431890340578	1
"67"	15	"uniform"	"mean"	5	-5	1	2	5	4	2.6004753898092	1
"68"	20	"uniform"	"mean"	5	-5	1	2	5	4	1.33798922899453	1
"69"	25	"uniform"	"mean"	5	-5	1	2	5	4	1.71801670545504	1
"70"	30	"uniform"	"mean"	5	-5	1	2	5	4	1.25377496944227	1
"71"	35	"uniform"	"mean"	5	-5	1	2	5	4	1.28983571268334	1
"72"	40	"uniform"	"mean"	5	-5	1	2	5	4	1.88156556827615	1
"73"	45	"uniform"	"mean"	5	-5	1	2	5	4	0.435841604029302	1
"74"	50	"uniform"	"mean"	5	-5	1	2	5	4	1.88861841429185	1
"75"	55	"uniform"	"mean"	5	-5	1	2	5	4	1.28963682728749	1
"76"	60	"uniform"	"mean"	5	-5	1	2	5	4	0.629817313873956	1
"77"	65	"uniform"	"mean"	5	-5	1	2	5	4	0.689897309963143	1
"78"	70	"uniform"	"mean"	5	-5	1	2	5	4	0.812524791209755	1
"79"	75	"uniform"	"mean"	5	-5	1	2	5	4	0.781674974900291	1
"80"	80	"uniform"	"mean"	5	-5	1	2	5	4	0.604895800424827	1
"81"	85	"uniform"	"mean"	5	-5	1	2	5	4	0.821646582816685	1
"82"	90	"uniform"	"mean"	5	-5	1	2	5	4	1.40537825993858	1
"83"	95	"uniform"	"mean"	5	-5	1	2	5	4	1.27052343074217	1
"84"	100	"uniform"	"mean"	5	-5	1	2	5	4	0.573281365244621	1
"85"	0	"uniform"	"mean"	5	-5	1	2	5	5	5	0
"86"	5	"uniform"	"mean"	5	-5	1	2	5	5	0.837693818855546	1
"87"	10	"uniform"	"mean"	5	-5	1	2	5	5	2.57862892970897	1
"88"	15	"uniform"	"mean"	5	-5	1	2	5	5	0.766158861770632	1
"89"	20	"uniform"	"mean"	5	-5	1	2	5	5	2.67864258600588	1
"90"	25	"uniform"	"mean"	5	-5	1	2	5	5	1.64561218753521	1
"91"	30	"uniform"	"mean"	5	-5	1	2	5	5	2.73083000867997	1
"92"	35	"uniform"	"mean"	5	-5	1	2	5	5	1.36430294622425	1
"93"	40	"uniform"	"mean"	5	-5	1	2	5	5	1.23969631169318	1
"94"	45	"uniform"	"mean"	5	-5	1	2	5	5	1.09136925844597	1
"95"	50	"uniform"	"mean"	5	-5	1	2	5	5	1.51120405684775	1
"96"	55	"uniform"	"mean"	5	-5	1	2	5	5	1.13816125701949	1
"97"	60	"uniform"	"mean"	5	-5	1	2	5	5	1.04302068443137	1
"98"	65	"uniform"	"mean"	5	-5	1	2	5	5	0.453827916200118	1
"99"	70	"uniform"	"mean"	5	-5	1	2	5	5	0.855980517554603	1
"100"	75	"uniform"	"mean"	5	-5	1	2	5	5	0.75330993397798	1
"101"	80	"uniform"	"mean"	5	-5	1	2	5	5	1.96190816791473	1
"102"	85	"uniform"	"mean"	5	-5	1	2	5	5	0.982667836376726	1
"103"	90	"uniform"	"mean"	5	-5	1	2	5	5	0.908515840189537	1
"104"	95	"uniform"	"mean"	5	-5	1	2	5	5	0.662625245974944	1
"105"	100	"uniform"	"mean"	5	-5	1	2	5	5	1.52811942638681	1
"106"	0	"uniform"	"mean"	5	-5	1	2	5	6	5	0
"107"	5	"uniform"	"mean"	5	-5	1	2	5	6	3.55909256946857	1
"108"	10	"uniform"	"mean"	5	-5	1	2	5	6	2.79397370574996	1
"109"	15	"uniform"	"mean"	5	-5	1	2	5	6	1.6977506757249	1
"110"	20	"uniform"	"mean"	5	-5	1	2	5	6	1.2627950173204	1
"111"	25	"uniform"	"mean"	5	-5	1	2	5	6	2.12387424069718	1
"112"	30	"uniform"	"mean"	5	-5	1	2	5	6	2.80447994220052	1
