"n.peeks"	"peek.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"final.impression.mad"	"final.peek.prefer.best"
"1"	0	"uniform"	"mean"	5	-5	1	1	60	1	5	0
"2"	5	"uniform"	"mean"	5	-5	1	1	60	1	69.1121445074407	1
"3"	10	"uniform"	"mean"	5	-5	1	1	60	1	7.43529678653081	1
"4"	15	"uniform"	"mean"	5	-5	1	1	60	1	13.318886305052	1
"5"	20	"uniform"	"mean"	5	-5	1	1	60	1	10.6624991710082	0
"6"	25	"uniform"	"mean"	5	-5	1	1	60	1	23.8064465463634	1
"7"	30	"uniform"	"mean"	5	-5	1	1	60	1	11.0493500520292	1
"8"	35	"uniform"	"mean"	5	-5	1	1	60	1	25.1396431725602	1
"9"	40	"uniform"	"mean"	5	-5	1	1	60	1	11.581325851088	1
"10"	45	"uniform"	"mean"	5	-5	1	1	60	1	2.54165603593218	1
"11"	50	"uniform"	"mean"	5	-5	1	1	60	1	6.0638396334208	1
"12"	55	"uniform"	"mean"	5	-5	1	1	60	1	4.91678769385924	1
"13"	60	"uniform"	"mean"	5	-5	1	1	60	1	5.79041932690923	0
"14"	65	"uniform"	"mean"	5	-5	1	1	60	1	12.476042980264	1
"15"	70	"uniform"	"mean"	5	-5	1	1	60	1	1.8599919948809	1
"16"	75	"uniform"	"mean"	5	-5	1	1	60	1	5.50150945929653	0
"17"	80	"uniform"	"mean"	5	-5	1	1	60	1	9.91209722229262	1
"18"	85	"uniform"	"mean"	5	-5	1	1	60	1	10.2382783266853	0
"19"	90	"uniform"	"mean"	5	-5	1	1	60	1	1.53461346716895	1
"20"	95	"uniform"	"mean"	5	-5	1	1	60	1	8.96485914129844	0
"21"	100	"uniform"	"mean"	5	-5	1	1	60	1	14.1044720211141	1
"22"	0	"uniform"	"mean"	5	-5	1	1	60	2	5	1
"23"	5	"uniform"	"mean"	5	-5	1	1	60	2	47.7347501824034	1
"24"	10	"uniform"	"mean"	5	-5	1	1	60	2	44.3833984829177	1
"25"	15	"uniform"	"mean"	5	-5	1	1	60	2	25.2921009885747	1
"26"	20	"uniform"	"mean"	5	-5	1	1	60	2	12.6457265270576	1
"27"	25	"uniform"	"mean"	5	-5	1	1	60	2	33.1643964967352	1
"28"	30	"uniform"	"mean"	5	-5	1	1	60	2	26.3052623835625	1
"29"	35	"uniform"	"mean"	5	-5	1	1	60	2	6.31350242847121	0
"30"	40	"uniform"	"mean"	5	-5	1	1	60	2	18.5382958567963	0
"31"	45	"uniform"	"mean"	5	-5	1	1	60	2	24.196995229457	0
"32"	50	"uniform"	"mean"	5	-5	1	1	60	2	15.8318343369077	1
"33"	55	"uniform"	"mean"	5	-5	1	1	60	2	17.8860283228533	1
"34"	60	"uniform"	"mean"	5	-5	1	1	60	2	16.7833712301391	0
"35"	65	"uniform"	"mean"	5	-5	1	1	60	2	9.69785121856058	1
"36"	70	"uniform"	"mean"	5	-5	1	1	60	2	14.4714322870446	1
"37"	75	"uniform"	"mean"	5	-5	1	1	60	2	2.69656297901075	1
"38"	80	"uniform"	"mean"	5	-5	1	1	60	2	2.23109185366246	1
"39"	85	"uniform"	"mean"	5	-5	1	1	60	2	2.48856603135639	1
"40"	90	"uniform"	"mean"	5	-5	1	1	60	2	17.2065358100197	0
"41"	95	"uniform"	"mean"	5	-5	1	1	60	2	20.3996614344363	0
"42"	100	"uniform"	"mean"	5	-5	1	1	60	2	14.1768040724271	1
"43"	0	"uniform"	"mean"	5	-5	1	1	60	3	5	1
"44"	5	"uniform"	"mean"	5	-5	1	1	60	3	36.4492513239628	1
"45"	10	"uniform"	"mean"	5	-5	1	1	60	3	46.0855297159572	1
"46"	15	"uniform"	"mean"	5	-5	1	1	60	3	20.5232223289481	1
"47"	20	"uniform"	"mean"	5	-5	1	1	60	3	21.5102443789229	0
"48"	25	"uniform"	"mean"	5	-5	1	1	60	3	25.1375283599637	1
"49"	30	"uniform"	"mean"	5	-5	1	1	60	3	14.9052310887612	1
"50"	35	"uniform"	"mean"	5	-5	1	1	60	3	30.3326323058443	0
"51"	40	"uniform"	"mean"	5	-5	1	1	60	3	33.5442077773383	1
"52"	45	"uniform"	"mean"	5	-5	1	1	60	3	5.92437733734932	1
"53"	50	"uniform"	"mean"	5	-5	1	1	60	3	6.05566646577047	1
"54"	55	"uniform"	"mean"	5	-5	1	1	60	3	2.62849488667399	1
"55"	60	"uniform"	"mean"	5	-5	1	1	60	3	5.16509439553177	0
"56"	65	"uniform"	"mean"	5	-5	1	1	60	3	10.177567063414	1
"57"	70	"uniform"	"mean"	5	-5	1	1	60	3	9.3490545321248	0
"58"	75	"uniform"	"mean"	5	-5	1	1	60	3	4.81077373863396	1
"59"	80	"uniform"	"mean"	5	-5	1	1	60	3	10.1881487902124	1
"60"	85	"uniform"	"mean"	5	-5	1	1	60	3	16.0778571970295	0
"61"	90	"uniform"	"mean"	5	-5	1	1	60	3	3.78636884519821	1
"62"	95	"uniform"	"mean"	5	-5	1	1	60	3	12.1984182821425	1
"63"	100	"uniform"	"mean"	5	-5	1	1	60	3	3.68872963968281	1
"64"	0	"uniform"	"mean"	5	-5	1	1	60	4	5	1
"65"	5	"uniform"	"mean"	5	-5	1	1	60	4	52.0618205463253	0
"66"	10	"uniform"	"mean"	5	-5	1	1	60	4	48.4510030199933	0
"67"	15	"uniform"	"mean"	5	-5	1	1	60	4	9.17350947087686	1
"68"	20	"uniform"	"mean"	5	-5	1	1	60	4	6.67331563923281	1
"69"	25	"uniform"	"mean"	5	-5	1	1	60	4	26.9827527817776	1
"70"	30	"uniform"	"mean"	5	-5	1	1	60	4	9.62020148930345	1
"71"	35	"uniform"	"mean"	5	-5	1	1	60	4	23.9155912110734	0
"72"	40	"uniform"	"mean"	5	-5	1	1	60	4	19.3865196504624	1
"73"	45	"uniform"	"mean"	5	-5	1	1	60	4	21.9508882167554	1
"74"	50	"uniform"	"mean"	5	-5	1	1	60	4	6.27475963958802	1
"75"	55	"uniform"	"mean"	5	-5	1	1	60	4	17.0769990179938	1
"76"	60	"uniform"	"mean"	5	-5	1	1	60	4	5.56466829101469	1
"77"	65	"uniform"	"mean"	5	-5	1	1	60	4	3.57063742024583	1
"78"	70	"uniform"	"mean"	5	-5	1	1	60	4	11.5347885163864	1
"79"	75	"uniform"	"mean"	5	-5	1	1	60	4	9.84586975096531	1
"80"	80	"uniform"	"mean"	5	-5	1	1	60	4	9.74588550983151	0
"81"	85	"uniform"	"mean"	5	-5	1	1	60	4	4.67489614089651	1
"82"	90	"uniform"	"mean"	5	-5	1	1	60	4	12.2612115739042	1
"83"	95	"uniform"	"mean"	5	-5	1	1	60	4	4.59746557856741	1
"84"	100	"uniform"	"mean"	5	-5	1	1	60	4	4.05508665410414	1
"85"	0	"uniform"	"mean"	5	-5	1	1	60	5	5	0
"86"	5	"uniform"	"mean"	5	-5	1	1	60	5	69.687919403074	0
