"n.peeks"	"peek.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"final.impression.mad"	"final.peek.prefer.best"
"1"	0	"uniform"	"mean"	5	-5	1	3	60	1	5	0
"2"	5	"uniform"	"mean"	5	-5	1	3	60	1	43.5513692683878	0
"3"	10	"uniform"	"mean"	5	-5	1	3	60	1	30.5462876672256	0
"4"	15	"uniform"	"mean"	5	-5	1	3	60	1	45.2630593372008	1
"5"	20	"uniform"	"mean"	5	-5	1	3	60	1	27.0088900174738	1
"6"	25	"uniform"	"mean"	5	-5	1	3	60	1	11.7745617915425	0
"7"	30	"uniform"	"mean"	5	-5	1	3	60	1	16.8648179898578	0
"8"	35	"uniform"	"mean"	5	-5	1	3	60	1	14.2102222716034	0
"9"	40	"uniform"	"mean"	5	-5	1	3	60	1	13.443359346723	0
"10"	45	"uniform"	"mean"	5	-5	1	3	60	1	12.4801729791408	1
"11"	50	"uniform"	"mean"	5	-5	1	3	60	1	17.2643213463717	0
"12"	55	"uniform"	"mean"	5	-5	1	3	60	1	12.8141356031906	0
"13"	60	"uniform"	"mean"	5	-5	1	3	60	1	18.8310836292641	1
"14"	65	"uniform"	"mean"	5	-5	1	3	60	1	17.6235423608295	1
"15"	70	"uniform"	"mean"	5	-5	1	3	60	1	8.60209305904011	0
"16"	75	"uniform"	"mean"	5	-5	1	3	60	1	15.946791467905	0
"17"	80	"uniform"	"mean"	5	-5	1	3	60	1	13.0582070567501	0
"18"	85	"uniform"	"mean"	5	-5	1	3	60	1	18.4415790164221	1
"19"	90	"uniform"	"mean"	5	-5	1	3	60	1	9.86163155085085	1
"20"	95	"uniform"	"mean"	5	-5	1	3	60	1	9.44126315856341	0
"21"	100	"uniform"	"mean"	5	-5	1	3	60	1	14.581100363554	1
"22"	0	"uniform"	"mean"	5	-5	1	3	60	2	5	0
"23"	5	"uniform"	"mean"	5	-5	1	3	60	2	65.7626235198595	1
"24"	10	"uniform"	"mean"	5	-5	1	3	60	2	28.4803708619232	1
"25"	15	"uniform"	"mean"	5	-5	1	3	60	2	38.0991973496317	1
"26"	20	"uniform"	"mean"	5	-5	1	3	60	2	25.9391979104323	0
"27"	25	"uniform"	"mean"	5	-5	1	3	60	2	16.5943287241238	0
"28"	30	"uniform"	"mean"	5	-5	1	3	60	2	28.9030377698131	0
"29"	35	"uniform"	"mean"	5	-5	1	3	60	2	17.1681205572126	1
"30"	40	"uniform"	"mean"	5	-5	1	3	60	2	15.8128849580723	0
"31"	45	"uniform"	"mean"	5	-5	1	3	60	2	17.6116804432314	0
"32"	50	"uniform"	"mean"	5	-5	1	3	60	2	9.56667270912365	1
"33"	55	"uniform"	"mean"	5	-5	1	3	60	2	24.4147766442245	0
"34"	60	"uniform"	"mean"	5	-5	1	3	60	2	16.3074788154236	1
"35"	65	"uniform"	"mean"	5	-5	1	3	60	2	14.4571020892583	1
"36"	70	"uniform"	"mean"	5	-5	1	3	60	2	19.2255997369731	0
"37"	75	"uniform"	"mean"	5	-5	1	3	60	2	13.4513672702318	0
"38"	80	"uniform"	"mean"	5	-5	1	3	60	2	10.1720899701088	1
"39"	85	"uniform"	"mean"	5	-5	1	3	60	2	13.3783487984829	1
"40"	90	"uniform"	"mean"	5	-5	1	3	60	2	9.39924291143555	0
"41"	95	"uniform"	"mean"	5	-5	1	3	60	2	16.8905312818491	1
"42"	100	"uniform"	"mean"	5	-5	1	3	60	2	18.7420398887006	1
"43"	0	"uniform"	"mean"	5	-5	1	3	60	3	5	0
"44"	5	"uniform"	"mean"	5	-5	1	3	60	3	65.5169587728596	1
"45"	10	"uniform"	"mean"	5	-5	1	3	60	3	39.8377958973227	0
"46"	15	"uniform"	"mean"	5	-5	1	3	60	3	27.1340116613314	1
"47"	20	"uniform"	"mean"	5	-5	1	3	60	3	28.6348659238066	0
"48"	25	"uniform"	"mean"	5	-5	1	3	60	3	19.8102557177097	0
"49"	30	"uniform"	"mean"	5	-5	1	3	60	3	27.7481116606558	0
"50"	35	"uniform"	"mean"	5	-5	1	3	60	3	22.2571640331446	0
"51"	40	"uniform"	"mean"	5	-5	1	3	60	3	17.3373662291628	1
"52"	45	"uniform"	"mean"	5	-5	1	3	60	3	8.99745584555493	1
"53"	50	"uniform"	"mean"	5	-5	1	3	60	3	8.70648931330625	0
"54"	55	"uniform"	"mean"	5	-5	1	3	60	3	6.19355809100417	0
"55"	60	"uniform"	"mean"	5	-5	1	3	60	3	7.22095370520337	0
"56"	65	"uniform"	"mean"	5	-5	1	3	60	3	10.0083142069548	1
"57"	70	"uniform"	"mean"	5	-5	1	3	60	3	18.8720347050546	0
"58"	75	"uniform"	"mean"	5	-5	1	3	60	3	13.0813945117936	1
"59"	80	"uniform"	"mean"	5	-5	1	3	60	3	7.61855505907278	0
"60"	85	"uniform"	"mean"	5	-5	1	3	60	3	18.6195534262473	0
"61"	90	"uniform"	"mean"	5	-5	1	3	60	3	9.60544641488271	0
"62"	95	"uniform"	"mean"	5	-5	1	3	60	3	15.6000801799115	1
"63"	100	"uniform"	"mean"	5	-5	1	3	60	3	9.41118811334178	0
"64"	0	"uniform"	"mean"	5	-5	1	3	60	4	5	1
"65"	5	"uniform"	"mean"	5	-5	1	3	60	4	60.2047321854585	0
"66"	10	"uniform"	"mean"	5	-5	1	3	60	4	57.8799032658082	0
"67"	15	"uniform"	"mean"	5	-5	1	3	60	4	31.2812944766614	0
"68"	20	"uniform"	"mean"	5	-5	1	3	60	4	37.8082854041362	1
"69"	25	"uniform"	"mean"	5	-5	1	3	60	4	20.4918265886719	0
"70"	30	"uniform"	"mean"	5	-5	1	3	60	4	29.7756794710565	1
"71"	35	"uniform"	"mean"	5	-5	1	3	60	4	21.6708346800054	1
"72"	40	"uniform"	"mean"	5	-5	1	3	60	4	28.1460816597154	0
"73"	45	"uniform"	"mean"	5	-5	1	3	60	4	14.3482914257082	0
"74"	50	"uniform"	"mean"	5	-5	1	3	60	4	12.9666550770285	0
"75"	55	"uniform"	"mean"	5	-5	1	3	60	4	11.6792040381375	1
"76"	60	"uniform"	"mean"	5	-5	1	3	60	4	14.4001541138345	0
"77"	65	"uniform"	"mean"	5	-5	1	3	60	4	13.2138114324515	1
"78"	70	"uniform"	"mean"	5	-5	1	3	60	4	11.9345449771908	1
"79"	75	"uniform"	"mean"	5	-5	1	3	60	4	18.7447768141099	0
"80"	80	"uniform"	"mean"	5	-5	1	3	60	4	15.3044392994027	1
"81"	85	"uniform"	"mean"	5	-5	1	3	60	4	10.6670335367708	0
"82"	90	"uniform"	"mean"	5	-5	1	3	60	4	20.8536846437748	0
"83"	95	"uniform"	"mean"	5	-5	1	3	60	4	6.04455840574942	1
"84"	100	"uniform"	"mean"	5	-5	1	3	60	4	13.5453165575075	0
"85"	0	"uniform"	"mean"	5	-5	1	3	60	5	5	1
"86"	5	"uniform"	"mean"	5	-5	1	3	60	5	74.8973620095702	1
"87"	10	"uniform"	"mean"	5	-5	1	3	60	5	38.1878906251321	0
"88"	15	"uniform"	"mean"	5	-5	1	3	60	5	15.9146815455597	1
"89"	20	"uniform"	"mean"	5	-5	1	3	60	5	11.3933098203079	0
"90"	25	"uniform"	"mean"	5	-5	1	3	60	5	18.1717787217507	1
"91"	30	"uniform"	"mean"	5	-5	1	3	60	5	7.9072029338017	1
"92"	35	"uniform"	"mean"	5	-5	1	3	60	5	16.9642592627731	0
"93"	40	"uniform"	"mean"	5	-5	1	3	60	5	8.29915328491363	0
"94"	45	"uniform"	"mean"	5	-5	1	3	60	5	18.7114086863774	0
"95"	50	"uniform"	"mean"	5	-5	1	3	60	5	12.4588198408299	1
