"n.peeks"	"peek.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"final.impression.mad"	"final.peek.prefer.best"
"1"	0	"uniform"	"mean"	5	-5	1	1	10	1	5	0
"2"	5	"uniform"	"mean"	5	-5	1	1	10	1	2.73922815234488	1
"3"	10	"uniform"	"mean"	5	-5	1	1	10	1	4.3171477597318	1
"4"	15	"uniform"	"mean"	5	-5	1	1	10	1	1.24950252711359	1
"5"	20	"uniform"	"mean"	5	-5	1	1	10	1	8.37687030805984	1
"6"	25	"uniform"	"mean"	5	-5	1	1	10	1	3.93834160311074	1
"7"	30	"uniform"	"mean"	5	-5	1	1	10	1	2.76857689508163	1
"8"	35	"uniform"	"mean"	5	-5	1	1	10	1	1.38110779852205	1
"9"	40	"uniform"	"mean"	5	-5	1	1	10	1	3.38552589359098	1
"10"	45	"uniform"	"mean"	5	-5	1	1	10	1	3.43135889028013	1
"11"	50	"uniform"	"mean"	5	-5	1	1	10	1	1.54963044389533	1
"12"	55	"uniform"	"mean"	5	-5	1	1	10	1	2.14137813879311	1
"13"	60	"uniform"	"mean"	5	-5	1	1	10	1	5.08627025157351	1
"14"	65	"uniform"	"mean"	5	-5	1	1	10	1	2.40851548699646	1
"15"	70	"uniform"	"mean"	5	-5	1	1	10	1	1.95262883814666	1
"16"	75	"uniform"	"mean"	5	-5	1	1	10	1	1.67860413223443	1
"17"	80	"uniform"	"mean"	5	-5	1	1	10	1	1.6556455928804	1
"18"	85	"uniform"	"mean"	5	-5	1	1	10	1	1.34132708168404	1
"19"	90	"uniform"	"mean"	5	-5	1	1	10	1	1.68975510412763	1
"20"	95	"uniform"	"mean"	5	-5	1	1	10	1	2.41668324976894	1
"21"	100	"uniform"	"mean"	5	-5	1	1	10	1	0.71495649989082	1
"22"	0	"uniform"	"mean"	5	-5	1	1	10	2	5	0
"23"	5	"uniform"	"mean"	5	-5	1	1	10	2	3.61099723808673	1
"24"	10	"uniform"	"mean"	5	-5	1	1	10	2	1.75429666268121	1
"25"	15	"uniform"	"mean"	5	-5	1	1	10	2	4.92583614963921	1
"26"	20	"uniform"	"mean"	5	-5	1	1	10	2	1.70778701617965	1
"27"	25	"uniform"	"mean"	5	-5	1	1	10	2	1.07235157645961	1
"28"	30	"uniform"	"mean"	5	-5	1	1	10	2	4.62747632030042	1
"29"	35	"uniform"	"mean"	5	-5	1	1	10	2	1.34557493022681	1
"30"	40	"uniform"	"mean"	5	-5	1	1	10	2	1.37171138064883	1
"31"	45	"uniform"	"mean"	5	-5	1	1	10	2	1.41138678924921	1
"32"	50	"uniform"	"mean"	5	-5	1	1	10	2	1.2957792549083	1
"33"	55	"uniform"	"mean"	5	-5	1	1	10	2	1.11297378746762	1
"34"	60	"uniform"	"mean"	5	-5	1	1	10	2	3.22463621700846	1
"35"	65	"uniform"	"mean"	5	-5	1	1	10	2	0.97851954259905	1
"36"	70	"uniform"	"mean"	5	-5	1	1	10	2	1.43261199574673	1
"37"	75	"uniform"	"mean"	5	-5	1	1	10	2	2.39709638863274	1
"38"	80	"uniform"	"mean"	5	-5	1	1	10	2	1.64164032720463	1
"39"	85	"uniform"	"mean"	5	-5	1	1	10	2	2.03567328591598	1
"40"	90	"uniform"	"mean"	5	-5	1	1	10	2	2.58014687776842	1
"41"	95	"uniform"	"mean"	5	-5	1	1	10	2	0.248716345948706	1
"42"	100	"uniform"	"mean"	5	-5	1	1	10	2	0.737629228560306	1
"43"	0	"uniform"	"mean"	5	-5	1	1	10	3	5	0
"44"	5	"uniform"	"mean"	5	-5	1	1	10	3	2.98150067831877	1
"45"	10	"uniform"	"mean"	5	-5	1	1	10	3	1.2076175811606	1
"46"	15	"uniform"	"mean"	5	-5	1	1	10	3	1.99644910168883	1
"47"	20	"uniform"	"mean"	5	-5	1	1	10	3	4.16013757349482	1
"48"	25	"uniform"	"mean"	5	-5	1	1	10	3	2.59627542979539	1
"49"	30	"uniform"	"mean"	5	-5	1	1	10	3	2.50088723051036	1
"50"	35	"uniform"	"mean"	5	-5	1	1	10	3	1.49787036571292	1
"51"	40	"uniform"	"mean"	5	-5	1	1	10	3	1.01927231892385	1
"52"	45	"uniform"	"mean"	5	-5	1	1	10	3	0.768563745176151	1
"53"	50	"uniform"	"mean"	5	-5	1	1	10	3	5.60476244329154	1
"54"	55	"uniform"	"mean"	5	-5	1	1	10	3	2.59737638685023	1
"55"	60	"uniform"	"mean"	5	-5	1	1	10	3	0.830373247662846	1
"56"	65	"uniform"	"mean"	5	-5	1	1	10	3	1.33047502954265	1
"57"	70	"uniform"	"mean"	5	-5	1	1	10	3	1.77744312137486	1
"58"	75	"uniform"	"mean"	5	-5	1	1	10	3	1.30684542646336	1
"59"	80	"uniform"	"mean"	5	-5	1	1	10	3	3.08154316170431	1
"60"	85	"uniform"	"mean"	5	-5	1	1	10	3	2.50567700251908	1
"61"	90	"uniform"	"mean"	5	-5	1	1	10	3	0.945859308001178	1
"62"	95	"uniform"	"mean"	5	-5	1	1	10	3	1.30997148328568	1
"63"	100	"uniform"	"mean"	5	-5	1	1	10	3	0.547843382179451	1
"64"	0	"uniform"	"mean"	5	-5	1	1	10	4	5	1
"65"	5	"uniform"	"mean"	5	-5	1	1	10	4	1.82854028276974	1
"66"	10	"uniform"	"mean"	5	-5	1	1	10	4	1.98415506921494	1
"67"	15	"uniform"	"mean"	5	-5	1	1	10	4	6.06071787770202	1
"68"	20	"uniform"	"mean"	5	-5	1	1	10	4	3.66612349749945	1
"69"	25	"uniform"	"mean"	5	-5	1	1	10	4	1.55246900726137	1
"70"	30	"uniform"	"mean"	5	-5	1	1	10	4	1.90129612770157	1
"71"	35	"uniform"	"mean"	5	-5	1	1	10	4	3.60752388846603	1
"72"	40	"uniform"	"mean"	5	-5	1	1	10	4	1.46133541933977	1
"73"	45	"uniform"	"mean"	5	-5	1	1	10	4	1.37475846399557	1
"74"	50	"uniform"	"mean"	5	-5	1	1	10	4	1.32548071613197	1
"75"	55	"uniform"	"mean"	5	-5	1	1	10	4	0.819123206394992	1
"76"	60	"uniform"	"mean"	5	-5	1	1	10	4	2.17637026311309	1
"77"	65	"uniform"	"mean"	5	-5	1	1	10	4	3.16470629412041	1
"78"	70	"uniform"	"mean"	5	-5	1	1	10	4	2.01565477591558	1
"79"	75	"uniform"	"mean"	5	-5	1	1	10	4	1.35410848372355	1
"80"	80	"uniform"	"mean"	5	-5	1	1	10	4	1.04813334031601	1
"81"	85	"uniform"	"mean"	5	-5	1	1	10	4	1.85205526555254	1
"82"	90	"uniform"	"mean"	5	-5	1	1	10	4	0.857621400363203	1
"83"	95	"uniform"	"mean"	5	-5	1	1	10	4	1.28091796997766	1
"84"	100	"uniform"	"mean"	5	-5	1	1	10	4	0.877356376486564	1
"85"	0	"uniform"	"mean"	5	-5	1	1	10	5	5	0
"86"	5	"uniform"	"mean"	5	-5	1	1	10	5	7.29822834977247	0
"87"	10	"uniform"	"mean"	5	-5	1	1	10	5	4.70479179673198	1
"88"	15	"uniform"	"mean"	5	-5	1	1	10	5	3.22088494787427	1
"89"	20	"uniform"	"mean"	5	-5	1	1	10	5	6.14185120195165	1
"90"	25	"uniform"	"mean"	5	-5	1	1	10	5	1.90332449799264	1
"91"	30	"uniform"	"mean"	5	-5	1	1	10	5	4.91943515578421	1
"92"	35	"uniform"	"mean"	5	-5	1	1	10	5	2.25380443033729	1
"93"	40	"uniform"	"mean"	5	-5	1	1	10	5	1.26700973353252	1
"94"	45	"uniform"	"mean"	5	-5	1	1	10	5	2.53321453173317	1
"95"	50	"uniform"	"mean"	5	-5	1	1	10	5	1.67127106475051	1
"96"	55	"uniform"	"mean"	5	-5	1	1	10	5	1.38242913057678	1
"97"	60	"uniform"	"mean"	5	-5	1	1	10	5	3.38244749091153	1
"98"	65	"uniform"	"mean"	5	-5	1	1	10	5	2.00899246814505	1
"99"	70	"uniform"	"mean"	5	-5	1	1	10	5	2.2619619121061	1
"100"	75	"uniform"	"mean"	5	-5	1	1	10	5	1.25794204318549	1
"101"	80	"uniform"	"mean"	5	-5	1	1	10	5	1.96236911240223	1
"102"	85	"uniform"	"mean"	5	-5	1	1	10	5	2.35556920691929	1
"103"	90	"uniform"	"mean"	5	-5	1	1	10	5	2.19885758687912	1
"104"	95	"uniform"	"mean"	5	-5	1	1	10	5	1.80729067353162	1
"105"	100	"uniform"	"mean"	5	-5	1	1	10	5	1.74553106043337	1
"106"	0	"uniform"	"mean"	5	-5	1	1	10	6	5	1
"107"	5	"uniform"	"mean"	5	-5	1	1	10	6	7.82341460869944	1
"108"	10	"uniform"	"mean"	5	-5	1	1	10	6	4.65488013427863	1
"109"	15	"uniform"	"mean"	5	-5	1	1	10	6	1.15544658383538	1
"110"	20	"uniform"	"mean"	5	-5	1	1	10	6	0.564968020777534	1
"111"	25	"uniform"	"mean"	5	-5	1	1	10	6	5.8851122316876	0
"112"	30	"uniform"	"mean"	5	-5	1	1	10	6	0.963581888295555	1
"113"	35	"uniform"	"mean"	5	-5	1	1	10	6	0.447524021855862	1
"114"	40	"uniform"	"mean"	5	-5	1	1	10	6	1.97546500343601	1
"115"	45	"uniform"	"mean"	5	-5	1	1	10	6	1.85519617890603	1
"116"	50	"uniform"	"mean"	5	-5	1	1	10	6	2.07290568866837	1
"117"	55	"uniform"	"mean"	5	-5	1	1	10	6	1.2648357306747	1
"118"	60	"uniform"	"mean"	5	-5	1	1	10	6	1.56506150570513	1
"119"	65	"uniform"	"mean"	5	-5	1	1	10	6	1.34033442579072	1
"120"	70	"uniform"	"mean"	5	-5	1	1	10	6	0.290982311519624	1
"121"	75	"uniform"	"mean"	5	-5	1	1	10	6	0.46489516828468	1
"122"	80	"uniform"	"mean"	5	-5	1	1	10	6	2.66318143337088	1
"123"	85	"uniform"	"mean"	5	-5	1	1	10	6	1.75482909294025	1
"124"	90	"uniform"	"mean"	5	-5	1	1	10	6	0.95200369672128	1
"125"	95	"uniform"	"mean"	5	-5	1	1	10	6	2.42388858629211	1
"126"	100	"uniform"	"mean"	5	-5	1	1	10	6	1.08453937651089	1
"127"	0	"uniform"	"mean"	5	-5	1	1	10	7	5	0
"128"	5	"uniform"	"mean"	5	-5	1	1	10	7	10.3217202583635	0
"129"	10	"uniform"	"mean"	5	-5	1	1	10	7	10.9391688487441	1
"130"	15	"uniform"	"mean"	5	-5	1	1	10	7	6.08368540126283	1
"131"	20	"uniform"	"mean"	5	-5	1	1	10	7	2.20149604397315	1
"132"	25	"uniform"	"mean"	5	-5	1	1	10	7	1.81884159998273	1
"133"	30	"uniform"	"mean"	5	-5	1	1	10	7	2.70346831635792	1
"134"	35	"uniform"	"mean"	5	-5	1	1	10	7	2.21622665300452	1
"135"	40	"uniform"	"mean"	5	-5	1	1	10	7	2.95788280041204	1
"136"	45	"uniform"	"mean"	5	-5	1	1	10	7	5.03189008677649	1
"137"	50	"uniform"	"mean"	5	-5	1	1	10	7	3.73036746244196	1
"138"	55	"uniform"	"mean"	5	-5	1	1	10	7	1.44594877325929	1
"139"	60	"uniform"	"mean"	5	-5	1	1	10	7	1.55889323267932	1
"140"	65	"uniform"	"mean"	5	-5	1	1	10	7	4.04680275067491	1
"141"	70	"uniform"	"mean"	5	-5	1	1	10	7	1.27213617009096	1
"142"	75	"uniform"	"mean"	5	-5	1	1	10	7	0.658966254361196	1
"143"	80	"uniform"	"mean"	5	-5	1	1	10	7	1.81588616068785	1
"144"	85	"uniform"	"mean"	5	-5	1	1	10	7	1.23898208733509	1
"145"	90	"uniform"	"mean"	5	-5	1	1	10	7	0.549142448017291	1
"146"	95	"uniform"	"mean"	5	-5	1	1	10	7	1.52479540573482	1
"147"	100	"uniform"	"mean"	5	-5	1	1	10	7	1.16787042306729	1
"148"	0	"uniform"	"mean"	5	-5	1	1	10	8	5	0
"149"	5	"uniform"	"mean"	5	-5	1	1	10	8	9.46721625986605	0
"150"	10	"uniform"	"mean"	5	-5	1	1	10	8	7.8795345730605	1
"151"	15	"uniform"	"mean"	5	-5	1	1	10	8	1.1434611084117	1
"152"	20	"uniform"	"mean"	5	-5	1	1	10	8	4.60429687920055	1
"153"	25	"uniform"	"mean"	5	-5	1	1	10	8	2.14330484714049	1
"154"	30	"uniform"	"mean"	5	-5	1	1	10	8	1.21314768294961	1
"155"	35	"uniform"	"mean"	5	-5	1	1	10	8	3.05838268403733	1
"156"	40	"uniform"	"mean"	5	-5	1	1	10	8	3.75159074445744	1
"157"	45	"uniform"	"mean"	5	-5	1	1	10	8	0.16475439189802	1
"158"	50	"uniform"	"mean"	5	-5	1	1	10	8	3.16483354293266	1
"159"	55	"uniform"	"mean"	5	-5	1	1	10	8	1.39835687678683	1
"160"	60	"uniform"	"mean"	5	-5	1	1	10	8	1.78239132052575	1
"161"	65	"uniform"	"mean"	5	-5	1	1	10	8	1.60420469761642	1
"162"	70	"uniform"	"mean"	5	-5	1	1	10	8	1.49225247354132	1
"163"	75	"uniform"	"mean"	5	-5	1	1	10	8	0.905421703146399	1
"164"	80	"uniform"	"mean"	5	-5	1	1	10	8	0.960577153306898	1
"165"	85	"uniform"	"mean"	5	-5	1	1	10	8	0.699972802039042	1
"166"	90	"uniform"	"mean"	5	-5	1	1	10	8	1.03746636507948	1
"167"	95	"uniform"	"mean"	5	-5	1	1	10	8	0.446177826057958	1
"168"	100	"uniform"	"mean"	5	-5	1	1	10	8	0.227829410142795	1
"169"	0	"uniform"	"mean"	5	-5	1	1	10	9	5	1
"170"	5	"uniform"	"mean"	5	-5	1	1	10	9	11.6828926901588	1
"171"	10	"uniform"	"mean"	5	-5	1	1	10	9	2.04117617083696	1
"172"	15	"uniform"	"mean"	5	-5	1	1	10	9	2.89341699826579	1
"173"	20	"uniform"	"mean"	5	-5	1	1	10	9	3.73225891430839	1
"174"	25	"uniform"	"mean"	5	-5	1	1	10	9	0.19955085010929	1
"175"	30	"uniform"	"mean"	5	-5	1	1	10	9	3.42528318758618	1
"176"	35	"uniform"	"mean"	5	-5	1	1	10	9	3.65253540221696	1
