"n.peeks"	"peek.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"final.impression.mad"	"final.peek.prefer.best"
"1"	0	"uniform"	"mean"	5	-5	1	2	60	1	5	0
"2"	5	"uniform"	"mean"	5	-5	1	2	60	1	53.5050884439619	0
"3"	10	"uniform"	"mean"	5	-5	1	2	60	1	44.1823974842474	1
"4"	15	"uniform"	"mean"	5	-5	1	2	60	1	12.4779911342506	1
"5"	20	"uniform"	"mean"	5	-5	1	2	60	1	28.3502811320631	0
"6"	25	"uniform"	"mean"	5	-5	1	2	60	1	30.5863406782445	1
"7"	30	"uniform"	"mean"	5	-5	1	2	60	1	7.67223924488538	0
"8"	35	"uniform"	"mean"	5	-5	1	2	60	1	7.46236401354182	1
"9"	40	"uniform"	"mean"	5	-5	1	2	60	1	12.8933808336948	0
"10"	45	"uniform"	"mean"	5	-5	1	2	60	1	7.48164496454818	1
"11"	50	"uniform"	"mean"	5	-5	1	2	60	1	13.8041636263847	0
"12"	55	"uniform"	"mean"	5	-5	1	2	60	1	16.0640826528505	1
"13"	60	"uniform"	"mean"	5	-5	1	2	60	1	5.63631218370992	1
"14"	65	"uniform"	"mean"	5	-5	1	2	60	1	3.25220830933233	1
"15"	70	"uniform"	"mean"	5	-5	1	2	60	1	12.7333363937955	0
"16"	75	"uniform"	"mean"	5	-5	1	2	60	1	5.24474797315049	1
"17"	80	"uniform"	"mean"	5	-5	1	2	60	1	8.78588101523638	0
"18"	85	"uniform"	"mean"	5	-5	1	2	60	1	9.9615588208565	0
"19"	90	"uniform"	"mean"	5	-5	1	2	60	1	8.55599032708745	1
"20"	95	"uniform"	"mean"	5	-5	1	2	60	1	13.7704629762275	1
"21"	100	"uniform"	"mean"	5	-5	1	2	60	1	18.238307480162	1
"22"	0	"uniform"	"mean"	5	-5	1	2	60	2	5	1
"23"	5	"uniform"	"mean"	5	-5	1	2	60	2	67.1448241319012	1
"24"	10	"uniform"	"mean"	5	-5	1	2	60	2	26.4132189731483	1
"25"	15	"uniform"	"mean"	5	-5	1	2	60	2	11.4400802672609	1
