"n.peeks"	"peek.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"final.impression.mad"	"final.peek.prefer.best"
"79"	75	"uniform"	"mean"	5	-5	1	1	5	4	1.00722310191835	1
"80"	80	"uniform"	"mean"	5	-5	1	1	5	4	1.25717614291025	1
"81"	85	"uniform"	"mean"	5	-5	1	1	5	4	1.64737892335946	1
"82"	90	"uniform"	"mean"	5	-5	1	1	5	4	0.363416209365767	1
"83"	95	"uniform"	"mean"	5	-5	1	1	5	4	1.4644177803396	1
"84"	100	"uniform"	"mean"	5	-5	1	1	5	4	0.900426282323888	1
"85"	0	"uniform"	"mean"	5	-5	1	1	5	5	5	1
"86"	5	"uniform"	"mean"	5	-5	1	1	5	5	1.88086592973787	1
"87"	10	"uniform"	"mean"	5	-5	1	1	5	5	0.322005563799865	1
"88"	15	"uniform"	"mean"	5	-5	1	1	5	5	3.37438702665283	1
"89"	20	"uniform"	"mean"	5	-5	1	1	5	5	1.83170769683928	1
"90"	25	"uniform"	"mean"	5	-5	1	1	5	5	1.78221305318399	1
"91"	30	"uniform"	"mean"	5	-5	1	1	5	5	2.12943044572075	1
"92"	35	"uniform"	"mean"	5	-5	1	1	5	5	1.41106357591592	1
"93"	40	"uniform"	"mean"	5	-5	1	1	5	5	1.45018860044683	1
"94"	45	"uniform"	"mean"	5	-5	1	1	5	5	0.395979720082714	1
"95"	50	"uniform"	"mean"	5	-5	1	1	5	5	0.815846398869592	1
"96"	55	"uniform"	"mean"	5	-5	1	1	5	5	1.78489616973703	1
"97"	60	"uniform"	"mean"	5	-5	1	1	5	5	0.627100773815849	1
"98"	65	"uniform"	"mean"	5	-5	1	1	5	5	1.5020437813991	1
"99"	70	"uniform"	"mean"	5	-5	1	1	5	5	1.34347459109764	1
"100"	75	"uniform"	"mean"	5	-5	1	1	5	5	0.249312121178757	1
"101"	80	"uniform"	"mean"	5	-5	1	1	5	5	0.184489639774953	1
"102"	85	"uniform"	"mean"	5	-5	1	1	5	5	0.770797153397132	1
"103"	90	"uniform"	"mean"	5	-5	1	1	5	5	0.258842169884811	1
"104"	95	"uniform"	"mean"	5	-5	1	1	5	5	0.452167615259579	1
"105"	100	"uniform"	"mean"	5	-5	1	1	5	5	0.659404662789883	1
"106"	0	"uniform"	"mean"	5	-5	1	1	5	6	5	0
"107"	5	"uniform"	"mean"	5	-5	1	1	5	6	3.48425204361662	1
"108"	10	"uniform"	"mean"	5	-5	1	1	5	6	2.82329552875705	1
"109"	15	"uniform"	"mean"	5	-5	1	1	5	6	0.815812019189867	1
"110"	20	"uniform"	"mean"	5	-5	1	1	5	6	0.415271213293751	1
"111"	25	"uniform"	"mean"	5	-5	1	1	5	6	2.46853517917618	1
"112"	30	"uniform"	"mean"	5	-5	1	1	5	6	2.45824385423691	1
"113"	35	"uniform"	"mean"	5	-5	1	1	5	6	0.623831677155394	1
"114"	40	"uniform"	"mean"	5	-5	1	1	5	6	1.38186647140801	1
"115"	45	"uniform"	"mean"	5	-5	1	1	5	6	0.840653975334166	1
"116"	50	"uniform"	"mean"	5	-5	1	1	5	6	1.34556221793353	1
"117"	55	"uniform"	"mean"	5	-5	1	1	5	6	2.64770707049166	1
"118"	60	"uniform"	"mean"	5	-5	1	1	5	6	1.73484805995925	1
"119"	65	"uniform"	"mean"	5	-5	1	1	5	6	1.2276411926935	1
"120"	70	"uniform"	"mean"	5	-5	1	1	5	6	0.930114738983857	1
"121"	75	"uniform"	"mean"	5	-5	1	1	5	6	0.747325343567542	1
"122"	80	"uniform"	"mean"	5	-5	1	1	5	6	0.431894647377241	1
"123"	85	"uniform"	"mean"	5	-5	1	1	5	6	0.859085809437448	1
"124"	90	"uniform"	"mean"	5	-5	1	1	5	6	0.716401704236795	1
"125"	95	"uniform"	"mean"	5	-5	1	1	5	6	0.33620543019353	1
