"n.peeks"	"peek.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"final.impression.mad"	"final.peek.prefer.best"
"1"	0	"uniform"	"mean"	5	-5	1	4	10	1	5	0
"2"	5	"uniform"	"mean"	5	-5	1	4	10	1	6.5608116969584	0
"3"	10	"uniform"	"mean"	5	-5	1	4	10	1	9.14613976341222	1
"4"	15	"uniform"	"mean"	5	-5	1	4	10	1	5.31782387946341	1
"5"	20	"uniform"	"mean"	5	-5	1	4	10	1	4.54251198451873	1
"6"	25	"uniform"	"mean"	5	-5	1	4	10	1	6.32708693919405	1
"7"	30	"uniform"	"mean"	5	-5	1	4	10	1	5.30732574606193	1
"8"	35	"uniform"	"mean"	5	-5	1	4	10	1	2.78509153166959	1
"9"	40	"uniform"	"mean"	5	-5	1	4	10	1	4.62286589327429	1
"10"	45	"uniform"	"mean"	5	-5	1	4	10	1	4.19618824458788	1
"11"	50	"uniform"	"mean"	5	-5	1	4	10	1	3.34703643763744	1
"12"	55	"uniform"	"mean"	5	-5	1	4	10	1	1.86777464076748	1
"13"	60	"uniform"	"mean"	5	-5	1	4	10	1	3.04782965428337	1
"14"	65	"uniform"	"mean"	5	-5	1	4	10	1	2.5345639955541	1
"15"	70	"uniform"	"mean"	5	-5	1	4	10	1	4.26608087595325	0
"16"	75	"uniform"	"mean"	5	-5	1	4	10	1	3.10714875968412	1
"17"	80	"uniform"	"mean"	5	-5	1	4	10	1	2.41336665099977	1
"18"	85	"uniform"	"mean"	5	-5	1	4	10	1	1.31627610239296	1
"19"	90	"uniform"	"mean"	5	-5	1	4	10	1	3.26496388558526	1
"20"	95	"uniform"	"mean"	5	-5	1	4	10	1	1.83012476797258	1
"21"	100	"uniform"	"mean"	5	-5	1	4	10	1	2.20078477284729	1
"22"	0	"uniform"	"mean"	5	-5	1	4	10	2	5	0
"23"	5	"uniform"	"mean"	5	-5	1	4	10	2	11.2237604671068	1
"24"	10	"uniform"	"mean"	5	-5	1	4	10	2	4.99807994441047	1
"25"	15	"uniform"	"mean"	5	-5	1	4	10	2	9.88142549943503	0
"26"	20	"uniform"	"mean"	5	-5	1	4	10	2	2.66206179439227	1
"27"	25	"uniform"	"mean"	5	-5	1	4	10	2	4.34085835949249	0
"28"	30	"uniform"	"mean"	5	-5	1	4	10	2	5.21413278202937	1
"29"	35	"uniform"	"mean"	5	-5	1	4	10	2	1.89686113558612	1
"30"	40	"uniform"	"mean"	5	-5	1	4	10	2	3.97467300969267	1
"31"	45	"uniform"	"mean"	5	-5	1	4	10	2	2.0223776373355	1
"32"	50	"uniform"	"mean"	5	-5	1	4	10	2	4.3222581775061	1
"33"	55	"uniform"	"mean"	5	-5	1	4	10	2	2.29811375817947	1
"34"	60	"uniform"	"mean"	5	-5	1	4	10	2	3.17918377325335	1
"35"	65	"uniform"	"mean"	5	-5	1	4	10	2	2.28905043854843	1
"36"	70	"uniform"	"mean"	5	-5	1	4	10	2	2.37639660640706	1
"37"	75	"uniform"	"mean"	5	-5	1	4	10	2	1.6353518436757	1
"38"	80	"uniform"	"mean"	5	-5	1	4	10	2	2.49811637218324	1
"39"	85	"uniform"	"mean"	5	-5	1	4	10	2	1.82269384610096	1
"40"	90	"uniform"	"mean"	5	-5	1	4	10	2	1.13066773404974	1
"41"	95	"uniform"	"mean"	5	-5	1	4	10	2	1.28084211536642	1
"42"	100	"uniform"	"mean"	5	-5	1	4	10	2	3.04034557363303	1
"43"	0	"uniform"	"mean"	5	-5	1	4	10	3	5	0
"44"	5	"uniform"	"mean"	5	-5	1	4	10	3	7.06445715463544	0
"45"	10	"uniform"	"mean"	5	-5	1	4	10	3	7.68414461461207	1
"46"	15	"uniform"	"mean"	5	-5	1	4	10	3	7.27548363676803	1
"47"	20	"uniform"	"mean"	5	-5	1	4	10	3	10.0076671975501	0
"48"	25	"uniform"	"mean"	5	-5	1	4	10	3	5.84612461595613	1
"49"	30	"uniform"	"mean"	5	-5	1	4	10	3	4.24595115909237	1
"50"	35	"uniform"	"mean"	5	-5	1	4	10	3	4.05956175639069	1
"51"	40	"uniform"	"mean"	5	-5	1	4	10	3	4.58419763645833	1
"52"	45	"uniform"	"mean"	5	-5	1	4	10	3	2.72420940200881	1
"53"	50	"uniform"	"mean"	5	-5	1	4	10	3	1.75368070569186	1
"54"	55	"uniform"	"mean"	5	-5	1	4	10	3	1.53330618311954	1
"55"	60	"uniform"	"mean"	5	-5	1	4	10	3	2.25125054610044	1
"56"	65	"uniform"	"mean"	5	-5	1	4	10	3	3.23053062967061	1
"57"	70	"uniform"	"mean"	5	-5	1	4	10	3	1.16925301896132	1
"58"	75	"uniform"	"mean"	5	-5	1	4	10	3	2.71428188140383	1
